mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
1	0	0	0.0	0	1/4	Tempo	6/8	1	1	0								Gayement	120				
1	0	0	0.0	0	1/4	StaffText	6/8	1	1	0							"<font size=""12""/><font face=""SnellRoundhand BoldScript""/>Rondeau"						
1	0	0	0.0	0	1/4	Tempo	6/8	1	1	0								𝅘𝅥. = 80	120				
1	0	0	0.5	0	1/4	Chord	6/8	1	1	1/8			1/8	1	0	articStaccatissimoBelow							
1	0	1/2	1.0	1/8	3/8	Chord	6/8	1	1	1/4			1/4	1	1	ornamentShortTrill							
1	0	3/2	0.5	3/8	5/8	Chord	6/8	1	1	1/8			1/8	1	2	articStaccatissimoBelow							
1	0	0	0.5	0	1/4	Chord	6/8	2	1	1/8			1/8	1	3								
1	0	1/2	1.0	1/8	3/8	Chord	6/8	2	1	1/4			1/4	1	4								
1	0	3/2	0.5	3/8	5/8	Chord	6/8	2	1	1/8			1/8	1	5								
2	1	2	1.0	0	0	Chord	6/8	1	1	1/4			1/4	1	6								
2	1	3	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	7	articStaccatissimoBelow							
2	1	7/2	0.75	3/8	3/8	Chord	6/8	1	1	3/16			1/8	3/2	8	ornamentMordent							
2	1	17/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16			1/16	1	9								
2	1	9/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	10	articStaccatissimoBelow							
2	1	2	1.0	0	0	Chord	6/8	2	1	1/4			1/4	1	11								
2	1	3	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	12								
2	1	7/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4			1/4	1	13								
2	1	9/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	14								
3	2	5	1.0	0	0	Chord	6/8	1	1	1/4			1/4	1	15								
3	2	6	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	16	articStaccatissimoAbove							
3	2	13/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4			1/4	1	17								0
3	2	15/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	18	ornamentMordent							
3	2	5	1.0	0	0	Chord	6/8	2	1	1/4			1/4	1	19								
3	2	6	0.0	1/4	1/4	FiguredBass	6/8	2	1	0										3/8	6_		
3	2	6	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	20								
3	2	13/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4			1/4	1	21								
3	2	15/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	22								
4	3	8	0.75	0	0	Chord	6/8	1	1	3/16			1/8	3/2	23								
4	3	35/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16			1/16	1	24								
4	3	9	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	25								
