mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	0	0	0	0.0	0	11/8	Tempo	6/4	1	1	0							𝅘𝅥=110	110.0	𝅘𝅥	110.0	0.0					
1	0	0	0	0.5	0	11/8	Chord	6/4	1	1	1/8		1/8	1	0												
1	0	0	0	0.5	0	11/8	Chord	6/4	2	1	1/8		1/8	1	1												
2	1	1/2	1/2	1.5	0	0	Chord	6/4	1	1	3/8		1/4	3/2	2	ornamentShortTrill											
2	1	2	2	0.5	3/8	3/8	Chord	6/4	1	1	1/8		1/8	1	3												
2	1	5/2	5/2	1.0	1/2	1/2	Chord	6/4	1	1	1/4		1/4	1	4												
2	1	7/2	7/2	1.0	3/4	3/4	Chord	6/4	1	1	1/4		1/4	1	5												
2	1	9/2	9/2	0.0	1	1	Chord	6/4	1	1	0	appoggiatura	1/8	1	6												
2	1	9/2	9/2	1.5	1	1	Chord	6/4	1	1	3/8		1/4	3/2	7	ornamentMordent											
2	1	6	6	0.5	11/8	11/8	Chord	6/4	1	1	1/8		1/8	1	8												
2	1	1/2	1/2	0.5	0	0	Chord	6/4	2	1	1/8		1/8	1	9												0
2	1	1	1	0.5	1/8	1/8	Chord	6/4	2	1	1/8		1/8	1	10												0
2	1	3/2	3/2	0.5	1/4	1/4	Chord	6/4	2	1	1/8		1/8	1	11												0
2	1	2	2	0.5	3/8	3/8	Chord	6/4	2	1	1/8		1/8	1	12												0
2	1	5/2	5/2	1.0	1/2	1/2	Chord	6/4	2	1	1/4		1/4	1	13												
2	1	7/2	7/2	0.0	3/4	3/4	FiguredBass	6/4	2	1	0												1/4	5_			
2	1	7/2	7/2	0.5	3/4	3/4	Chord	6/4	2	1	1/8		1/8	1	14												
2	1	4	4	0.5	7/8	7/8	Chord	6/4	2	1	1/8		1/8	1	15												
2	1	9/2	9/2	0.0	1	1	FiguredBass	6/4	2	1	0												1/4	6			
2	1	9/2	9/2	1.0	1	1	Chord	6/4	2	1	1/4		1/4	1	16	ornamentShortTrill											
2	1	11/2	11/2	1.0	5/4	5/4	Chord	6/4	2	1	1/4		1/4	1	17												
3	2	13/2	13/2	1.0	0	0	Chord	6/4	1	1	1/4		1/4	1	18	ornamentShortTrill											
3	2	15/2	15/2	0.0	1/4	1/4	Chord	6/4	1	1	0	appoggiatura	1/8	1	19												
3	2	15/2	15/2	1.0	1/4	1/4	Chord	6/4	1	1	1/4		1/4	1	20												
3	2	17/2	17/2	0.5	1/2	1/2	Chord	6/4	1	1	1/8		1/8	1	21												
3	2	9	9	0.5	5/8	5/8	Chord	6/4	1	1	1/8		1/8	1	22												
3	2	19/2	19/2	1.0	3/4	3/4	Chord	6/4	1	1	1/4		1/4	1	23												
3	2	21/2	21/2	1.5	1	1	Chord	6/4	1	1	3/8		1/4	3/2	24	ornamentShortTrill											
3	2	12	12	0.5	11/8	11/8	Chord	6/4	1	1	1/8		1/8	1	25												
3	2	13/2	13/2	0.0	0	0	FiguredBass	6/4	2	1	0												1/2	_			
3	2	13/2	13/2	1.5	0	0	Chord	6/4	2	1	3/8		1/4	3/2	26												
3	2	8	8	0.5	3/8	3/8	Chord	6/4	2	1	1/8		1/8	1	27												
3	2	17/2	17/2	0.0	1/2	1/2	FiguredBass	6/4	2	1	0												1/4	6			
3	2	17/2	17/2	1.0	1/2	1/2	Chord	6/4	2	1	1/4		1/4	1	28												
3	2	19/2	19/2	1.0	3/4	3/4	Chord	6/4	2	1	1/4		1/4	1	29												
3	2	21/2	21/2	0.0	1	1	FiguredBass	6/4	2	1	0												1/4	5/			
3	2	21/2	21/2	1.0	1	1	Chord	6/4	2	1	1/4		1/4	1	30												
3	2	23/2	23/2	0.0	5/4	5/4	FiguredBass	6/4	2	1	0												1/4	7			
3	2	23/2	23/2	1.0	5/4	5/4	Chord	6/4	2	1	1/4		1/4	1	31												
4	3	25/2	25/2	2.0	0	0	Chord	6/4	1	1	1/2		1/2	1	32	ornamentShortTrill											
4	3	29/2	29/2	0.0	1/2	1/2	StaffText	6/4	1	1	0						)										
4	3	29/2	29/2	0.0	1/2	1/2	Chord	6/4	1	1	0	appoggiatura	1/8	1	33												
4	3	29/2	29/2	1.0	1/2	1/2	Chord	6/4	1	1	1/4		1/4	1	34												
4	3	31/2	31/2	0.5	3/4	3/4	Chord	6/4	1	1	1/8		1/8	1	35												1
4	3	16	16	0.5	7/8	7/8	Chord	6/4	1	1	1/8		1/8	1	36												1
4	3	33/2	33/2	1.0	1	1	Chord	6/4	1	1	1/4		1/4	1	37												1
4	3	35/2	35/2	0.75	5/4	5/4	Chord	6/4	1	1	3/16		1/8	3/2	38	ornamentShortTrill											1
4	3	73/4	73/4	0.25	23/16	23/16	Chord	6/4	1	1	1/16		1/16	1	39												
4	3	25/2	25/2	2.0	0	0	Chord	6/4	2	1	1/2		1/2	1	40												
4	3	29/2	29/2	1.0	1/2	1/2	Chord	6/4	2	1	1/4		1/4	1	41												
4	3	31/2	31/2	0.0	3/4	3/4	FiguredBass	6/4	2	1	0												1/4	5			
4	3	31/2	31/2	1.0	3/4	3/4	Chord	6/4	2	1	1/4		1/4	1	42												
4	3	33/2	33/2	1.0	1	1	Chord	6/4	2	1	1/4		1/4	1	43												
4	3	35/2	35/2	0.0	5/4	5/4	FiguredBass	6/4	2	1	0												1/4	6			
4	3	35/2	35/2	1.0	5/4	5/4	Chord	6/4	2	1	1/4		1/4	1	44												
4	3	31/2	31/2	3.0	3/4	3/4	Chord	6/4	2	2	3/4		1/2	3/2	45												
5	4	37/2	37/2	0.5	0	0	Chord	6/4	1	1	1/8		1/8	1	46												2
5	4	19	19	0.5	1/8	1/8	Chord	6/4	1	1	1/8		1/8	1	47												2
5	4	39/2	39/2	1.0	1/4	1/4	Chord	6/4	1	1	1/4		1/4	1	48												2
5	4	41/2	41/2	0.75	1/2	1/2	Chord	6/4	1	1	3/16		1/8	3/2	49	ornamentShortTrill											2
5	4	85/4	85/4	0.25	11/16	11/16	Chord	6/4	1	1	1/16		1/16	1	50												
5	4	43/2	43/2	0.75	3/4	3/4	Chord	6/4	1	1	3/16		1/8	3/2	51												3
5	4	89/4	89/4	0.125	15/16	15/16	Chord	6/4	1	1	1/32		1/32	1	52												3
5	4	179/8	179/8	0.125	31/32	31/32	Chord	6/4	1	1	1/32		1/32	1	53												3
5	4	45/2	45/2	1.0	1	1	Chord	6/4	1	1	1/4		1/4	1	54												3
5	4	47/2	47/2	0.75	5/4	5/4	Chord	6/4	1	1	3/16		1/8	3/2	55	ornamentShortTrill											3
5	4	97/4	97/4	0.25	23/16	23/16	Chord	6/4	1	1	1/16		1/16	1	56												
5	4	37/2	37/2	0.0	0	0	FiguredBass	6/4	2	1	0												1/4	7			
5	4	37/2	37/2	1.0	0	0	Chord	6/4	2	1	1/4		1/4	1	57												
5	4	39/2	39/2	1.0	1/4	1/4	Chord	6/4	2	1	1/4		1/4	1	58												
5	4	41/2	41/2	0.0	1/2	1/2	FiguredBass	6/4	2	1	0												1/4	6			
5	4	41/2	41/2	1.0	1/2	1/2	Chord	6/4	2	1	1/4		1/4	1	59												
5	4	43/2	43/2	0.0	3/4	3/4	FiguredBass	6/4	2	1	0												1/4	7			
5	4	43/2	43/2	1.0	3/4	3/4	Chord	6/4	2	1	1/4		1/4	1	60												
5	4	45/2	45/2	1.0	1	1	Chord	6/4	2	1	1/4		1/4	1	61												
5	4	47/2	47/2	0.0	5/4	5/4	FiguredBass	6/4	2	1	0												1/4	#6			
5	4	47/2	47/2	1.0	5/4	5/4	Chord	6/4	2	1	1/4		1/4	1	62												
5	4	37/2	37/2	3.0	0	0	Chord	6/4	2	2	3/4		1/2	3/2	63												
5	4	43/2	43/2	3.0	3/4	3/4	Chord	6/4	2	2	3/4		1/2	3/2	64												
6	5	49/2	49/2	0.0	0	0	StaffText	6/4	1	1	0						)										
6	5	49/2	49/2	0.75	0	0	Chord	6/4	1	1	3/16		1/8	3/2	65	ornamentShortTrill											
6	5	101/4	101/4	0.25	3/16	3/16	Chord	6/4	1	1	1/16		1/16	1	66												
6	5	51/2	51/2	1.5	1/4	1/4	Chord	6/4	1	1	3/8		1/4	3/2	67												
