mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	thoroughbass_level_4	slur
1	1	0	0	0.0	0	0	StaffText	2/2	1	1	0						Gravement											
1	1	0	0	0.0	0	0	Tempo	2/2	1	1	0							𝅗𝅥=60	120.0	𝅗𝅥	60.0	0.0						
1	1	0	0	3.0	0	0	Chord	2/2	1	1	3/4		1/2	3/2	0													
1	1	3	3	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	1													
1	1	0	0	3.0	0	0	Chord	2/2	2	1	3/4		1/2	3/2	2													
1	1	3	3	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	3													
1	1	0	0	0.0	0	0	FiguredBass	2/2	3	1	0												1	_				
1	1	0	0	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	4													
1	1	1	1	1.0	1/4	1/4	Chord	2/2	3	1	1/4		1/4	1	5													
1	1	2	2	1.0	1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	6													
1	1	3	3	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	7													
2	2	4	4	1.5	0	0	Chord	2/2	1	1	3/8		1/4	3/2	8	ornamentShortTrill												
2	2	11/2	11/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	9													
2	2	6	6	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	10													
2	2	7	7	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	11													
2	2	4	4	1.5	0	0	Chord	2/2	2	1	3/8		1/4	3/2	12	ornamentShortTrill												
2	2	11/2	11/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	13													
2	2	6	6	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	14	ornamentShortTrill												
2	2	7	7	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	15													0
2	2	15/2	15/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	16													
2	2	4	4	0.0	0	0	FiguredBass	2/2	3	1	0												1/2	#3_				
2	2	4	4	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	17													
2	2	5	5	1.0	1/4	1/4	Chord	2/2	3	1	1/4		1/4	1	18													
2	2	6	6	0.0	1/2	1/2	FiguredBass	2/2	3	1	0												1/4	6				
2	2	6	6	1.0	1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	19													
2	2	7	7	0.0	3/4	3/4	FiguredBass	2/2	3	1	0												1/4	5/				
2	2	7	7	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	20													
3	3	8	8	1.5	0	0	Chord	2/2	1	1	3/8		1/4	3/2	21													
3	3	19/2	19/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	22													
3	3	10	10	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	23	ornamentShortTrill												
3	3	11	11	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	24													1
3	3	23/2	23/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	25													
3	3	8	8	1.5	0	0	Chord	2/2	2	1	3/8		1/4	3/2	26													
3	3	19/2	19/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	27													
3	3	10	10	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	28	ornamentShortTrill												
3	3	11	11	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	29													2
3	3	23/2	23/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	30													
3	3	8	8	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	31													
3	3	9	9	0.0	1/4	1/4	FiguredBass	2/2	3	1	0												1/4	6				
3	3	9	9	1.0	1/4	1/4	Chord	2/2	3	1	1/4		1/4	1	32													
3	3	10	10	0.0	1/2	1/2	FiguredBass	2/2	3	1	0												1/4	6	5	b3		
3	3	10	10	1.0	1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	33													
3	3	11	11	0.0	3/4	3/4	FiguredBass	2/2	3	1	0												1/4	#3				
3	3	11	11	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	34													
4	4	12	12	0.0	0	0	Chord	2/2	1	1	0	appoggiatura	1/8	1	35													
4	4	12	12	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	36													
4	4	13	13	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	37													
4	4	27/2	27/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	38													
4	4	14	14	1.5	1/2	1/2	Chord	2/2	1	1	3/8		1/4	3/2	39	ornamentShortTrill												
4	4	31/2	31/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	40													
4	4	12	12	0.0	0	0	Chord	2/2	2	1	0	appoggiatura	1/8	1	41													
4	4	12	12	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	42													
4	4	13	13	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	43													
4	4	27/2	27/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	44													
4	4	14	14	1.5	1/2	1/2	Chord	2/2	2	1	3/8		1/4	3/2	45	ornamentShortTrill												
4	4	31/2	31/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	46													
4	4	12	12	2.0	0	0	Chord	2/2	3	1	1/2		1/2	1	47													
4	4	14	14	0.0	1/2	1/2	FiguredBass	2/2	3	1	0												1/4	6	4+	3		
4	4	14	14	1.0	1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	48													
4	4	15	15	0.0	3/4	3/4	FiguredBass	2/2	3	1	0												1/4	6	5	b3		
4	4	15	15	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	49													
5	5	16	16	2.0	0	0	Chord	2/2	1	1	1/2		1/2	1	50	ornamentShortTrill												
5	5	19	19	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	51													
5	5	16	16	2.0	0	0	Chord	2/2	2	1	1/2		1/2	1	52	ornamentShortTrill												
5	5	19	19	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	53													
5	5	16	16	0.0	0	0	FiguredBass	2/2	3	1	0												1/2	#3__				
5	5	16	16	1.5	0	0	Chord	2/2	3	1	3/8		1/4	3/2	54													
5	5	35/2	35/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8		1/8	1	55													
5	5	18	18	0.0	1/2	1/2	FiguredBass	2/2	3	1	0												1/2	4+_				
5	5	18	18	1.0	1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	56	ornamentShortTrill												
5	5	19	19	0.5	3/4	3/4	Chord	2/2	3	1	1/8		1/8	1	57													
5	5	39/2	39/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8		1/8	1	58													
6	6	20	20	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	59													
6	6	21	21	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	60													3
6	6	43/2	43/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	61													
6	6	22	22	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	62													4
6	6	45/2	45/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	63													4
6	6	23	23	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	64													4
6	6	47/2	47/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	65													
6	6	20	20	1.5	0	0	Chord	2/2	2	1	3/8		1/4	3/2	66													
6	6	43/2	43/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	67													
6	6	22	22	1.5	1/2	1/2	Chord	2/2	2	1	3/8		1/4	3/2	68													
6	6	47/2	47/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	69													
6	6	20	20	0.0	0	0	FiguredBass	2/2	3	1	0												1/2	6				
6	6	20	20	2.0	0	0	Chord	2/2	3	1	1/2		1/2	1	70													
6	6	22	22	0.0	1/2	1/2	FiguredBass	2/2	3	1	0												1/2	5/				
6	6	22	22	2.0	1/2	1/2	Chord	2/2	3	1	1/2		1/2	1	71													
7	7	24	24	2.0	0	0	Chord	2/2	1	1	1/2		1/2	1	72	ornamentShortTrill												
7	7	27	27	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	73													
7	7	24	24	2.0	0	0	Chord	2/2	2	1	1/2		1/2	1	74													
7	7	27	27	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	75													
7	7	24	24	0.0	0	0	FiguredBass	2/2	3	1	0												3/8	h3				
7	7	24	24	1.5	0	0	Chord	2/2	3	1	3/8		1/4	3/2	76													
7	7	51/2	51/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8		1/8	1	77													
7	7	26	26	0.0	1/2	1/2	FiguredBass	2/2	3	1	0												1/2	4+_				
