mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	1	0	0.0	0	0	Tempo	3/4	1	1	0								 = 86	86					
1	1	0	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	0	ornamentMordent								
1	1	1	1.5	1/4	1/4	Chord	3/4	1	1	3/8			1/4	3/2	1	ornamentMordent								
1	1	11/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	2									
1	1	0	2.0	0	0	Chord	3/4	2	1	1/2			1/2	1	3									
2	2	3	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	4	ornamentMordent								
2	2	4	1.5	1/4	1/4	Chord	3/4	1	1	3/8			1/4	3/2	5									
2	2	23/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	6									
2	2	3	0.0	0	0	FiguredBass	3/4	2	1	0										1/2	6			
2	2	3	2.0	0	0	Chord	3/4	2	1	1/2			1/2	1	7									
3	3	6	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	8	ornamentMordent								
3	3	7	1.5	1/4	1/4	Chord	3/4	1	1	3/8			1/4	3/2	9	ornamentShortTrill								
3	3	35/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	10									
3	3	6	0.0	0	0	FiguredBass	3/4	2	1	0										1/2	#6			
3	3	6	2.0	0	0	Chord	3/4	2	1	1/2			1/2	1	11									
4	4	9	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	12	ornamentShortTrill								
4	4	10	0.0	1/4	1/4	Chord	3/4	1	1	0	appoggiatura		1/8	1	13									
4	4	10	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	14									
4	4	9	0.0	0	0	FiguredBass	3/4	2	1	0										3/8	#3			
4	4	9	1.5	0	0	Chord	3/4	2	1	3/8			1/4	3/2	15									0
4	4	21/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	16									0
4	4	11	0.5	1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	17									0
