mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	0	0	0	0.0		0	5/8	Tempo	4/4	1	1	0							𝅘𝅥=102	102.0	𝅘𝅥	102.0	0.0					
1	0	0	0	0.5		0	5/8	Chord	4/4	1	1	1/8		1/8	1	0												
1	0	1/2	1/2	0.75		1/8	3/4	Chord	4/4	1	1	3/16		1/8	3/2	1												
1	0	5/4	5/4	0.25		5/16	15/16	Chord	4/4	1	1	1/16		1/16	1	2												
2	1	3/2	3/2	0.0		0	0	Chord	4/4	1	1	0	appoggiatura	1/8	1	3												
2	1	3/2	3/2	1.5		0	0	Chord	4/4	1	1	3/8		1/4	3/2	4	ornamentMordent											
2	1	3	3	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	5												
2	1	7/2	7/2	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	6	ornamentShortTrill											
2	1	5	5	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	7												
2	1	2	2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	8												
2	1	5/2	5/2	0.0		1/4	1/4	FiguredBass	4/4	2	1	0												1/4	7	3	2_	
2	1	5/2	5/2	0.75		1/4	1/4	Chord	4/4	2	1	3/16		1/8	3/2	9												
2	1	13/4	13/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	10												
2	1	7/2	7/2	0.0		1/2	1/2	FiguredBass	4/4	2	1	0												1/4	6	4+	3	
2	1	7/2	7/2	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	11												
2	1	9/2	9/2	0.0		3/4	3/4	FiguredBass	4/4	2	1	0												1/4	6	5		
2	1	9/2	9/2	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	12												
3	2	11/2	11/2	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	13	ornamentShortTrill											
3	2	13/2	13/2	0.0		1/4	1/4	Chord	4/4	1	1	0	appoggiatura	1/8	1	14												
3	2	13/2	13/2	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	15												
3	2	8	8	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	16												
3	2	17/2	17/2	0.75		3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	17												
3	2	37/4	37/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	18												
3	2	11/2	11/2	0.0		0	0	FiguredBass	4/4	2	1	0												1/2	_			
3	2	11/2	11/2	0.75		0	0	Chord	4/4	2	1	3/16		1/8	3/2	19												
3	2	25/4	25/4	0.25		3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	20												
3	2	13/2	13/2	0.75		1/4	1/4	Chord	4/4	2	1	3/16		1/8	3/2	21												
3	2	29/4	29/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	22												
3	2	15/2	15/2	0.0		1/2	1/2	FiguredBass	4/4	2	1	0												1/2	6			
3	2	15/2	15/2	2.0		1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	23												
4	3	19/2	19/2	1.5		0	0	Chord	4/4	1	1	3/8		1/4	3/2	24												
4	3	11	11	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	25												
4	3	23/2	23/2	1.5		1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	26	ornamentShortTrill											
4	3	13	13	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	27												
4	3	19/2	19/2	0.0		0	0	FiguredBass	4/4	2	1	0												1/2	6	5		
4	3	19/2	19/2	2.0		0	0	Chord	4/4	2	1	1/2		1/2	1	28												
4	3	23/2	23/2	0.0		1/2	1/2	FiguredBass	4/4	2	1	0												1/2	3_			
4	3	23/2	23/2	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	29												
4	3	25/2	25/2	0.0		3/4	3/4	FiguredBass	4/4	2	1	0												1/4	7			
4	3	25/2	25/2	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	30												
5	4	27/2	27/2	2.0		0	0	Chord	4/4	1	1	1/2		1/2	1	31	ornamentShortTrill											
5	4	16	16	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	32												
5	4	33/2	33/2	0.75		3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	33												
5	4	69/4	69/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	34												
5	4	27/2	27/2	0.0		0	0	FiguredBass	4/4	2	1	0												1/4	_			
5	4	27/2	27/2	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	35												
5	4	14	14	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	36												
5	4	29/2	29/2	0.75		1/4	1/4	Chord	4/4	2	1	3/16		1/8	3/2	37												
5	4	61/4	61/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	38												
5	4	31/2	31/2	0.0		1/2	1/2	FiguredBass	4/4	2	1	0												1/4	5			
5	4	31/2	31/2	2.0		1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	39												
5	4	33/2	33/2	0.0		3/4	3/4	FiguredBass	4/4	2	1	0												1/4	6			
6	5	35/2	35/2	1.5		0	0	Chord	4/4	1	1	3/8		1/4	3/2	40												0
6	5	19	19	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	41												
6	5	39/2	39/2	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	42	ornamentShortTrill											
6	5	83/4	83/4	0.25		13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	43												
6	5	21	21	0.25		7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	44												
6	5	85/4	85/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	45												
6	5	35/2	35/2	0.0		0	0	FiguredBass	4/4	2	1	0												1/2	7	5/		
6	5	35/2	35/2	2.0		0	0	Chord	4/4	2	1	1/2		1/2	1	46												
6	5	39/2	39/2	0.0		1/2	1/2	FiguredBass	4/4	2	1	0												1/2	#3_			
6	5	39/2	39/2	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	47												
6	5	41/2	41/2	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	48												
7	6	43/2	43/2	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	49												
7	6	45/2	45/2	0.0		1/4	1/4	Chord	4/4	1	1	0	appoggiatura	1/8	1	50												
7	6	45/2	45/2	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	51												
7	6	24	24	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	52												
7	6	49/2	49/2	0.75		3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	53												
7	6	101/4	101/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	54												
7	6	43/2	43/2	0.0		0	0	FiguredBass	4/4	2	1	0												1/4	_			
7	6	43/2	43/2	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	55												
7	6	22	22	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	56												
7	6	45/2	45/2	0.75		1/4	1/4	Chord	4/4	2	1	3/16		1/8	3/2	57												
7	6	93/4	93/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	58												
7	6	47/2	47/2	2.0		1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	59												
8	7	51/2	51/2	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	60												
8	7	53/2	53/2	0.0		1/4	1/4	Chord	4/4	1	1	0	appoggiatura	1/8	1	61												
8	7	53/2	53/2	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	62												
8	7	55/2	55/2	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	63												
8	7	57/2	57/2	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	64												
8	7	51/2	51/2	0.0		0	0	FiguredBass	4/4	2	1	0												1/2	4+			
8	7	51/2	51/2	2.0		0	0	Chord	4/4	2	1	1/2		1/2	1	65												
8	7	55/2	55/2	0.0		1/2	1/2	FiguredBass	4/4	2	1	0												1/4	6			
8	7	55/2	55/2	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	66												
8	7	57/2	57/2	0.0		3/4	3/4	FiguredBass	4/4	2	1	0												1/4	#6			
8	7	57/2	57/2	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	67												
9	8	59/2	59/2	1.5		0	0	Chord	4/4	1	1	3/8		1/4	3/2	68												
9	8	31	31	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	69												
9	8	63/2	63/2	1.5		1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	70	ornamentShortTrill											
9	8	33	33	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	71												
9	8	59/2	59/2	0.0		0	0	FiguredBass	4/4	2	1	0												1/2	6			
9	8	59/2	59/2	2.0		0	0	Chord	4/4	2	1	1/2		1/2	1	72												
9	8	63/2	63/2	0.0		1/2	1/2	FiguredBass	4/4	2	1	0												1/2	6	5	b3	
9	8	63/2	63/2	2.0		1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	73												
10	9	67/2	67/2	1.5		0	0	Chord	4/4	1	1	3/8		1/4	3/2	74	ornamentShortTrill											
10	9	35	35	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	75												
10	9	71/2	71/2	0.0		1/2	1/2	Chord	4/4	1	1	0	appoggiatura	1/8	1	76												
10	9	71/2	71/2	1.5		1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	77	ornamentMordent											
10	9	37	37	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	78												
10	9	67/2	67/2	0.0		0	0	FiguredBass	4/4	2	1	0												1/2	#3			
10	9	67/2	67/2	2.0		0	0	Chord	4/4	2	1	1/2		1/2	1	79												
10	9	71/2	71/2	0.0		1/2	1/2	FiguredBass	4/4	2	1	0												1/4	5/			
10	9	71/2	71/2	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	80												
10	9	73/2	73/2	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	81												
11	10	75/2	75/2	2.0		0	0	Chord	4/4	1	1	1/2		1/2	1	82	ornamentShortTrill											
11	10	40	40	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	83												
11	10	81/2	81/2	0.75		3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	84												
11	10	165/4	165/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	85												
11	10	75/2	75/2	0.0		0	0	FiguredBass	4/4	2	1	0												1/2	#3_			
