mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	0	0	0	0.0	0	11/8	StaffText	6/4	1	1	0						Majeur										
1	0	0	0	0.0	0	11/8	Tempo	6/4	1	1	0							𝅘𝅥=140	140.0	𝅘𝅥	140.0	0.0					
1	0	0	0	0.5	0	11/8	Chord	6/4	1	1	1/8		1/8	1	0												
2	1	1/2	1/2	1.5	0	0	Chord	6/4	1	1	3/8		1/4	3/2	1												
2	1	2	2	0.5	3/8	3/8	Chord	6/4	1	1	1/8		1/8	1	2												
2	1	5/2	5/2	1.0	1/2	1/2	Chord	6/4	1	1	1/4		1/4	1	3												
2	1	7/2	7/2	1.0	3/4	3/4	Chord	6/4	1	1	1/4		1/4	1	4												
2	1	9/2	9/2	1.5	1	1	Chord	6/4	1	1	3/8		1/4	3/2	5	ornamentShortTrill											
2	1	6	6	0.5	11/8	11/8	Chord	6/4	1	1	1/8		1/8	1	6												
2	1	1	1	0.5	1/8	1/8	Chord	6/4	2	1	1/8		1/8	1	7												
2	1	3/2	3/2	0.5	1/4	1/4	Chord	6/4	2	1	1/8		1/8	1	8												
2	1	2	2	0.5	3/8	3/8	Chord	6/4	2	1	1/8		1/8	1	9												
2	1	5/2	5/2	0.0	1/2	1/2	FiguredBass	6/4	2	1	0												1/4	6	5		
2	1	5/2	5/2	1.0	1/2	1/2	Chord	6/4	2	1	1/4		1/4	1	10												
2	1	7/2	7/2	0.0	3/4	3/4	FiguredBass	6/4	2	1	0												1/4	3			
2	1	7/2	7/2	1.0	3/4	3/4	Chord	6/4	2	1	1/4		1/4	1	11												
2	1	9/2	9/2	0.0	1	1	FiguredBass	6/4	2	1	0												3/8	6			
2	1	9/2	9/2	1.5	1	1	Chord	6/4	2	1	3/8		1/4	3/2	12												
2	1	6	6	0.0	11/8	11/8	FiguredBass	6/4	2	1	0												1/8	5/			
2	1	6	6	0.5	11/8	11/8	Chord	6/4	2	1	1/8		1/8	1	13												
3	2	13/2	13/2	1.0	0	0	Chord	6/4	1	1	1/4		1/4	1	14	ornamentShortTrill											
3	2	15/2	15/2	1.0	1/4	1/4	Chord	6/4	1	1	1/4		1/4	1	15												
3	2	17/2	17/2	1.0	1/2	1/2	Chord	6/4	1	1	1/4		1/4	1	16												
3	2	19/2	19/2	1.0	3/4	3/4	Chord	6/4	1	1	1/4		1/4	1	17												
3	2	21/2	21/2	1.5	1	1	Chord	6/4	1	1	3/8		1/4	3/2	18	ornamentShortTrill											
3	2	12	12	0.5	11/8	11/8	Chord	6/4	1	1	1/8		1/8	1	19												
3	2	13/2	13/2	0.0	0	0	StaffText	6/4	2	1	0						)										
3	2	13/2	13/2	2.0	0	0	Chord	6/4	2	1	1/2		1/2	1	20												
3	2	17/2	17/2	0.5	1/2	1/2	Chord	6/4	2	1	1/8		1/8	1	21												
3	2	9	9	0.5	5/8	5/8	Chord	6/4	2	1	1/8		1/8	1	22												
3	2	19/2	19/2	0.0	3/4	3/4	FiguredBass	6/4	2	1	0												1/4	#6			
3	2	19/2	19/2	1.0	3/4	3/4	Chord	6/4	2	1	1/4		1/4	1	23												
3	2	21/2	21/2	1.0	1	1	Chord	6/4	2	1	1/4		1/4	1	24												
3	2	23/2	23/2	1.0	5/4	5/4	Chord	6/4	2	1	1/4		1/4	1	25												
4	3	25/2	25/2	0.0	0	0	StaffText	6/4	1	1	0						)										
4	3	25/2	25/2	0.0	0	0	Chord	6/4	1	1	0	appoggiatura	1/8	1	26												
4	3	25/2	25/2	3.0	0	0	Chord	6/4	1	1	3/4		1/2	3/2	27	ornamentMordent											
4	3	31/2	31/2	1.0	3/4	3/4	Chord	6/4	1	1	1/4		1/4	1	28	ornamentShortTrill											
4	3	33/2	33/2	0.0	1	1	Chord	6/4	1	1	0	appoggiatura	1/8	1	29												
4	3	33/2	33/2	1.5	1	1	Chord	6/4	1	1	3/8		1/4	3/2	30	ornamentMordent											
4	3	18	18	0.5	11/8	11/8	Chord	6/4	1	1	1/8		1/8	1	31												
4	3	25/2	25/2	0.0	0	0	FiguredBass	6/4	2	1	0												3/4	_			
4	3	25/2	25/2	1.5	0	0	Chord	6/4	2	1	3/8		1/4	3/2	32												
4	3	14	14	0.5	3/8	3/8	Chord	6/4	2	1	1/8		1/8	1	33												
4	3	29/2	29/2	1.0	1/2	1/2	Chord	6/4	2	1	1/4		1/4	1	34												
4	3	31/2	31/2	0.0	3/4	3/4	FiguredBass	6/4	2	1	0												1/4	4+			
4	3	31/2	31/2	1.0	3/4	3/4	Chord	6/4	2	1	1/4		1/4	1	35												
4	3	33/2	33/2	0.0	1	1	FiguredBass	6/4	2	1	0												1/4	6			
4	3	33/2	33/2	1.0	1	1	Chord	6/4	2	1	1/4		1/4	1	36												
4	3	35/2	35/2	0.0	5/4	5/4	FiguredBass	6/4	2	1	0												1/4	6			
