mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	staff_text	system_text	tempo	qpm	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	0	0	0.0	0	1/4	StaffText	3/8	1	1	0							Gracieusement.								
1	0	0	0.0	0	1/4	Tempo	3/8	1	1	0									  = 78	117					
1	0	0	0.5	0	1/4	Chord	3/8	1	1	1/8			1/8	1	0										
2	1	1/2	0.5	0	0	Chord	3/8	1	1	1/8			1/8	1	1										
2	1	1	0.0	1/8	1/8	Chord	3/8	1	1	0	appoggiatura		1/8	1	2										
2	1	1	0.5	1/8	1/8	Chord	3/8	1	1	1/8			1/8	1	3										
2	1	3/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8			1/8	1	4										
3	2	2	0.0	0	0	Chord	3/8	1	1	0	appoggiatura		1/8	1	5										
3	2	2	0.5	0	0	Chord	3/8	1	1	1/8			1/8	1	6	ornamentShortTrill									
3	2	5/2	0.0	1/8	1/8	StaffText	3/8	1	1	0							)								
3	2	5/2	0.0	1/8	1/8	Chord	3/8	1	1	0	appoggiatura		1/8	1	7										
3	2	5/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8			1/8	1	8										
3	2	3	0.5	1/4	1/4	Chord	3/8	1	1	1/8			1/8	1	9										
3	2	3	0.5	1/4	1/4	Chord	3/8	2	1	1/8			1/8	1	10										
4	3	7/2	0.0	0	0	Chord	3/8	1	1	0	appoggiatura		1/8	1	11										
4	3	7/2	0.5	0	0	Chord	3/8	1	1	1/8			1/8	1	12	ornamentShortTrill									
4	3	4	0.0	1/8	1/8	Chord	3/8	1	1	0	appoggiatura		1/8	1	13										
4	3	4	0.5	1/8	1/8	Chord	3/8	1	1	1/8			1/8	1	14										
4	3	9/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8			1/8	1	15										
4	3	7/2	0.5	0	0	Chord	3/8	2	1	1/8			1/8	1	16										
4	3	4	0.0	1/8	1/8	FiguredBass	3/8	2	1	0											1/8	6			
4	3	4	0.5	1/8	1/8	Chord	3/8	2	1	1/8			1/8	1	17										
4	3	9/2	0.0	1/4	1/4	FiguredBass	3/8	2	1	0											1/8	6	4	3	
4	3	9/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8			1/8	1	18										
