mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	0	0	0.0	0	3/8	Tempo	4/4	1	1	0								 = 90	90					
1	0	0	0.5	0	3/8	Chord	4/4	1	1	1/8			1/8	1	0									
1	0	1/2	0.5	1/8	1/2	Chord	4/4	1	1	1/8			1/8	1	1									
1	0	1	0.25	1/4	5/8	Chord	4/4	1	1	1/16			1/16	1	2									
1	0	5/4	0.25	5/16	11/16	Chord	4/4	1	1	1/16			1/16	1	3									
1	0	3/2	0.25	3/8	3/4	Chord	4/4	1	1	1/16			1/16	1	4									
1	0	7/4	0.25	7/16	13/16	Chord	4/4	1	1	1/16			1/16	1	5									
1	0	2	0.25	1/2	7/8	Chord	4/4	1	1	1/16			1/16	1	6									
1	0	9/4	0.25	9/16	15/16	Chord	4/4	1	1	1/16			1/16	1	7									
1	0	2	0.0	1/2	7/8	FiguredBass	4/4	2	1	0										1/8	h3			
1	0	2	0.5	1/2	7/8	Chord	4/4	2	1	1/8			1/8	1	8									
2	1	5/2	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	9									0
2	1	3	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	10	ornamentShortTrill								
2	1	13/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	11									
2	1	7/2	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1	12									
2	1	15/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1	13									
2	1	4	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	14									
2	1	17/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	15									
2	1	9/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	16									
2	1	5	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	17									
2	1	21/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	18									
2	1	11/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	19									
2	1	6	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	20									
2	1	5/2	0.0	0	0	FiguredBass	4/4	2	1	0										1/4	_			
2	1	5/2	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	21									
2	1	3	0.25	1/8	1/8	Chord	4/4	2	1	1/16			1/16	1	22									
2	1	13/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	23									
2	1	7/2	0.0	1/4	1/4	FiguredBass	4/4	2	1	0										1/4	h6_			
2	1	7/2	0.25	1/4	1/4	Chord	4/4	2	1	1/16			1/16	1	24									
2	1	15/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16			1/16	1	25									
2	1	4	0.25	3/8	3/8	Chord	4/4	2	1	1/16			1/16	1	26									
2	1	17/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	27									
2	1	9/2	0.0	1/2	1/2	FiguredBass	4/4	2	1	0										1/4	6_			
2	1	9/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	28									
2	1	5	0.25	5/8	5/8	Chord	4/4	2	1	1/16			1/16	1	29									
2	1	21/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	30									
2	1	11/2	0.0	3/4	3/4	FiguredBass	4/4	2	1	0										1/4	5/_			
2	1	11/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	31									
2	1	6	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	32									
3	2	13/2	0.0	0	0	Chord	4/4	1	1	0	appoggiatura		1/8	1	33									
3	2	13/2	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	34									
