mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	0	0	0	0.0		0	11/8	Tempo	3/2	1	1	0							𝅘𝅥=152	152.0	𝅘𝅥	152.0	0.0					
1	0	0	0	0.5		0	11/8	Chord	3/2	1	1	1/8		1/8	1	0												
1	0	0	0	0.5		0	11/8	Chord	3/2	2	1	1/8		1/8	1	1												
2	1	1/2	1/2	1.5		0	0	Chord	3/2	1	1	3/8		1/4	3/2	2												
2	1	2	2	0.5		3/8	3/8	Chord	3/2	1	1	1/8		1/8	1	3												
2	1	5/2	5/2	0.5		1/2	1/2	Chord	3/2	1	1	1/8		1/8	1	4												
2	1	3	3	0.5		5/8	5/8	Chord	3/2	1	1	1/8		1/8	1	5												
2	1	7/2	7/2	0.5		3/4	3/4	Chord	3/2	1	1	1/8		1/8	1	6	ornamentMordent											
2	1	4	4	0.5		7/8	7/8	Chord	3/2	1	1	1/8		1/8	1	7												
2	1	9/2	9/2	1.5		1	1	Chord	3/2	1	1	3/8		1/4	3/2	8	ornamentShortTrill											
2	1	6	6	0.5		11/8	11/8	Chord	3/2	1	1	1/8		1/8	1	9												
2	1	1/2	1/2	0.0		0	0	Chord	3/2	1	2	0	appoggiatura	1/8	1	10												
2	1	1/2	1/2	1.0		0	0	Chord	3/2	1	2	1/4		1/4	1	11												
2	1	1/2	1/2	1.0		0	0	Chord	3/2	1	3	1/4		1/4	1	12												
2	1	1/2	1/2	1.5		0	0	Chord	3/2	2	1	3/8		1/4	3/2	13												
2	1	2	2	0.5		3/8	3/8	Chord	3/2	2	1	1/8		1/8	1	14												
2	1	5/2	5/2	0.0		1/2	1/2	FiguredBass	3/2	2	1	0												1/2	5_			
2	1	5/2	5/2	1.0		1/2	1/2	Chord	3/2	2	1	1/4		1/4	1	15												
2	1	7/2	7/2	1.0		3/4	3/4	Chord	3/2	2	1	1/4		1/4	1	16												
2	1	9/2	9/2	0.0		1	1	FiguredBass	3/2	2	1	0												3/8	6	5		
2	1	9/2	9/2	1.5		1	1	Chord	3/2	2	1	3/8		1/4	3/2	17												
2	1	6	6	0.25		11/8	11/8	Chord	3/2	2	1	1/16		1/16	1	18												
2	1	25/4	25/4	0.25		23/16	23/16	Chord	3/2	2	1	1/16		1/16	1	19												
3	2	13/2	13/2	1.5		0	0	Chord	3/2	1	1	3/8		1/4	3/2	20	ornamentShortTrill											
3	2	8	8	0.5		3/8	3/8	Chord	3/2	1	1	1/8		1/8	1	21												
3	2	17/2	17/2	1.0		1/2	1/2	Chord	3/2	1	1	1/4		1/4	1	22												
3	2	19/2	19/2	1.0		3/4	3/4	Chord	3/2	1	1	1/4		1/4	1	23												
3	2	21/2	21/2	1.5		1	1	Chord	3/2	1	1	3/8		1/4	3/2	24	ornamentShortTrill											
3	2	12	12	0.5		11/8	11/8	Chord	3/2	1	1	1/8		1/8	1	25												
3	2	17/2	17/2	1.0		1/2	1/2	Chord	3/2	1	2	1/4		1/4	1	26												
3	2	19/2	19/2	1.0		3/4	3/4	Chord	3/2	1	2	1/4		1/4	1	27												
3	2	21/2	21/2	1.0		1	1	Chord	3/2	1	2	1/4		1/4	1	28												
3	2	23/2	23/2	1.0		5/4	5/4	Chord	3/2	1	2	1/4		1/4	1	29												
3	2	13/2	13/2	0.0		0	0	FiguredBass	3/2	2	1	0												1/2	#3			
3	2	13/2	13/2	0.5		0	0	Chord	3/2	2	1	1/8		1/8	1	30												
3	2	7	7	0.5		1/8	1/8	Chord	3/2	2	1	1/8		1/8	1	31												
3	2	15/2	15/2	0.5		1/4	1/4	Chord	3/2	2	1	1/8		1/8	1	32												
3	2	8	8	0.5		3/8	3/8	Chord	3/2	2	1	1/8		1/8	1	33												
3	2	17/2	17/2	0.0		1/2	1/2	FiguredBass	3/2	2	1	0												1/4	6			
3	2	17/2	17/2	1.0		1/2	1/2	Chord	3/2	2	1	1/4		1/4	1	34												
3	2	19/2	19/2	0.0		3/4	3/4	FiguredBass	3/2	2	1	0												1/4	6	5		
3	2	19/2	19/2	1.0		3/4	3/4	Chord	3/2	2	1	1/4		1/4	1	35												
3	2	21/2	21/2	0.0		1	1	FiguredBass	3/2	2	1	0												1/4	6	4		
3	2	21/2	21/2	1.0		1	1	Chord	3/2	2	1	1/4		1/4	1	36												
3	2	23/2	23/2	0.0		5/4	5/4	FiguredBass	3/2	2	1	0												1/4	#3			
3	2	23/2	23/2	1.0		5/4	5/4	Chord	3/2	2	1	1/4		1/4	1	37												
