mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	0	0	0.0	0	3/4	StaffText	4/4	1	1	0							animé, et léger							
1	0	0	0.0	0	3/4	Tempo	4/4	1	1	0								 = 136	136					
1	0	0	1.0	0	3/4	Chord	4/4	1	1	1/4			1/4	1	0									
1	0	0	1.0	0	3/4	Chord	4/4	2	1	1/4			1/4	1	1									
2	1	1	2.0	0	0	Chord	4/4	1	1	1/2			1/2	1	2									
2	1	3	2.0	1/2	1/2	Chord	4/4	1	1	1/2			1/2	1	3	ornamentShortTrill								
2	1	1	0.0	0	0	FiguredBass	4/4	2	1	0										1	5/_			
2	1	1	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	4									
2	1	2	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	5									
2	1	3	1.0	1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	6									
2	1	4	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	7									
3	2	5	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	8									0
3	2	11/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	9									0
3	2	6	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	10									0
3	2	13/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	11									0
3	2	7	0.0	1/2	1/2	StaffText	4/4	1	1	0							)							
3	2	7	1.0	1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	12									
3	2	8	1.0	3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	13									
3	2	5	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	14									1
3	2	6	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	15									1
3	2	7	1.0	1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	16									1
3	2	8	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	17									
4	3	9	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	18									
4	3	10	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	19									
4	3	11	1.0	1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	20									
4	3	12	1.0	3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	21									
4	3	9	0.0	0	0	FiguredBass	4/4	2	1	0										1/2	_			
4	3	9	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	22									
4	3	10	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	23									
4	3	11	0.0	1/2	1/2	FiguredBass	4/4	2	1	0										1/2	6	5	b3_	
4	3	11	1.0	1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	24									
4	3	12	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	25									
5	4	13	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	26	ornamentShortTrill								
5	4	14	0.0	1/4	1/4	StaffText	4/4	1	1	0							)							
5	4	14	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	27									
5	4	15	1.0	1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	28									
5	4	16	1.0	3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	29									
5	4	13	0.0	0	0	FiguredBass	4/4	2	1	0										1/2	#3_			
5	4	13	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	30									
5	4	14	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	31									
5	4	29/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	32									
5	4	15	0.0	1/2	1/2	FiguredBass	4/4	2	1	0										1/4	6			
5	4	15	1.0	1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	33									
5	4	16	0.0	3/4	3/4	FiguredBass	4/4	2	1	0										1/4	#6			
5	4	16	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	34									
6	5	17	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	35									2
6	5	18	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	36									2
6	5	37/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	37									
6	5	19	1.0	1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	38									3
6	5	20	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	39									3
6	5	41/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	40									
6	5	17	2.0	0	0	Chord	4/4	2	1	1/2			1/2	1	41									
6	5	19	1.0	1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	42									
6	5	20	0.0	3/4	3/4	FiguredBass	4/4	2	1	0										1/4	7			
6	5	20	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	43									
7	6	21	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	44									
7	6	22	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	45									
7	6	45/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	46									
7	6	23	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	47									
7	6	47/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	48									
7	6	24	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	49									
7	6	49/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	50									
7	6	21	0.0	0	0	FiguredBass	4/4	2	1	0										1/4	5			
7	6	21	2.0	0	0	Chord	4/4	2	1	1/2			1/2	1	51									
7	6	22	0.0	1/4	1/4	FiguredBass	4/4	2	1	0										1/4	6			
7	6	23	0.0	1/2	1/2	FiguredBass	4/4	2	1	0										3/8	6	5		
7	6	23	1.5	1/2	1/2	Chord	4/4	2	1	3/8			1/4	3/2	52	ornamentShortTrill								4
7	6	49/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16			1/16	1	53									4
7	6	99/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16			1/16	1	54									
8	7	25	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	55	ornamentShortTrill								
8	7	26	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	56									
8	7	53/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	57									
8	7	27	1.5	1/2	1/2	Chord	4/4	1	1	3/8			1/4	3/2	58	ornamentShortTrill								
8	7	57/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	59									
8	7	25	0.0	0	0	FiguredBass	4/4	2	1	0										1/4	#3			
8	7	25	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	60									
8	7	26	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	61									
8	7	27	0.0	1/2	1/2	FiguredBass	4/4	2	1	0										1/4	#3_			
8	7	27	2.0	1/2	1/2	Chord	4/4	2	1	1/2			1/2	1	62									
8	7	28	0.0	3/4	3/4	FiguredBass	4/4	2	1	0										1/4	7			
9	8	29	3.0	0	0	Chord	4/4	1	1	3/4			1/2	3/2	63									
9	8	29	0.0	0	0	FiguredBass	4/4	2	1	0										3/4	#3_			
9	8	29	2.0	0	0	Chord	4/4	2	1	1/2			1/2	1	64									
9	8	31	1.0	1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	65									
10	8	32	1.0	0	3/4	Chord	4/4	1	1	1/4			1/4	1	66									
10	8	32	0.0	0	3/4	StaffText	4/4	2	1	0							Reprise							
10	8	32	1.0	0	3/4	Chord	4/4	2	1	1/4			1/4	1	67									
11	9	33	2.0	0	0	Chord	4/4	1	1	1/2			1/2	1	68	articStaccatoAbove								
11	9	35	2.0	1/2	1/2	Chord	4/4	1	1	1/2			1/2	1	69	articStaccatoAbove								
11	9	33	0.0	0	0	FiguredBass	4/4	2	1	0										1	5/_			
11	9	33	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	70									
11	9	34	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	71									
11	9	35	1.0	1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	72									
11	9	36	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	73									
12	10	37	2.0	0	0	Chord	4/4	1	1	1/2			1/2	1	74	articStaccatoAbove								
12	10	39	1.5	1/2	1/2	Chord	4/4	1	1	3/8			1/4	3/2	75	ornamentShortTrill								5
12	10	81/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	76									5
12	10	163/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	77									
12	10	37	0.0	0	0	FiguredBass	4/4	2	1	0										1	_			
12	10	37	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	78									
12	10	38	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	79									
12	10	77/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	80									
12	10	39	1.0	1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	81									
12	10	40	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	82									
13	11	41	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	83									6
13	11	42	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	84									6
13	11	85/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	85									
13	11	43	1.0	1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	86									7
13	11	44	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	87									7
13	11	89/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	88									
13	11	41	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	89									
13	11	42	0.0	1/4	1/4	FiguredBass	4/4	2	1	0										1/4	6			
13	11	42	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	90									
13	11	43	0.0	1/2	1/2	FiguredBass	4/4	2	1	0										1/4	6	4	b3	
13	11	43	1.0	1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	91									
13	11	44	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	92									
14	12	45	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	93									
14	12	46	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	94									
14	12	93/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	95									
14	12	47	1.0	1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	96									
