mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	0	0	0.0		0	3/8	Tempo	6/8	1	1	0								  = 84	126					
1	0	0	1.0		0	3/8	Chord	6/8	1	1	1/4			1/4	1	0									
1	0	1	0.5		1/4	5/8	Chord	6/8	1	1	1/8			1/8	1	1									
2	1	3/2	0.5		0	0	Chord	6/8	1	1	1/8			1/8	1	2									0
2	1	2	0.5		1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	3	ornamentShortTrill								
2	1	5/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	4									
2	1	3	1.0		3/8	3/8	Chord	6/8	1	1	1/4			1/4	1	5									
2	1	4	0.5		5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	6									
3	2	9/2	0.0		0	0	StaffText	6/8	1	1	0							♮							
3	2	9/2	1.0		0	0	Chord	6/8	1	1	1/4			1/4	1	7	ornamentMordent								
3	2	11/2	0.0		1/4	1/4	StaffText	6/8	1	1	0							)							
3	2	11/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	8									
3	2	6	0.5		3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	9									1
3	2	13/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	10									1
3	2	7	0.5		5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	11									
3	2	6	0.0		3/8	3/8	FiguredBass	6/8	2	1	0										3/8	h3_			
3	2	6	1.0		3/8	3/8	Chord	6/8	2	1	1/4			1/4	1	12									
3	2	7	0.5		5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	13									
4	3	15/2	0.5		0	0	Chord	6/8	1	1	1/8			1/8	1	14									2
4	3	8	0.5		1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	15									2
4	3	17/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	16									
4	3	9	0.75		3/8	3/8	Chord	6/8	1	1	3/16			1/8	3/2	17	ornamentShortTrill								
4	3	39/4	0.25		9/16	9/16	Chord	6/8	1	1	1/16			1/16	1	18									
4	3	10	0.5		5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	19									
4	3	15/2	0.0		0	0	FiguredBass	6/8	2	1	0										3/8	6_			
4	3	15/2	0.5		0	0	Chord	6/8	2	1	1/8			1/8	1	20									
4	3	8	0.5		1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	21									
4	3	17/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	22									
4	3	9	0.0		3/8	3/8	FiguredBass	6/8	2	1	0										1/4	4			
4	3	9	1.0		3/8	3/8	Chord	6/8	2	1	1/4			1/4	1	23									
4	3	10	0.0		5/8	5/8	FiguredBass	6/8	2	1	0										1/8	h3			
4	3	10	0.5		5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	24									
5	4	21/2	0.0		0	0	Chord	6/8	1	1	0	appoggiatura		1/8	1	25									
5	4	21/2	1.0		0	0	Chord	6/8	1	1	1/4			1/4	1	26	ornamentMordent								
5	4	23/2	0.0		1/4	1/4	Chord	6/8	1	1	0	appoggiatura		1/8	1	27									
5	4	23/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	28									
5	4	51/4	0.25		9/16	9/16	Chord	6/8	1	1	1/16			1/16	1	29									
5	4	13	0.5		5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	30	articStaccatissimoAbove								
5	4	21/2	1.0		0	0	Chord	6/8	2	1	1/4			1/4	1	31									
5	4	23/2	0.0		1/4	1/4	StaffText	6/8	2	1	0							)							
5	4	23/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	32									
5	4	12	1.0		3/8	3/8	Chord	6/8	2	1	1/4			1/4	1	33									
5	4	13	0.0		5/8	5/8	FiguredBass	6/8	2	1	0										1/8	6			
5	4	13	0.5		5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	34									
6	5	27/2	0.0		0	0	Chord	6/8	1	1	0	appoggiatura		1/8	1	35									
6	5	27/2	0.75		0	0	Chord	6/8	1	1	3/16			1/8	3/2	36	ornamentMordent								
6	5	57/4	0.25		3/16	3/16	Chord	6/8	1	1	1/16			1/16	1	37									
6	5	29/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	38									
6	5	15	0.75		3/8	3/8	Chord	6/8	1	1	3/16			1/8	3/2	39	ornamentShortTrill								
6	5	63/4	0.25		9/16	9/16	Chord	6/8	1	1	1/16			1/16	1	40									
6	5	16	0.5		5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	41									
6	5	27/2	1.0		0	0	Chord	6/8	2	1	1/4			1/4	1	42									
6	5	29/2	0.0		1/4	1/4	FiguredBass	6/8	2	1	0										1/8	6			
6	5	29/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	43									
6	5	15	0.0		3/8	3/8	FiguredBass	6/8	2	1	0										1/4	6	5_		
6	5	15	0.5		3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	44									
6	5	31/2	0.5		1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	45									
6	5	16	0.0		5/8	5/8	FiguredBass	6/8	2	1	0										1/8	3			
6	5	16	0.5		5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	46									
7	6	33/2	0.0		0	0	Chord	6/8	1	1	0	appoggiatura		1/8	1	47									
7	6	33/2	1.5		0	0	Chord	6/8	1	1	3/8			1/4	3/2	48	ornamentMordent								
7	6	37/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	49									
7	6	19	0.5		5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	50									
7	6	33/2	0.0		0	0	FiguredBass	6/8	2	1	0										3/8	_			
7	6	33/2	0.5		0	0	Chord	6/8	2	1	1/8			1/8	1	51									
7	6	17	0.5		1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	52									
7	6	35/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	53									
7	6	18	0.0		3/8	3/8	FiguredBass	6/8	2	1	0										3/8	3_			
7	6	18	0.5		3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	54									
7	6	37/2	0.5		1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	55									
7	6	19	0.5		5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	56									
8	7	39/2	0.5		0	0	Chord	6/8	1	1	1/8			1/8	1	57									3
8	7	20	0.5		1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	58	ornamentShortTrill								
8	7	41/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	59									
8	7	21	1.0		3/8	3/8	Chord	6/8	1	1	1/4			1/4	1	60									
8	7	22	0.5		5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	61									
8	7	39/2	0.0		0	0	FiguredBass	6/8	2	1	0										3/8	b3_			
8	7	39/2	1.0		0	0	Chord	6/8	2	1	1/4			1/4	1	62									
8	7	41/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	63									
8	7	21	0.0		3/8	3/8	FiguredBass	6/8	2	1	0										3/8	3_			
8	7	21	0.5		3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	64									
8	7	43/2	0.5		1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	65									
8	7	22	0.5		5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	66									
9	8	45/2	0.5		0	0	Chord	6/8	1	1	1/8			1/8	1	67									4
9	8	23	0.5		1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	68	ornamentShortTrill								
9	8	47/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	69									
9	8	24	1.0		3/8	3/8	Chord	6/8	1	1	1/4			1/4	1	70	ornamentShortTrill								
9	8	25	0.5		5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	71									
9	8	45/2	0.0		0	0	FiguredBass	6/8	2	1	0										3/8	6_			
9	8	45/2	1.0		0	0	Chord	6/8	2	1	1/4			1/4	1	72									
9	8	47/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	73									
9	8	24	0.0		3/8	3/8	FiguredBass	6/8	2	1	0										3/8	h3_			
9	8	24	0.5		3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	74									
9	8	49/2	0.5		1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	75									
9	8	25	0.5		5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	76									
10	9	51/2	0.5		0	0	Chord	6/8	1	1	1/8			1/8	1	77									
10	9	26	0.5		1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	78									
10	9	53/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	79									
10	9	27	0.5		3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	80									
10	9	55/2	0.25		1/2	1/2	Chord	6/8	1	1	1/16			1/16	1	81									5
10	9	111/4	0.25		9/16	9/16	Chord	6/8	1	1	1/16			1/16	1	82									
10	9	28	0.25		5/8	5/8	Chord	6/8	1	1	1/16			1/16	1	83									6
10	9	113/4	0.25		11/16	11/16	Chord	6/8	1	1	1/16			1/16	1	84									
10	9	51/2	0.0		0	0	FiguredBass	6/8	2	1	0										3/8	6_			
10	9	51/2	0.5		0	0	Chord	6/8	2	1	1/8			1/8	1	85									
10	9	26	0.5		1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	86									
10	9	53/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	87									
10	9	27	0.0		3/8	3/8	FiguredBass	6/8	2	1	0										1/4	6	5_		
10	9	27	0.5		3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	88									
10	9	55/2	0.5		1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	89									
10	9	28	0.0		5/8	5/8	FiguredBass	6/8	2	1	0										1/8	6	4+	3	
10	9	28	0.5		5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	90									
11	10	57/2	1.0		0	0	Chord	6/8	1	1	1/4			1/4	1	91	ornamentShortTrill								
11	10	59/2	0.0		1/4	1/4	StaffText	6/8	1	1	0							)							
11	10	59/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	92									
