mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	1	0	0	0.0		0	0	Tempo	3/4	1	1	0							𝅘𝅥=120	120.0	𝅘𝅥	120.0	0.0					
1	1	0	0	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	0												
1	1	1/2	1/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	1												
1	1	1	1	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	2												
1	1	3/2	3/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	3												
1	1	2	2	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	4												
1	1	5/2	5/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	5												
1	1	0	0	0.5		0	0	Chord	3/4	1	2	1/8		1/8	1	6												
1	1	1/2	1/2	0.5		1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	7												
1	1	1	1	0.5		1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	8												
1	1	3/2	3/2	0.5		3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	9												
1	1	2	2	0.5		1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	10												
1	1	5/2	5/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	11												
1	1	0	0	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	12												
2	2	3	3	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	13	ornamentMordent											0
2	2	5	5	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	14	ornamentTurn											
2	2	3	3	2.0		0	0	Chord	3/4	1	2	1/2		1/2	1	15												1
2	2	5	5	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	16												
2	2	3	3	0.5		0	0	Chord	3/4	2	1	1/8		1/8	1	17												
2	2	7/2	7/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	18												
2	2	4	4	0.5		1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	19												
2	2	9/2	9/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	20												
2	2	5	5	0.0		1/2	1/2	FiguredBass	3/4	2	1	0												1/4	7	5	4_	
2	2	5	5	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	21												
2	2	11/2	11/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	22												
3	3	6	6	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	23												2
3	3	7	7	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	24	ornamentShortTrill											
3	3	8	8	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	25												
3	3	6	6	1.0		0	0	Chord	3/4	1	2	1/4		1/4	1	26												3
3	3	7	7	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	27												
3	3	8	8	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	28												
3	3	6	6	0.0		0	0	FiguredBass	3/4	2	1	0												1/4	6	4		
3	3	6	6	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	29												
3	3	7	7	0.0		1/4	1/4	FiguredBass	3/4	2	1	0												1/4	6	4+	3	
3	3	7	7	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	30												
3	3	8	8	0.0		1/2	1/2	FiguredBass	3/4	2	1	0												1/4	6	4		
3	3	8	8	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	31												
4	4	9	9	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	32	ornamentShortTrill											
4	4	10	10	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	33												
4	4	11	11	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	34												
4	4	9	9	1.0		0	0	Chord	3/4	1	2	1/4		1/4	1	35												
4	4	10	10	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	36												
4	4	11	11	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	37												
4	4	9	9	0.0		0	0	FiguredBass	3/4	2	1	0												1/4	4+			
4	4	9	9	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	38												
4	4	10	10	0.0		1/4	1/4	FiguredBass	3/4	2	1	0												1/4	6			
4	4	10	10	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	39												
4	4	11	11	0.0		1/2	1/2	FiguredBass	3/4	2	1	0												1/4	6	4+	b3	
4	4	11	11	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	40												
5	5	12	12	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	41												4
5	5	13	13	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	42	ornamentShortTrill											
5	5	14	14	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	43												
5	5	12	12	1.0		0	0	Chord	3/4	1	2	1/4		1/4	1	44												5
5	5	13	13	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	45												
5	5	14	14	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	46												
5	5	12	12	0.0		0	0	FiguredBass	3/4	2	1	0												1/4	6			
5	5	12	12	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	47												
5	5	13	13	0.0		1/4	1/4	FiguredBass	3/4	2	1	0												1/4	#6			
5	5	13	13	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	48												
5	5	14	14	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	49												
6	6	15	15	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	50												
6	6	16	16	0.0		1/4	1/4	Chord	3/4	1	1	0	appoggiatura	1/8	1	51												
6	6	16	16	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	52												
6	6	17	17	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	53												
6	6	15	15	1.0		0	0	Chord	3/4	1	2	1/4		1/4	1	54												
6	6	16	16	0.0		1/4	1/4	Chord	3/4	1	2	0	appoggiatura	1/8	1	55												
6	6	16	16	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	56												
6	6	17	17	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	57												
6	6	15	15	0.0		0	0	FiguredBass	3/4	2	1	0												1/2	5/_			
6	6	15	15	0.5		0	0	Chord	3/4	2	1	1/8		1/8	1	58												
6	6	31/2	31/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	59												
6	6	16	16	0.5		1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	60												
6	6	33/2	33/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	61												
6	6	17	17	0.0		1/2	1/2	FiguredBass	3/4	2	1	0												1/4	6_			
6	6	17	17	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	62												
6	6	35/2	35/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	63												
7	7	18	18	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	64												
7	7	19	19	0.0		1/4	1/4	Chord	3/4	1	1	0	grace8after	1/8	1	65												
7	7	19	19	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	66	ornamentShortTrill											
7	7	18	18	1.0		0	0	Chord	3/4	1	2	1/4		1/4	1	67												
7	7	19	19	0.0		1/4	1/4	Chord	3/4	1	2	0	grace8after	1/8	1	68												
7	7	19	19	2.0		1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	69												
7	7	18	18	0.0		0	0	FiguredBass	3/4	2	1	0												1/4	5	4	2_	
7	7	18	18	0.5		0	0	Chord	3/4	2	1	1/8		1/8	1	70												
7	7	37/2	37/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	71												
7	7	19	19	0.0		1/4	1/4	FiguredBass	3/4	2	1	0												1/2	3_			
7	7	19	19	0.5		1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	72												
7	7	39/2	39/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	73												
7	7	20	20	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	74												
7	7	41/2	41/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	75												
8	8		21	2.0	1	0	0	Chord	3/4	1	1	1/2		1/2	1	76	ornamentShortTrill											
8	8		21	2.0	1	0	0	Chord	3/4	1	2	1/2		1/2	1	77												
8	8		21	0.0	1	0	0	FiguredBass	3/4	2	1	0												1/8	#3			
8	8		21	0.5	1	0	0	Chord	3/4	2	1	1/8		1/8	1	78												
8	8		43/2	0.5	1	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	79												
8	8		22	0.5	1	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	80												
8	8		45/2	0.5	1	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	81												
8	8		23	0.5	1	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	82												
8	8		47/2	0.5	1	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	83												
9	8	21	24	2.0	2	0	0	Chord	3/4	1	1	1/2		1/2	1	84	ornamentShortTrill											
9	8	21	24	2.0	2	0	0	Chord	3/4	1	2	1/2		1/2	1	85												
9	8	21	24	1.0	2	0	0	Chord	3/4	2	1	1/4		1/4	1	86												
9	8	22	25	0.0	2	1/4	1/4	FiguredBass	3/4	2	1	0												1/8	#3			
