mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	1	0	0	0.0		0	0	Tempo	3/4	1	1	0						𝅘𝅥=120	120.0	𝅘𝅥	120.0	0.0					
1	1	0	0	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	0												
1	1	1/2	1/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	1												
1	1	1	1	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	2												
1	1	3/2	3/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	3												
1	1	2	2	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	4												
1	1	5/2	5/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	5												
1	1	0	0	3.0		0	0	Chord	3/4	2	1	3/4	1/2	3/2	6												
2	2	3	3	2.0		0	0	Chord	3/4	1	1	1/2	1/2	1	7												
2	2	5	5	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	8												
2	2	3	3	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	9												
2	2	7/2	7/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	10												
2	2	4	4	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	11												
2	2	9/2	9/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	12												
2	2	5	5	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	13												
2	2	11/2	11/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	14												
3	3	6	6	1.5		0	0	Chord	3/4	1	1	3/8	1/4	3/2	15	ornamentShortTrill											0
3	3	15/2	15/2	0.25		3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	16												0
3	3	31/4	31/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	17												0
3	3	8	8	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	18												
3	3	6	6	0.0		0	0	FiguredBass	3/4	2	1	0											1/2	_			
3	3	6	6	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	19												
3	3	13/2	13/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	20												
3	3	7	7	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	21												
3	3	15/2	15/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	22												
3	3	8	8	0.0		1/2	1/2	FiguredBass	3/4	2	1	0											1/4	6			
3	3	8	8	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	23												
4	4	9	9	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	24												
4	4	10	10	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	25												1
4	4	21/2	21/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	26												
4	4	11	11	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	27												2
4	4	23/2	23/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	28												
4	4	9	9	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	29												
4	4	10	10	0.0		1/4	1/4	FiguredBass	3/4	2	1	0											1/4	6			
4	4	10	10	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	30												
4	4	11	11	0.0		1/2	1/2	FiguredBass	3/4	2	1	0											1/4	6			
4	4	11	11	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	31												
5	5	12	12	1.5		0	0	Chord	3/4	1	1	3/8	1/4	3/2	32	ornamentShortTrill											
5	5	27/2	27/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	33												3
5	5	14	14	0.0		1/2	1/2	StaffText	3/4	1	1	0					)										
5	5	14	14	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	34												
5	5	12	12	2.0		0	0	Chord	3/4	2	1	1/2	1/2	1	35												
5	5	14	14	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	36												
6	6	15	15	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	37												
6	6	31/2	31/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	38												
6	6	16	16	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	39												
6	6	33/2	33/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	40												
6	6	17	17	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	41												
6	6	35/2	35/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	42												
6	6	15	15	0.0		0	0	FiguredBass	3/4	2	1	0											3/4	_			
6	6	15	15	2.0		0	0	Chord	3/4	2	1	1/2	1/2	1	43												
6	6	17	17	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	44												
7	7	18	18	0.0		0	0	StaffText	3/4	1	1	0					)										
7	7	18	18	3.0		0	0	Chord	3/4	1	1	3/4	1/2	3/2	45												
7	7	18	18	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	46												
7	7	37/2	37/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	47												
7	7	19	19	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	48												
7	7	39/2	39/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	49												
7	7	20	20	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	50												
7	7	41/2	41/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	51												
8	8	21	21	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	52												
8	8	43/2	43/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	53												
8	8	22	22	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	54												
8	8	45/2	45/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	55												
8	8	23	23	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	56												
8	8	47/2	47/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	57												
8	8	21	21	0.0		0	0	FiguredBass	3/4	2	1	0											3/4	#3_			
8	8	21	21	2.0		0	0	Chord	3/4	2	1	1/2	1/2	1	58												
8	8	23	23	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	59												
9	9	24	24	1.5		0	0	Chord	3/4	1	1	3/8	1/4	3/2	60												
9	9	51/2	51/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	61												
9	9	26	26	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	62												
9	9	53/2	53/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	63												
9	9	24	24	0.0		0	0	FiguredBass	3/4	2	1	0											1/2	6_			
9	9	24	24	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	64												
9	9	49/2	49/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	65												
9	9	25	25	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	66												
9	9	26	26	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	67												
10	10	27	27	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	68												
10	10	55/2	55/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	69												
10	10	28	28	1.5		1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	70	ornamentShortTrill											
10	10	59/2	59/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	71												
10	10	27	27	0.0		0	0	FiguredBass	3/4	2	1	0											1/4	7			
10	10	27	27	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	72												
10	10	28	28	0.0		1/4	1/4	FiguredBass	3/4	2	1	0											1/2	#3_			
10	10	28	28	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	73												
10	10	29	29	0.0		1/2	1/2	FiguredBass	3/4	2	1	0											1/4	7			
10	10	29	29	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	74												
11	11		30	3.0	1	0	0	Chord	3/4	1	1	3/4	1/2	3/2	75												
11	11		30	0.5	1	0	0	Chord	3/4	2	1	1/8	1/8	1	76												
11	11		61/2	0.5	1	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	77												
11	11		31	0.5	1	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	78												
11	11		63/2	0.5	1	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	79												
11	11		32	0.5	1	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	80												
11	11		65/2	0.5	1	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	81												
12	11	30	33	3.0	2	0	0	Chord	3/4	1	1	3/4	1/2	3/2	82												
12	11	30	33	3.0	2	0	0	Chord	3/4	2	1	3/4	1/2	3/2	83												
13	12	33	36	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	84												
13	12	67/2	73/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	85												
13	12	34	37	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	86												
13	12	69/2	75/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	87												
13	12	35	38	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	88												
13	12	71/2	77/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	89												
