mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0							Trèstendrement	72.0			1.0					
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0							𝅘𝅥=78	78.0	𝅘𝅥	78.0	0.0					
1	1	0	0	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	0												
1	1	1	1	0.0	1/4	1/4	Chord	3/4	1	1	0	appoggiatura	1/8	1	1												
1	1	1	1	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	2	ornamentMordent											
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	3												
1	1	0	0	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	4												
1	1	1	1	0.0	1/4	1/4	FiguredBass	3/4	2	1	0												1/4	5			
1	1	1	1	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	5												
1	1	2	2	0.0	1/2	1/2	FiguredBass	3/4	2	1	0												1/4	6			
1	1	2	2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	6												
2	2	3	3	0.0	0	0	Chord	3/4	1	1	0	appoggiatura	1/8	1	7												
2	2	3	3	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	8												
2	2	4	4	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	9												
2	2	11/2	11/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	10												
2	2	3	3	0.0	0	0	FiguredBass	3/4	2	1	0												1/4	7			
2	2	3	3	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	11												
2	2	4	4	0.0	1/4	1/4	FiguredBass	3/4	2	1	0												1/4	6			
2	2	4	4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	12												
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	13												
3	3	6	6	0.0	0	0	Chord	3/4	1	1	0	appoggiatura	1/8	1	14												
3	3	6	6	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	15	ornamentMordent											
3	3	7	7	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	16	ornamentShortTrill											
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	17												
3	3	6	6	0.0	0	0	FiguredBass	3/4	2	1	0												1/4	7			
3	3	6	6	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	18												
3	3	7	7	0.0	1/4	1/4	FiguredBass	3/4	2	1	0												1/4	6			
3	3	7	7	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	19												
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	20												
4	4	9	9	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	21												
4	4	10	10	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	22	ornamentShortTrill											
4	4	9	9	0.0	0	0	Chord	3/4	1	2	0	appoggiatura	1/8	1	23												
4	4	9	9	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	24												
4	4	10	10	0.0	1/4	1/4	Chord	3/4	1	2	0	appoggiatura	1/8	1	25												
4	4	10	10	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	26												
4	4	9	9	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	27												
5	5	12	12	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	28												
5	5	13	13	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	29	ornamentMordent											
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	30												
5	5	12	12	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	31												
5	5	13	13	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	32												
5	5	14	14	0.0	1/2	1/2	FiguredBass	3/4	2	1	0												1/4	6	4		
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	33												
6	6	15	15	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	34	ornamentShortTrill											
6	6	16	16	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	35												
6	6	35/2	35/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	36												
6	6	15	15	0.0	0	0	FiguredBass	3/4	2	1	0												1/4	7	5/		
6	6	15	15	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	37	ornamentShortTrill											
6	6	16	16	0.0	1/4	1/4	FiguredBass	3/4	2	1	0												1/4	6			
6	6	16	16	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	38												
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	39												
7	7	18	18	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	40	ornamentMordent											
7	7	19	19	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	41	ornamentShortTrill											
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	42												
7	7	18	18	0.0	0	0	FiguredBass	3/4	2	1	0												1/4	#6			
7	7	18	18	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	43	ornamentShortTrill											
7	7	19	19	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	44												
7	7	20	20	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	45												
8	8	21	21	0.0	0	0	Chord	3/4	1	1	0	appoggiatura	1/8	1	46												
8	8	21	21	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	47												
8	8	21	21	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	48												
8	8	21	21	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	49												
8	8	22	22	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	50												
8	8	23	23	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	51												
9	9	24	24	0.0	0	0	StaffText	3/4	1	1	0						"<font size=""13.5""/><font face=""SnellRoundhand BoldScript""/>Reprise"										
9	9	24	24	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	52	ornamentMordent											
9	9	25	25	0.0	1/4	1/4	Chord	3/4	1	1	0	appoggiatura	1/8	1	53												0
9	9	25	25	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	54												0
9	9	26	26	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	55	ornamentShortTrill											0
9	9	107/4	107/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	56												
9	9	26	26	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	57												
9	9	24	24	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	58												
9	9	25	25	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	59												
10	10	27	27	0.0	0	0	Chord	3/4	1	1	0	appoggiatura	1/8	1	60												
10	10	27	27	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	61	ornamentMordent											
10	10	57/2	57/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	62												
10	10	29	29	0.0	1/2	1/2	Chord	3/4	1	1	0	appoggiatura	1/8	1	63												
10	10	29	29	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	64												
10	10	27	27	0.0	0	0	FiguredBass	3/4	2	1	0												1/4	6			
10	10	27	27	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	65												
10	10	28	28	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	66												
10	10	29	29	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	67												
10	10	27	27	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	68												
11	11	30	30	0.0	0	0	Chord	3/4	1	1	0	appoggiatura	1/8	1	69												
11	11	30	30	0.0	0	0	Chord	3/4	1	1	0	appoggiatura	1/8	1	70												
11	11	30	30	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	71												
