mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	1	0	0.0	0	0	Tempo	3/4	1	1	0								 = 100	100					
1	1	0	1.5	0	0	Chord	3/4	1	1	3/8			1/4	3/2	0	ornamentMordent								
1	1	3/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	1									
1	1	2	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	2									
1	1	0	0.0	0	0	FiguredBass	3/4	2	1	0										1/2	_			
1	1	0	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	3									
1	1	1	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	4									
1	1	2	0.0	1/2	1/2	FiguredBass	3/4	2	1	0										1/4	5/			
1	1	2	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	5									
2	2	3	0.0	0	0	Chord	3/4	1	1	0	appoggiatura		1/8	1	6									
2	2	3	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	7	ornamentShortTrill								
2	2	4	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	8									
2	2	5	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	9	articStaccatissimoAbove								
2	2	3	0.0	0	0	FiguredBass	3/4	2	1	0										1/4	b3			
2	2	3	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	10									
2	2	4	0.0	1/4	1/4	FiguredBass	3/4	2	1	0										1/4	6	#3		
2	2	4	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	11									
2	2	5	0.0	1/2	1/2	FiguredBass	3/4	2	1	0										1/4	6	4+	3	
2	2	5	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	12									
3	3	6	1.5	0	0	Chord	3/4	1	1	3/8			1/4	3/2	13	ornamentMordent								
3	3	15/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	14									
3	3	8	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	15	ornamentMordent								
3	3	6	0.0	0	0	FiguredBass	3/4	2	1	0										1/4	6			
3	3	6	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	16									
3	3	7	0.0	1/4	1/4	FiguredBass	3/4	2	1	0										1/2	5/_			
3	3	7	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	17									
3	3	8	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	18									
4	4	9	0.0	0	0	Chord	3/4	1	1	0	appoggiatura		1/8	1	19									
4	4	9	2.0	0	0	Chord	3/4	1	1	1/2			1/2	1	20	ornamentShortTrill								
4	4	11	0.0	1/2	1/2	Chord	3/4	1	1	0	appoggiatura		1/8	1	21									
4	4	11	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	22									
4	4	9	0.0	0	0	StaffText	3/4	2	1	0														
4	4	9	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	23	ornamentMordent								
4	4	10	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	24									
5	5	12	1.5	0	0	Chord	3/4	1	1	3/8			1/4	3/2	25									
5	5	27/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	26									
5	5	14	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	27									
5	5	29/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	28									
5	5	12	0.0	0	0	FiguredBass	3/4	2	1	0										3/8	6			
5	5	12	1.5	0	0	Chord	3/4	2	1	3/8			1/4	3/2	29									
5	5	27/2	0.0	3/8	3/8	FiguredBass	3/4	2	1	0										1/8	#6			
5	5	27/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	30									
5	5	14	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	31									
6	6	15	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	32									0
6	6	16	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	33	ornamentShortTrill								
6	6	17	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	34	articStaccatissimoAbove								
6	6	15	0.0	0	0	FiguredBass	3/4	2	1	0										1/4	6	4	3	
6	6	15	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	35	ornamentShortTrill								
6	6	16	0.0	1/4	1/4	FiguredBass	3/4	2	1	0										1/4	#3			
6	6	16	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	36									
6	6	17	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	37									
7	7	18	1.5	0	0	Chord	3/4	1	1	3/8			1/4	3/2	38	ornamentShortTrill								
7	7	39/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	39									
7	7	20	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	40									
7	7	18	0.0	0	0	FiguredBass	3/4	2	1	0										3/8	#3			
7	7	18	1.5	0	0	Chord	3/4	2	1	3/8			1/4	3/2	41									
7	7	39/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	42									
7	7	20	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	43									
8	8	21	2.0	0	0	Chord	3/4	1	1	1/2			1/2	1	44	ornamentMordent								
8	8	47/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	45									
8	8	21	0.0	0	0	FiguredBass	3/4	2	1	0										1/2	6			
8	8	21	2.0	0	0	Chord	3/4	2	1	1/2			1/2	1	46	ornamentShortTrill								
8	8	23	0.0	1/2	1/2	Chord	3/4	2	1	0	appoggiatura		1/8	1	47									
8	8	23	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	48									
9	9	24	0.0	0	0	StaffText	3/4	1	1	0														
9	9	24	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	49	ornamentMordent								
9	9	25	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	50									
9	9	53/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	51									
9	9	25	0.0	1/4	1/4	FiguredBass	3/4	2	1	0										1/2	6_			
9	9	25	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	52									
