mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	1	0	0.0	0	0	StaffText	3/8	1	1	0							Vivement							
1	1	0	0.0	0	0	Tempo	3/8	1	1	0								"  = 40
"	60					
1	1	3/8	0.125	3/32	3/32	Chord	3/8	1	1	1/32			1/32	1	0									
1	1	1/2	0.375	1/8	1/8	Chord	3/8	1	1	3/32			1/16	3/2	1									
1	1	7/8	0.125	7/32	7/32	Chord	3/8	1	1	1/32			1/32	1	2									
1	1	1	0.375	1/4	1/4	Chord	3/8	1	1	3/32			1/16	3/2	3									
1	1	11/8	0.125	11/32	11/32	Chord	3/8	1	1	1/32			1/32	1	4									
1	1	7/8	0.125	7/32	7/32	Chord	3/8	2	1	1/32			1/32	1	5									
1	1	1	0.375	1/4	1/4	Chord	3/8	2	1	3/32			1/16	3/2	6									
1	1	11/8	0.125	11/32	11/32	Chord	3/8	2	1	1/32			1/32	1	7									
2	2	3/2	0.375	0	0	Chord	3/8	1	1	3/32			1/16	3/2	8									
2	2	15/8	0.125	3/32	3/32	Chord	3/8	1	1	1/32			1/32	1	9									
2	2	2	0.16666666666666666	1/8	1/8	Chord	3/8	1	1	1/24			1/16	2/3	10									
2	2	13/6	0.16666666666666666	1/6	1/6	Chord	3/8	1	1	1/24			1/16	2/3	11									
2	2	7/3	0.16666666666666666	5/24	5/24	Chord	3/8	1	1	1/24			1/16	2/3	12									
2	2	5/2	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24			1/16	2/3	13									
2	2	8/3	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24			1/16	2/3	14									
2	2	17/6	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24			1/16	2/3	15									
2	2	3/2	0.5	0	0	Chord	3/8	2	1	1/8			1/8	1	16	ornamentShortTrill								
2	2	19/8	0.125	7/32	7/32	Chord	3/8	2	1	1/32			1/32	1	17									
2	2	5/2	0.16666666666666666	1/4	1/4	Chord	3/8	2	1	1/24			1/16	2/3	18									
2	2	8/3	0.16666666666666666	7/24	7/24	Chord	3/8	2	1	1/24			1/16	2/3	19									
2	2	17/6	0.16666666666666666	1/3	1/3	Chord	3/8	2	1	1/24			1/16	2/3	20									
3	3	3	0.375	0	0	Chord	3/8	1	1	3/32			1/16	3/2	21									
3	3	27/8	0.125	3/32	3/32	Chord	3/8	1	1	1/32			1/32	1	22									
3	3	7/2	0.16666666666666666	1/8	1/8	Chord	3/8	1	1	1/24			1/16	2/3	23									
3	3	11/3	0.16666666666666666	1/6	1/6	Chord	3/8	1	1	1/24			1/16	2/3	24									
