mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	0	0	0	0.0	0	1/2	StaffText	4/4	1	1	0						Gayement										
1	0	0	0	0.0	0	1/2	Tempo	4/4	1	1	0							𝅘𝅥=132	132.0	𝅘𝅥	132.0	0.0					
1	0	0	0	0.5	0	1/2	Chord	4/4	1	1	1/8		1/8	1	0												
1	0	1/2	1/2	0.5	1/8	5/8	Chord	4/4	1	1	1/8		1/8	1	1												
1	0	1	1	0.5	1/4	3/4	Chord	4/4	1	1	1/8		1/8	1	2												
1	0	3/2	3/2	0.5	3/8	7/8	Chord	4/4	1	1	1/8		1/8	1	3												
2	1	2	2	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	4												
2	1	3	3	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	5												
2	1	4	4	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	6												
2	1	5	5	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	7												
3	2	6	6	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	8	ornamentShortTrill											
3	2	7	7	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	9												
3	2	8	8	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	10												
3	2	9	9	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	11												
4	3	10	10	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	12												0
4	3	11	11	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	13	ornamentShortTrill											
4	3	23/2	23/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	14												
4	3	12	12	1.5	1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	15	ornamentShortTrill											
4	3	27/2	27/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	16												
5	4	14	14	0.0	0	0	StaffText	4/4	1	1	0						)										
5	4	14	14	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	17												
5	4	16	16	1.5	1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	18												
5	4	35/2	35/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	19												
5	4	16	16	0.0	1/2	1/2	FiguredBass	4/4	2	1	0												1/2	6_			
5	4	16	16	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	20												
5	4	33/2	33/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	21												
5	4	17	17	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	22												
5	4	35/2	35/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	23												
6	5	18	18	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	24	ornamentShortTrill											1
6	5	39/2	39/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	25												1
6	5	20	20	1.5	1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	26	ornamentShortTrill											1
6	5	43/2	43/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	27												1
6	5	87/4	87/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	28												
6	5	18	18	0.0	0	0	FiguredBass	4/4	2	1	0												1/2	6_			
6	5	18	18	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	29												
6	5	19	19	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	30												
6	5	20	20	0.0	1/2	1/2	FiguredBass	4/4	2	1	0												1/2	3_			
6	5	20	20	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	31												
6	5	21	21	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	32												
7	6	22	22	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	33												
7	6	23	23	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	34												
7	6	24	24	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	35												2
7	6	25	25	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	36	ornamentShortTrill											
7	6	51/2	51/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	37												
7	6	22	22	0.0	0	0	FiguredBass	4/4	2	1	0												1/2	6_			
7	6	22	22	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	38												
7	6	23	23	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	39												
7	6	24	24	0.0	1/2	1/2	FiguredBass	4/4	2	1	0												1/2	3_			
7	6	24	24	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	40												
7	6	25	25	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	41												
8	7	26	26	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	42												
8	7	53/2	53/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	43												
8	7	27	27	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	44												
8	7	55/2	55/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	45												
8	7	28	28	1.5	1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	46	ornamentShortTrill											
8	7	59/2	59/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	47												
8	7	26	26	0.0	0	0	FiguredBass	4/4	2	1	0												1/2	6_			
8	7	26	26	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	48												
8	7	27	27	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	49												
8	7	28	28	0.0	1/2	1/2	FiguredBass	4/4	2	1	0												1/2	#3_			
8	7	28	28	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	50												
8	7	29	29	0.0	3/4	3/4	FiguredBass	4/4	2	1	0												1/4	7			
8	7	29	29	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	51												
9	8	30	30	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	52												
