mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur	TextLine
1	0	0	0	0.0	0	1/8	Tempo	3/8	1	1	0							(Légèrement)	90.0			1.0						
1	0	0	0	0.0	0	1/8	StaffText	3/8	1	1	0						"<font size=""10.5""/><font face=""SnellRoundhand BoldScript""/>( Rondeau)"											
1	0	0	0	0.0	0	1/8	Tempo	3/8	1	1	0							𝅘𝅥.=60	90.0	𝅘𝅥.	60.0	0.0						
1	0	0	0	0.5	0	1/8	Chord	3/8	1	1	1/8		1/8	1	0													
1	0	1/2	1/2	0.5	1/8	1/4	Chord	3/8	1	1	1/8		1/8	1	1	ornamentShortTrill												
1	0	0	0	0.5	0	1/8	Chord	3/8	2	1	1/8		1/8	1	2													
1	0	1/2	1/2	0.0	1/8	1/4	FiguredBass	3/8	2	1	0												1/8	5/				
1	0	1/2	1/2	0.5	1/8	1/4	Chord	3/8	2	1	1/8		1/8	1	3													
2	1	1	1	0.0	0	0	Chord	3/8	1	1	0	appoggiatura	1/8	1	4													
2	1	1	1	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	5													
2	1	3/2	3/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	6													
2	1	7/4	7/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	7													
2	1	2	2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	8	ornamentShortTrill												
2	1	9/4	9/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	9													
2	1	1	1	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	10													
2	1	3/2	3/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	11													
2	1	2	2	0.0	1/4	1/4	FiguredBass	3/8	2	1	0												1/8	6				
2	1	2	2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	12													
