mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	1	0	0	0.0	0	0	StaffText	4/4	1	1	0						Gravement.										
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=52	52.0	𝅘𝅥	52.0	0.0					
1	1	0	0	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	0												
1	1	3/2	3/2	0.16666666666666666	3/8	3/8	Chord	4/4	1	1	1/24		1/16	2/3	1												0
1	1	5/3	5/3	0.16666666666666666	5/12	5/12	Chord	4/4	1	1	1/24		1/16	2/3	2												0
1	1	11/6	11/6	0.16666666666666666	11/24	11/24	Chord	4/4	1	1	1/24		1/16	2/3	3												
1	1	2	2	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	4	ornamentShortTrill											
1	1	5/2	5/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	5												
1	1	3	3	0.0	3/4	3/4	StaffText	4/4	1	1	0						♯										
1	1	3	3	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	6	ornamentMordent											
1	1	15/4	15/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	7												
1	1	0	0	0.0	0	0	FiguredBass	4/4	2	1	0												1/4	_			
1	1	0	0	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	8												
1	1	1/2	1/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	9												
1	1	1	1	0.0	1/4	1/4	FiguredBass	4/4	2	1	0												1/4	5/_			
1	1	1	1	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	10												
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	11												
1	1	2	2	0.0	1/2	1/2	FiguredBass	4/4	2	1	0												1/8	b3			
1	1	2	2	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	12												
1	1	5/2	5/2	0.0	5/8	5/8	FiguredBass	4/4	2	1	0												1/8	6	4		
1	1	5/2	5/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	13												
1	1	3	3	0.0	3/4	3/4	FiguredBass	4/4	2	1	0												1/8	6	4+	3	
1	1	3	3	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	14												
1	1	7/2	7/2	0.0	7/8	7/8	FiguredBass	4/4	2	1	0												1/8	6	5	b3	
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	15												
2	2	4	4	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	16	ornamentShortTrill											
2	2	11/2	11/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	17												
2	2	23/4	23/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	18												
2	2	6	6	0.0	1/2	1/2	Chord	4/4	1	1	0	appoggiatura	1/8	1	19												
2	2	6	6	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	20	ornamentShortTrill											
2	2	13/2	13/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	21												
2	2	7	7	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	22	ornamentShortTrill											
2	2	31/4	31/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	23												
2	2	4	4	0.0	0	0	FiguredBass	4/4	2	1	0												1/4	#3_			
2	2	4	4	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	24												
2	2	9/2	9/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	25												
2	2	5	5	0.0	1/4	1/4	FiguredBass	4/4	2	1	0												1/4	6_			
2	2	5	5	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	26												
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	27												
2	2	6	6	0.0	1/2	1/2	FiguredBass	4/4	2	1	0												1/8	b3			
2	2	6	6	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	28												
2	2	13/2	13/2	0.0	5/8	5/8	FiguredBass	4/4	2	1	0												1/8	6_			
2	2	13/2	13/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	29												
2	2	27/4	27/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	30												
2	2	7	7	0.0	3/4	3/4	FiguredBass	4/4	2	1	0												1/8	5	4		
2	2	7	7	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	31												
2	2	15/2	15/2	0.0	7/8	7/8	FiguredBass	4/4	2	1	0												1/8	3			
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	32												
3	3	8	8	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	33	ornamentShortTrill											
3	3	17/2	17/2	0.0	1/8	1/8	Chord	4/4	1	1	0	appoggiatura	1/8	1	34												
3	3	17/2	17/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	35												
3	3	19/2	19/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	36												
3	3	39/4	39/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	37												
3	3	10	10	0.0	1/2	1/2	Chord	4/4	1	1	0	appoggiatura	1/8	1	38												
3	3	10	10	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	39	ornamentMordent											
3	3	21/2	21/2	0.0	5/8	5/8	Chord	4/4	1	1	0	appoggiatura	1/8	1	40												
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	41												
3	3	11	11	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	42	ornamentShortTrill											
3	3	47/4	47/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	43												
3	3	8	8	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	44												
3	3	17/2	17/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	45												
3	3	9	9	0.0	1/4	1/4	FiguredBass	4/4	2	1	0												1/8	3			
3	3	9	9	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	46												
3	3	19/2	19/2	0.0	3/8	3/8	FiguredBass	4/4	2	1	0												1/8	4+			
3	3	10	10	0.0	1/2	1/2	FiguredBass	4/4	2	1	0												1/8	6			
3	3	10	10	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	47												
3	3	21/2	21/2	0.0	5/8	5/8	FiguredBass	4/4	2	1	0												1/8	3_			
3	3	21/2	21/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	48												
3	3	43/4	43/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	49												
3	3	11	11	0.0	3/4	3/4	FiguredBass	4/4	2	1	0												1/8	4+			
3	3	11	11	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	50	ornamentShortTrill											
3	3	23/2	23/2	0.0	7/8	7/8	FiguredBass	4/4	2	1	0												1/8	#6			
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	51												
4	4	12	12	0.0	0	0	Chord	4/4	1	1	0	appoggiatura	1/8	1	52												
4	4	12	12	0.75	0	0	Chord	4/4	1	1	3/16		1/8	3/2	53	ornamentMordent											
4	4	51/4	51/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	54												
4	4	13	13	0.0	1/4	1/4	Chord	4/4	1	1	0	appoggiatura	1/8	1	55												
4	4	13	13	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	56												
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	57	ornamentShortTrill											
