mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	staff_text	slur
1	0	0	0.0	0	1/4	StaffText	6/8	1	1	0							Agréablement	
1	0	0	0.5	0	1/4	Chord	6/8	1	1	1/8			1/8	1	0			
1	0	1/2	0.5	1/8	3/8	Chord	6/8	1	1	1/8			1/8	1	1			
1	0	1	0.5	1/4	1/2	Chord	6/8	1	1	1/8			1/8	1	2			
1	0	3/2	0.5	3/8	5/8	Chord	6/8	1	1	1/8			1/8	1	3			
2	1	2	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	4			
2	1	5/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	5			
2	1	3	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	6			
2	1	7/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	7			0
2	1	4	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	8	ornamentShortTrill		
2	1	9/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	9			
2	1	3	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	10			
2	1	7/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	11			
2	1	4	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	12			
2	1	9/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	13			
3	2	5	1.0	0	0	Chord	6/8	1	1	1/4			1/4	1	14	ornamentShortTrill		
3	2	6	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	15			
3	2	13/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	16			1
3	2	7	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	17	ornamentShortTrill		
3	2	15/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	18			
3	2	5	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	19			
3	2	11/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	20			
3	2	6	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	21			
3	2	13/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	22	ornamentShortTrill		
3	2	7	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	23			
3	2	15/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	24			
4	3	8	0.0	0	0	Chord	6/8	1	1	0	appoggiatura		1/8	1	25			
4	3	8	1.0	0	0	Chord	6/8	1	1	1/4			1/4	1	26	ornamentMordent		
4	3	9	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	27			
4	3	19/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	28			2
4	3	10	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	29	ornamentShortTrill		
4	3	21/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	30			
4	3	8	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	31			
4	3	17/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	32			
4	3	9	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	33			
4	3	19/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	34	ornamentShortTrill		
4	3	10	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	35			
4	3	21/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	36			
5	4	11	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	37			
5	4	23/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	38			
5	4	12	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	39			
5	4	25/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	40			
5	4	13	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	41			
5	4	27/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	42			
5	4	11	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	43			
5	4	23/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	44			
5	4	12	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	45			
5	4	25/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4			1/4	1	46			
5	4	27/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	47			
6	5	14	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	48	ornamentShortTrill		
6	5	29/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	49			
6	5	15	0.75	1/4	1/4	Chord	6/8	1	1	3/16			1/8	3/2	50	ornamentMordent		
6	5	63/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16			1/16	1	51			
6	5	16	0.75	1/2	1/2	Chord	6/8	1	1	3/16			1/8	3/2	52	ornamentShortTrill		
6	5	67/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16			1/16	1	53			
6	5	14	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	54			
6	5	29/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	55			
6	5	15	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	56			
6	5	31/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	57			
6	5	16	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	58			
