mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	tempo	qpm	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	thoroughbass_level_4	slur
1	0	0	0	0.0	0	1/2	Tempo	4/4	1	1	0						Gravement	66.0	1.0						
1	0	0	0	1.0	0	1/2	Chord	4/4	1	1	1/4		1/4	1	0	ornamentMordent									
1	0	1	1	0.75	1/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	1										0
1	0	7/4	7/4	0.25	7/16	15/16	Chord	4/4	1	1	1/16		1/16	1	2										
1	0	0	0	0.5	0	1/2	Chord	4/4	2	1	1/8		1/8	1	3										
1	0	1/2	1/2	0.5	1/8	5/8	Chord	4/4	2	1	1/8		1/8	1	4										
1	0	1	1	0.5	1/4	3/4	Chord	4/4	2	1	1/8		1/8	1	5	ornamentMordent									
1	0	3/2	3/2	0.5	3/8	7/8	Chord	4/4	2	1	1/8		1/8	1	6										
2	1	2	2	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	7	ornamentShortTrill									
2	1	15/4	15/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	8										
2	1	4	4	0.75	1/2	1/2	Chord	4/4	1	1	3/16		1/8	3/2	9	ornamentMordent									1
2	1	19/4	19/4	0.08333333333333333	11/16	11/16	Chord	4/4	1	1	1/48		1/32	2/3	10										1
2	1	29/6	29/6	0.08333333333333333	17/24	17/24	Chord	4/4	1	1	1/48		1/32	2/3	11										1
2	1	59/12	59/12	0.08333333333333333	35/48	35/48	Chord	4/4	1	1	1/48		1/32	2/3	12										1
2	1	5	5	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	13	ornamentShortTrill									1
2	1	23/4	23/4	0.125	15/16	15/16	Chord	4/4	1	1	1/32		1/32	1	14										1
2	1	47/8	47/8	0.125	31/32	31/32	Chord	4/4	1	1	1/32		1/32	1	15										
2	1	2	2	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	16										
2	1	5/2	5/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	17										
2	1	3	3	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	18	ornamentShortTrill									
2	1	7/2	7/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	19										
2	1	4	4	0.0	1/2	1/2	FiguredBass	4/4	2	1	0									1/8	6				
2	1	4	4	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	20	ornamentShortTrill									
2	1	9/2	9/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	21										
2	1	5	5	0.0	3/4	3/4	FiguredBass	4/4	2	1	0									1/8	5	4			
2	1	5	5	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	22										
2	1	11/2	11/2	0.0	7/8	7/8	FiguredBass	4/4	2	1	0									1/8	3				
2	1	11/2	11/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	23										
3	2	6	6	0.0	0	0	Chord	4/4	1	1	0	appoggiatura	1/8	1	24										
3	2	6	6	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	25	ornamentMordent									
3	2	13/2	13/2	0.0	1/8	1/8	Chord	4/4	1	1	0	appoggiatura	1/8	1	26										
3	2	13/2	13/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	27										
3	2	8	8	1.5	1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	28	ornamentMordent									2
3	2	19/2	19/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	29	ornamentShortTrill									2
3	2	39/4	39/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	30										
3	2	6	6	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	31	ornamentMordent									
3	2	7	7	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	32										
3	2	15/2	15/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	33										
3	2	8	8	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	34										
3	2	17/2	17/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	35	ornamentShortTrill									
3	2	35/4	35/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	36										
3	2	9	9	0.0	3/4	3/4	FiguredBass	4/4	2	1	0									1/8	6				
3	2	9	9	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	37										
3	2	19/2	19/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	38	ornamentShortTrill									
3	2	39/4	39/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	39										
4	3	10	10	0.0	0	0	Chord	4/4	1	1	0	appoggiatura	1/8	1	40										
4	3	10	10	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	41										
4	3	23/2	23/2	0.0	3/8	3/8	Chord	4/4	1	1	0	appoggiatura	1/8	1	42										
4	3	23/2	23/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	43										
4	3	12	12	0.0	1/2	1/2	Chord	4/4	1	1	0	appoggiatura	1/8	1	44										
4	3	12	12	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	45	ornamentMordent									
4	3	13	13	0.0	3/4	3/4	Chord	4/4	1	1	0	grace16	1/16	1	46										3
4	3	13	13	0.0	3/4	3/4	Chord	4/4	1	1	0	grace16	1/16	1	47										3
4	3	13	13	0.0	3/4	3/4	Chord	4/4	1	1	0	grace16	1/16	1	48										3
4	3	13	13	0.0	3/4	3/4	Chord	4/4	1	1	0	grace16	1/16	1	49										3
4	3	13	13	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	50	ornamentShortTrill									3
4	3	55/4	55/4	0.125	15/16	15/16	Chord	4/4	1	1	1/32		1/32	1	51										3
4	3	111/8	111/8	0.125	31/32	31/32	Chord	4/4	1	1	1/32		1/32	1	52										
4	3	10	10	0.0	0	0	FiguredBass	4/4	2	1	0									1/8	6				
4	3	10	10	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	53	ornamentShortTrill									
4	3	21/2	21/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	54										
4	3	43/4	43/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	55										
4	3	11	11	0.0	1/4	1/4	FiguredBass	4/4	2	1	0									1/4	6	4+	3		
4	3	11	11	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	56	ornamentMordent									
4	3	12	12	0.0	1/2	1/2	FiguredBass	4/4	2	1	0									1/4	7				
4	3	12	12	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	57										
4	3	13	13	0.0	3/4	3/4	FiguredBass	4/4	2	1	0									1/4	#6				
4	3	13	13	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	58	ornamentShortTrill									
5	4	14	14	0.0	0	0	Chord	4/4	1	1	0	appoggiatura	1/8	1	59										
5	4	14	14	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	60										
5	4	16	16	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	61	ornamentMordent									
5	4	17	17	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	62										4
5	4	71/4	71/4	0.125	15/16	15/16	Chord	4/4	1	1	1/32		1/32	1	63										4
5	4	143/8	143/8	0.125	31/32	31/32	Chord	4/4	1	1	1/32		1/32	1	64										
5	4	14	14	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	65										
5	4	29/2	29/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	66										
5	4	15	15	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	67										
5	4	31/2	31/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	68										
5	4	16	16	0.0	1/2	1/2	FiguredBass	4/4	2	1	0									1/2	8_	5\			
5	4	16	16	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	69										
5	4	33/2	33/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	70										
5	4	17	17	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	71	ornamentShortTrill									
5	4	35/2	35/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	72										
6	5	18	18	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	73	ornamentShortTrill									
6	5	37/2	37/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	74										
