mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
1	0	0	0.0	0	11/8	Tempo	3/2	1	1	0								Galament	160				
1	0	0	0.0	0	11/8	Tempo	3/2	1	1	0								 = 79	158				
1	0	0	0.5	0	11/8	Chord	3/2	1	1	1/8			1/8	1	0								
2	1	1/2	1.5	0	0	Chord	3/2	1	1	3/8			1/4	3/2	1								
2	1	2	0.5	3/8	3/8	Chord	3/2	1	1	1/8			1/8	1	2								
2	1	5/2	1.0	1/2	1/2	Chord	3/2	1	1	1/4			1/4	1	3								
2	1	7/2	1.0	3/4	3/4	Chord	3/2	1	1	1/4			1/4	1	4								
2	1	9/2	1.5	1	1	Chord	3/2	1	1	3/8			1/4	3/2	5	ornamentTurn							
2	1	6	0.5	11/8	11/8	Chord	3/2	1	1	1/8			1/8	1	6								
2	1	1	0.5	1/8	1/8	Chord	3/2	2	1	1/8			1/8	1	7								
2	1	3/2	0.5	1/4	1/4	Chord	3/2	2	1	1/8			1/8	1	8								
2	1	2	0.5	3/8	3/8	Chord	3/2	2	1	1/8			1/8	1	9								
2	1	5/2	0.0	1/2	1/2	FiguredBass	3/2	2	1	0										1/4	6	5	
2	1	5/2	1.0	1/2	1/2	Chord	3/2	2	1	1/4			1/4	1	10								
2	1	7/2	0.0	3/4	3/4	FiguredBass	3/2	2	1	0										1/4	6	4	
2	1	7/2	1.0	3/4	3/4	Chord	3/2	2	1	1/4			1/4	1	11								
2	1	9/2	0.0	1	1	FiguredBass	3/2	2	1	0										1/4	6		
2	1	9/2	1.0	1	1	Chord	3/2	2	1	1/4			1/4	1	12								
2	1	11/2	0.0	5/4	5/4	FiguredBass	3/2	2	1	0										1/4	5/		
2	1	11/2	1.0	5/4	5/4	Chord	3/2	2	1	1/4			1/4	1	13								
3	2	13/2	1.0	0	0	Chord	3/2	1	1	1/4			1/4	1	14	ornamentShortTrill							
3	2	15/2	0.0	1/4	1/4	Chord	3/2	1	1	0	appoggiatura		1/8	1	15								
3	2	15/2	1.0	1/4	1/4	Chord	3/2	1	1	1/4			1/4	1	16								
3	2	17/2	1.0	1/2	1/2	Chord	3/2	1	1	1/4			1/4	1	17								
3	2	19/2	1.0	3/4	3/4	Chord	3/2	1	1	1/4			1/4	1	18								
3	2	21/2	1.5	1	1	Chord	3/2	1	1	3/8			1/4	3/2	19	ornamentShortTrill							
3	2	12	0.5	11/8	11/8	Chord	3/2	1	1	1/8			1/8	1	20								
3	2	17/2	1.0	1/2	1/2	Chord	3/2	1	2	1/4			1/4	1	21								
3	2	19/2	1.0	3/4	3/4	Chord	3/2	1	2	1/4			1/4	1	22								
3	2	21/2	1.0	1	1	Chord	3/2	1	2	1/4			1/4	1	23								
3	2	23/2	1.0	5/4	5/4	Chord	3/2	1	2	1/4			1/4	1	24								
3	2	13/2	1.0	0	0	Chord	3/2	2	1	1/4			1/4	1	25								
3	2	15/2	1.5	1/4	1/4	Chord	3/2	2	1	3/8			1/4	3/2	26								
3	2	9	0.5	5/8	5/8	Chord	3/2	2	1	1/8			1/8	1	27								
3	2	19/2	0.0	3/4	3/4	FiguredBass	3/2	2	1	0										1/4	#6		
3	2	19/2	1.0	3/4	3/4	Chord	3/2	2	1	1/4			1/4	1	28								
3	2	21/2	1.0	1	1	Chord	3/2	2	1	1/4			1/4	1	29								
3	2	23/2	1.0	5/4	5/4	Chord	3/2	2	1	1/4			1/4	1	30								
4	3	25/2	0.0	0	0	Chord	3/2	1	1	0	appoggiatura		1/8	1	31								
4	3	25/2	3.0	0	0	Chord	3/2	1	1	3/4			1/2	3/2	32								
4	3	31/2	1.0	3/4	3/4	Chord	3/2	1	1	1/4			1/4	1	33	ornamentShortTrill							
4	3	33/2	0.0	1	1	Chord	3/2	1	1	0	appoggiatura		1/8	1	34								
4	3	33/2	1.5	1	1	Chord	3/2	1	1	3/8			1/4	3/2	35	ornamentMordent							
