mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur	TextLine
1	0	0	0	0.0	0	15/16	Tempo	4/4	1	1	0							Lentement	60.0			1.0					
1	0	0	0	0.0	0	15/16	Tempo	4/4	1	1	0							𝅘𝅥=60	60.0	𝅘𝅥	60.0	0.0					
1	0	0	0	0.25	0	15/16	Chord	4/4	1	1	1/16		1/16	1	0												
2	1	1/4	1/4	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	1												
2	1	5/4	5/4	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	2											0	
2	1	7/4	7/4	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	3	ornamentShortTrill											
2	1	2	2	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	4												
2	1	9/4	9/4	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	5												
2	1	13/4	13/4	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	6											1	
2	1	15/4	15/4	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	7	ornamentShortTrill											
2	1	4	4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	8												
2	1	1/4	1/4	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	9												
2	1	5/4	5/4	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	10												
2	1	9/4	9/4	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	11												
2	1	11/4	11/4	0.0	5/8	5/8	Chord	4/4	1	2	0	appoggiatura	1/8	1	12												
2	1	11/4	11/4	0.5	5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	13												
2	1	13/4	13/4	0.5	3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	14												
2	1	1/4	1/4	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	15												
2	1	1/2	1/2	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	16												
2	1	3/4	3/4	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	17												
2	1	1	1	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	18											2	
2	1	5/4	5/4	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	19	ornamentShortTrill											
2	1	7/4	7/4	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	20												
2	1	2	2	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	21												
2	1	9/4	9/4	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	22	ornamentShortTrill											
2	1	11/4	11/4	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	23												
2	1	13/4	13/4	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	24	ornamentMordent											
2	1	15/4	15/4	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	25												
3	2	17/4	17/4	0.0	0	0	Chord	4/4	1	1	0	appoggiatura	1/8	1	26												
3	2	17/4	17/4	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	27												
3	2	19/4	19/4	0.0	1/8	1/8	Chord	4/4	1	1	0	appoggiatura	1/8	1	28												
3	2	19/4	19/4	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	29												
3	2	21/4	21/4	0.0	1/4	1/4	Chord	4/4	1	1	0	appoggiatura	1/8	1	30												
3	2	21/4	21/4	0.75	1/4	1/4	Chord	4/4	1	1	3/16		1/8	3/2	31	ornamentMordent											
3	2	6	6	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	32												
3	2	25/4	25/4	0.0	1/2	1/2	Spanner	4/4	1	1	0																
3	2	25/4	25/4	0.0	1/2	1/2	Spanner	4/4	1	1	0																
3	2	25/4	25/4	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	33											3	
3	2	29/4	29/4	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	34	ornamentShortTrill											
3	2	8	8	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	35												
3	2	25/4	25/4	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	36											4	
3	2	29/4	29/4	0.75	3/4	3/4	Chord	4/4	1	2	3/16		1/8	3/2	37												
3	2	17/4	17/4	0.0	0	0	FiguredBass	4/4	2	1	0												1/4	4+_			
3	2	17/4	17/4	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	38												
3	2	9/2	9/2	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	39												
3	2	19/4	19/4	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	40												
3	2	5	5	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	41												
3	2	21/4	21/4	0.0	1/4	1/4	FiguredBass	4/4	2	1	0												1/8	6_			
3	2	21/4	21/4	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	42												
3	2	11/2	11/2	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	43												
3	2	23/4	23/4	0.0	3/8	3/8	FiguredBass	4/4	2	1	0												1/16	6	5		
3	2	23/4	23/4	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	44												
3	2	6	6	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	45												
3	2	25/4	25/4	0.0	1/2	1/2	FiguredBass	4/4	2	1	0												1/8	6	4		
3	2	25/4	25/4	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	46												
3	2	27/4	27/4	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	47	ornamentTurn											
3	2	29/4	29/4	0.0	3/4	3/4	FiguredBass	4/4	2	1	0												1/8	3			
3	2	29/4	29/4	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	48												
3	2	31/4	31/4	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	49												
3	2	29/4	29/4	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	50												
4	3	33/4	33/4	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	51												
4	3	9	9	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	52												
4	3	37/4	37/4	0.75	1/4	1/4	Chord	4/4	1	1	3/16		1/8	3/2	53	ornamentShortTrill											
4	3	10	10	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	54												
4	3	41/4	41/4	0.0	1/2	1/2	Chord	4/4	1	1	0	appoggiatura	1/8	1	55												
4	3	41/4	41/4	0.75	1/2	1/2	Chord	4/4	1	1	3/16		1/8	3/2	56	ornamentMordent											
4	3	11	11	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	57												
4	3	45/4	45/4	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	58	ornamentMordent											
4	3	12	12	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	59												
4	3	33/4	33/4	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	60	ornamentMordent											
4	3	21/2	21/2	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	61												
4	3	43/4	43/4	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	62												
4	3	45/4	45/4	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	63												
4	3	47/4	47/4	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	64												
4	3	33/4	33/4	0.5	0	0	Chord	4/4	2	2	1/8		1/8	1	65												
4	3	35/4	35/4	0.5	1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	66												
4	3	39/4	39/4	0.5	3/8	3/8	Chord	4/4	2	2	1/8		1/8	1	67												
4	3	41/4	41/4	0.5	1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	68												
4	3	43/4	43/4	0.5	5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	69												
4	3	45/4	45/4	0.5	3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	70												
4	3	47/4	47/4	0.5	7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	71												
5	4	49/4	49/4	0.0	0	0	Chord	4/4	1	1	0	appoggiatura	1/8	1	72												
5	4	49/4	49/4	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	73	ornamentMordent											
5	4	51/4	51/4	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	74											5	
5	4	13	13	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	75												
5	4	53/4	53/4	0.0	1/4	1/4	Chord	4/4	1	1	0	appoggiatura	1/8	1	76												
5	4	53/4	53/4	0.75	1/4	1/4	Chord	4/4	1	1	3/16		1/8	3/2	77	ornamentMordent											
5	4	14	14	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	78												
