mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	thoroughbass_level_4	slur
1	0	0	0	0.0	0	1/4	StaffText	4/4	1	1	0						Fiérement, sans lenteur											
1	0	3/8	3/8	0.0	3/32	11/32	Tempo	4/4	1	1	0							𝅘𝅥=78	78.0	𝅘𝅥	78.0	0.0						
1	0	3/8	3/8	0.125	3/32	11/32	Chord	4/4	1	1	1/32		1/32	1	0													
1	0	1/2	1/2	0.375	1/8	3/8	Chord	4/4	1	1	3/32		1/16	3/2	1	ornamentMordent												
1	0	7/8	7/8	0.125	7/32	15/32	Chord	4/4	1	1	1/32		1/32	1	2													
1	0	1	1	0.75	1/4	1/2	Chord	4/4	1	1	3/16		1/8	3/2	3	ornamentMordent												
1	0	7/4	7/4	0.25	7/16	11/16	Chord	4/4	1	1	1/16		1/16	1	4													
1	0	2	2	0.75	1/2	3/4	Chord	4/4	1	1	3/16		1/8	3/2	5	ornamentShortTrill												
1	0	11/4	11/4	0.25	11/16	15/16	Chord	4/4	1	1	1/16		1/16	1	6													
2	1	3	3	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	7													
2	1	35/8	35/8	0.125	11/32	11/32	Chord	4/4	1	1	1/32		1/32	1	8													
2	1	9/2	9/2	0.375	3/8	3/8	Chord	4/4	1	1	3/32		1/16	3/2	9													
2	1	39/8	39/8	0.125	15/32	15/32	Chord	4/4	1	1	1/32		1/32	1	10													
2	1	5	5	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	11													
2	1	11/2	11/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	12													
2	1	23/4	23/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	13													
2	1	6	6	0.0	3/4	3/4	Chord	4/4	1	1	0	appoggiatura	1/8	1	14													0
2	1	6	6	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	15													0
2	1	13/2	13/2	0.375	7/8	7/8	Chord	4/4	1	1	3/32		1/16	3/2	16													
2	1	55/8	55/8	0.125	31/32	31/32	Chord	4/4	1	1	1/32		1/32	1	17													
2	1	35/8	35/8	0.0	11/32	11/32	FiguredBass	4/4	2	1	0												5/32	6_				
2	1	35/8	35/8	0.125	11/32	11/32	Chord	4/4	2	1	1/32		1/32	1	18													
2	1	9/2	9/2	0.375	3/8	3/8	Chord	4/4	2	1	3/32		1/16	3/2	19													
2	1	39/8	39/8	0.125	15/32	15/32	Chord	4/4	2	1	1/32		1/32	1	20													
2	1	5	5	0.0	1/2	1/2	FiguredBass	4/4	2	1	0												1/4	7_				
2	1	5	5	0.75	1/2	1/2	Chord	4/4	2	1	3/16		1/8	3/2	21													
2	1	23/4	23/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	22													
2	1	6	6	0.0	3/4	3/4	FiguredBass	4/4	2	1	0												1/4	6	4+	3_		
2	1	6	6	0.75	3/4	3/4	Chord	4/4	2	1	3/16		1/8	3/2	23	ornamentShortTrill												
2	1	27/4	27/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	24													
3	2	7	7	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	25	ornamentShortTrill												
3	2	67/8	67/8	0.125	11/32	11/32	Chord	4/4	1	1	1/32		1/32	1	26													
3	2	17/2	17/2	0.375	3/8	3/8	Chord	4/4	1	1	3/32		1/16	3/2	27													
3	2	71/8	71/8	0.125	15/32	15/32	Chord	4/4	1	1	1/32		1/32	1	28													
3	2	9	9	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	29	ornamentShortTrill												
3	2	19/2	19/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	30													
3	2	10	10	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	31	ornamentMordent												
3	2	21/2	21/2	0.375	7/8	7/8	Chord	4/4	1	1	3/32		1/16	3/2	32													
3	2	87/8	87/8	0.125	31/32	31/32	Chord	4/4	1	1	1/32		1/32	1	33													
3	2	7	7	0.0	0	0	FiguredBass	4/4	2	1	0												1/4	h3_				
