mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	0	0	0	0.0	0	5/8	StaffText	12/8	1	1	0						Tendrement et louré.										
1	0	0	0	0.0	0	5/8	Tempo	12/8	1	1	0							𝅘𝅥.=70	105.0	𝅘𝅥.	70.0	0.0					
1	0	0	0	0.5	0	5/8	Chord	12/8	1	1	1/8		1/8	1	0												
1	0	1/2	1/2	1.0	1/8	3/4	Chord	12/8	1	1	1/4		1/4	1	1	ornamentShortTrill											
1	0	3/2	3/2	0.5	3/8	1	Chord	12/8	1	1	1/8		1/8	1	2												
1	0	2	2	1.0	1/2	9/8	Chord	12/8	1	1	1/4		1/4	1	3												
1	0	3	3	0.5	3/4	11/8	Chord	12/8	1	1	1/8		1/8	1	4												
2	1	7/2	7/2	0.0	0	0	Chord	12/8	1	1	0	appoggiatura	1/8	1	5												
2	1	7/2	7/2	1.5	0	0	Chord	12/8	1	1	3/8		1/4	3/2	6	ornamentMordent											0
2	1	5	5	1.0	3/8	3/8	Chord	12/8	1	1	1/4		1/4	1	7	ornamentShortTrill											
2	1	6	6	0.5	5/8	5/8	Chord	12/8	1	1	1/8		1/8	1	8												
2	1	13/2	13/2	0.5	3/4	3/4	Chord	12/8	1	1	1/8		1/8	1	9												1
2	1	7	7	0.5	7/8	7/8	Chord	12/8	1	1	1/8		1/8	1	10												1
2	1	15/2	15/2	0.5	1	1	Chord	12/8	1	1	1/8		1/8	1	11												
2	1	8	8	0.5	9/8	9/8	Chord	12/8	1	1	1/8		1/8	1	12												2
2	1	17/2	17/2	0.5	5/4	5/4	Chord	12/8	1	1	1/8		1/8	1	13												2
2	1	9	9	0.5	11/8	11/8	Chord	12/8	1	1	1/8		1/8	1	14												
2	1	9/2	9/2	0.5	1/4	1/4	Chord	12/8	2	1	1/8		1/8	1	15												
2	1	5	5	0.0	3/8	3/8	FiguredBass	12/8	2	1	0												1/4	5/			
2	1	5	5	1.0	3/8	3/8	Chord	12/8	2	1	1/4		1/4	1	16	ornamentShortTrill											
2	1	6	6	0.5	5/8	5/8	Chord	12/8	2	1	1/8		1/8	1	17												
2	1	13/2	13/2	0.0	3/4	3/4	FiguredBass	12/8	2	1	0												1/4	6	5	b3	
2	1	13/2	13/2	1.0	3/4	3/4	Chord	12/8	2	1	1/4		1/4	1	18												
2	1	15/2	15/2	0.0	1	1	FiguredBass	12/8	2	1	0												1/8	6	4		
2	1	15/2	15/2	0.5	1	1	Chord	12/8	2	1	1/8		1/8	1	19												
2	1	8	8	0.0	9/8	9/8	FiguredBass	12/8	2	1	0												1/4	6	4+	3	
2	1	8	8	1.0	9/8	9/8	Chord	12/8	2	1	1/4		1/4	1	20												
2	1	9	9	0.0	11/8	11/8	FiguredBass	12/8	2	1	0												1/8	7	5		
2	1	9	9	0.5	11/8	11/8	Chord	12/8	2	1	1/8		1/8	1	21												
3	2	19/2	19/2	1.5	0	0	Chord	12/8	1	1	3/8		1/4	3/2	22	ornamentShortTrill											
3	2	12	12	0.5	5/8	5/8	Chord	12/8	1	1	1/8		1/8	1	23												
3	2	25/2	25/2	1.0	3/4	3/4	Chord	12/8	1	1	1/4		1/4	1	24	ornamentMordent											
3	2	27/2	27/2	0.5	1	1	Chord	12/8	1	1	1/8		1/8	1	25												
3	2	14	14	0.0	9/8	9/8	Chord	12/8	1	1	0	appoggiatura	1/8	1	26												
3	2	14	14	1.0	9/8	9/8	Chord	12/8	1	1	1/4		1/4	1	27	ornamentMordent											
3	2	15	15	0.5	11/8	11/8	Chord	12/8	1	1	1/8		1/8	1	28												
3	2	19/2	19/2	0.0	0	0	FiguredBass	12/8	2	1	0												3/8	#3_			
3	2	19/2	19/2	1.0	0	0	Chord	12/8	2	1	1/4		1/4	1	29												
3	2	21/2	21/2	0.5	1/4	1/4	Chord	12/8	2	1	1/8		1/8	1	30												
3	2	11	11	0.0	3/8	3/8	FiguredBass	12/8	2	1	0												3/8	4+_			
3	2	11	11	1.0	3/8	3/8	Chord	12/8	2	1	1/4		1/4	1	31												
3	2	12	12	0.5	5/8	5/8	Chord	12/8	2	1	1/8		1/8	1	32												
3	2	25/2	25/2	1.0	3/4	3/4	Chord	12/8	2	1	1/4		1/4	1	33												
3	2	27/2	27/2	0.0	1	1	FiguredBass	12/8	2	1	0												3/8	5/_			
3	2	27/2	27/2	0.5	1	1	Chord	12/8	2	1	1/8		1/8	1	34												
3	2	14	14	0.5	9/8	9/8	Chord	12/8	2	1	1/8		1/8	1	35												
3	2	29/2	29/2	0.5	5/4	5/4	Chord	12/8	2	1	1/8		1/8	1	36												
3	2	15	15	0.0	11/8	11/8	FiguredBass	12/8	2	1	0												1/8	5/			
3	2	15	15	0.5	11/8	11/8	Chord	12/8	2	1	1/8		1/8	1	37												
4	3	31/2	31/2	1.5	0	0	Chord	12/8	1	1	3/8		1/4	3/2	38	ornamentShortTrill											3
4	3	17	17	0.0	3/8	3/8	StaffText	12/8	1	1	0						)										
4	3	17	17	1.0	3/8	3/8	Chord	12/8	1	1	1/4		1/4	1	39												
