mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	lyrics_1	articulation	staff_text	tempo	qpm	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	0	0	0.0	0	3/8	StaffText	4/4	1	1	0								"vivement, et les croches
égales et marquées."							
1	0	0	0.0	0	3/8	Tempo	4/4	1	1	0									 = 110	110					
1	0	0	0.5	0	3/8	Chord	4/4	1	1	1/8			1/8	1	0										
1	0	1/2	1.5	1/8	1/2	Chord	4/4	1	1	3/8			1/4	3/2	1										
1	0	2	0.5	1/2	7/8	Chord	4/4	1	1	1/8			1/8	1	2										
1	0	2	0.0	1/2	7/8	FiguredBass	4/4	2	1	0											1/8	6	4		
1	0	2	0.5	1/2	7/8	Chord	4/4	2	1	1/8			1/8	1	3										
2	1	5/2	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	4		ornamentShortTrill								
2	1	3	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	5										
2	1	7/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	6										
2	1	4	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	7										
2	1	9/2	1.0	1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	8		ornamentShortTrill								
2	1	11/2	1.0	3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	9										
2	1	5/2	0.0	0	0	FiguredBass	4/4	2	1	0											3/8	3			
2	1	5/2	1.5	0	0	Chord	4/4	2	1	3/8			1/4	3/2	10										
2	1	4	0.0	3/8	3/8	FiguredBass	4/4	2	1	0											1/8	6	4		
2	1	4	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	11										
2	1	9/2	0.0	1/2	1/2	FiguredBass	4/4	2	1	0											1/4	7_			
2	1	9/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	12										
2	1	5	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	13										
2	1	11/2	0.0	3/4	3/4	FiguredBass	4/4	2	1	0											1/4	6_			
2	1	11/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	14										
2	1	6	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	15										
3	2	13/2	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	16										
3	2	8	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	17										
3	2	17/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	18										0
3	2	9	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	19		ornamentShortTrill								
3	2	37/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	20										
