mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	0	0	0	0.0	0	1/4	Tempo	4/4	1	1	0							Légèrement	108.0			1.0					
1	0	1/4	1/4	0.0	1/16	5/16	Tempo	4/4	1	1	0							𝅘𝅥=90	90.0	𝅘𝅥	90.0	0.0					
1	0	1/4	1/4	0.25	1/16	5/16	Chord	4/4	1	1	1/16		1/16	1	0												
1	0	1/2	1/2	0.25	1/8	3/8	Chord	4/4	1	1	1/16		1/16	1	1	ornamentShortTrill											
1	0	3/4	3/4	0.25	3/16	7/16	Chord	4/4	1	1	1/16		1/16	1	2												
1	0	1	1	0.5	1/4	1/2	Chord	4/4	1	1	1/8		1/8	1	3												
1	0	3/2	3/2	0.5	3/8	5/8	Chord	4/4	1	1	1/8		1/8	1	4	ornamentMordent											
1	0	2	2	0.5	1/2	3/4	Chord	4/4	1	1	1/8		1/8	1	5												
1	0	5/2	5/2	0.5	5/8	7/8	Chord	4/4	1	1	1/8		1/8	1	6	ornamentTurn											
1	0	1/4	1/4	0.25	1/16	5/16	Chord	4/4	2	1	1/16		1/16	1	7												
1	0	1/2	1/2	0.0	1/8	3/8	FiguredBass	4/4	2	1	0												1/8	6			
1	0	1/2	1/2	0.5	1/8	3/8	Chord	4/4	2	1	1/8		1/8	1	8												
1	0	1	1	0.0	1/4	1/2	FiguredBass	4/4	2	1	0												1/8	6			
1	0	1	1	0.5	1/4	1/2	Chord	4/4	2	1	1/8		1/8	1	9												
1	0	3/2	3/2	0.5	3/8	5/8	Chord	4/4	2	1	1/8		1/8	1	10												
1	0	2	2	0.0	1/2	3/4	FiguredBass	4/4	2	1	0												1/8	4			
1	0	2	2	0.5	1/2	3/4	Chord	4/4	2	1	1/8		1/8	1	11												
1	0	5/2	5/2	0.0	5/8	7/8	FiguredBass	4/4	2	1	0												1/8	3			
1	0	5/2	5/2	0.5	5/8	7/8	Chord	4/4	2	1	1/8		1/8	1	12												
2	1	3	3	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	13												
2	1	7/2	7/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	14												
2	1	15/4	15/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	15												
2	1	4	4	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	16												
2	1	9/2	9/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	17												
2	1	19/4	19/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	18												
2	1	5	5	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	19												
2	1	21/4	21/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	20												
2	1	11/2	11/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	21												
2	1	23/4	23/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	22												
2	1	6	6	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	23	ornamentShortTrill											
2	1	27/4	27/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	24												
2	1	3	3	0.0	0	0	FiguredBass	4/4	2	1	0												1/8	5			
2	1	3	3	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	25												
2	1	7/2	7/2	0.0	1/8	1/8	FiguredBass	4/4	2	1	0												1/8	6			
2	1	7/2	7/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	26												
2	1	4	4	0.0	1/4	1/4	FiguredBass	4/4	2	1	0												1/4	5/_			
2	1	4	4	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	27												
2	1	9/2	9/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	28												
2	1	5	5	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	29												
2	1	11/2	11/2	0.0	5/8	5/8	FiguredBass	4/4	2	1	0												1/8	7	5		
2	1	11/2	11/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	30												
2	1	6	6	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	31												
2	1	13/2	13/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	32												
2	1	6	6	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	33												
3	2	7	7	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	34												
3	2	15/2	15/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	35												
3	2	8	8	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	36	ornamentMordent											
3	2	9	9	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	37												
3	2	19/2	19/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	38	ornamentShortTrill											
3	2	39/4	39/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	39												
3	2	10	10	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	40	ornamentMordent											
3	2	17/2	17/2	0.25	3/8	3/8	Chord	4/4	1	2	1/16		1/16	1	41												
