mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	0	0	0.0	0	3/8	StaffText	2/4	1	1	0							Tres Viste							
1	0	0	0.0	0	3/8	Tempo	2/4	1	1	0								 = 90	90					
1	0	0	0.5	0	3/8	Chord	2/4	1	1	1/8			1/8	1	0									
2	1	1/2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	1	ornamentShortTrill								
2	1	1	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	2									
2	1	5/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	3									
2	1	3/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	4									
2	1	2	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	5									
2	1	2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	6									
3	2	5/2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	7	ornamentShortTrill								
3	2	3	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	8									
3	2	15/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	9									
3	2	4	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	10									
3	2	17/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	11									
3	2	5/2	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	12									0
3	2	3	0.25	1/8	1/8	Chord	2/4	2	1	1/16			1/16	1	13									0
3	2	13/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16			1/16	1	14									0
3	2	7/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	15									0
3	2	4	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	16									
4	3	9/2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	17									1
4	3	5	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	18	ornamentShortTrill								
4	3	21/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	19									
4	3	11/2	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	20									
4	3	23/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	21									
4	3	6	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	22									
4	3	25/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	23									
4	3	9/2	0.0	0	0	FiguredBass	2/4	2	1	0										1/4	6_			
4	3	9/2	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	24	ornamentShortTrill								
4	3	5	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	25									
4	3	23/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16			1/16	1	26									
4	3	6	0.25	3/8	3/8	Chord	2/4	2	1	1/16			1/16	1	27									
4	3	25/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16			1/16	1	28									
5	4	13/2	1.0	0	0	Chord	2/4	1	1	1/4			1/4	1	29	ornamentShortTrill								
5	4	8	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	30									
5	4	33/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	31									
5	4	13/2	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	32									2
5	4	7	0.25	1/8	1/8	Chord	2/4	2	1	1/16			1/16	1	33	ornamentShortTrill								3
5	4	29/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16			1/16	1	34									3
5	4	15/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16			1/16	1	35									3
5	4	31/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16			1/16	1	36									3
5	4	8	0.25	3/8	3/8	Chord	2/4	2	1	1/16			1/16	1	37									3
5	4	33/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16			1/16	1	38									
6	5	17/2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	39									
6	5	9	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	40									
6	5	37/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	41									
6	5	19/2	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	42									
6	5	39/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	43									
6	5	10	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	44									
6	5	41/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	45									
6	5	17/2	0.0	0	0	FiguredBass	2/4	2	1	0										1/4	6			
