mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	slur
8	8		1.0	1	0	0	Chord	4/4	2	1	1/4			1/4	1	112					
8	8		0.0	1	1/4	1/4	StaffText	4/4	2	1	0							pour reprendere			
8	8		0.75	1	1/4	1/4	Chord	4/4	2	1	3/16			1/8	3/2	113					
8	8		0.25	1	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	114					
8	8		1.0	1	1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	115					
8	8		0.75	1	3/4	3/4	Chord	4/4	2	1	3/16			1/8	3/2	116					
8	8		0.25	1	15/16	15/16	Chord	4/4	2	1	1/16			1/16	1	117					
8	8		0.75	1	0	0	Chord	4/4	2	2	3/16			1/8	3/2	118					
8	8		0.25	1	3/16	3/16	Chord	4/4	2	2	1/16			1/16	1	119					
8	8		0.75	1	1/4	1/4	Chord	4/4	2	2	3/16			1/8	3/2	120	ornamentShortTrill				
8	8		0.25	1	7/16	7/16	Chord	4/4	2	2	1/16			1/16	1	121					
8	8		1.0	1	1/2	1/2	Chord	4/4	2	2	1/4			1/4	1	122					
8	8		1.0	1	3/4	3/4	Chord	4/4	2	2	1/4			1/4	1	123					
9	8	28	1.0	2	0	0	Chord	4/4	1	1	1/4			1/4	1	124					
9	8	29	0.75	2	1/4	1/4	Chord	4/4	1	1	3/16			1/8	3/2	125					19
9	8	119/4	0.25	2	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	126					19
9	8	30	0.0	2	1/2	1/2	Chord	4/4	1	1	0	appoggiatura		1/8	1	127					
9	8	30	1.0	2	1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	128					
9	8	31	0.75	2	3/4	3/4	Chord	4/4	1	1	3/16			1/8	3/2	129					
9	8	127/4	0.25	2	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	130					
9	8	28	0.0	2	0	0	StaffText	4/4	2	1	0							Reprise			
9	8	29	0.75	2	1/4	1/4	Chord	4/4	2	1	3/16			1/8	3/2	131					
9	8	119/4	0.25	2	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	132					
9	8	30	0.0	2	1/2	1/2	Chord	4/4	2	1	0	appoggiatura		1/8	1	133					
9	8	30	1.0	2	1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	134					
9	8	31	0.75	2	3/4	3/4	Chord	4/4	2	1	3/16			1/8	3/2	135					
9	8	127/4	0.25	2	15/16	15/16	Chord	4/4	2	1	1/16			1/16	1	136					
9	8	28	1.0	2	0	0	Chord	4/4	2	2	1/4			1/4	1	137					
10	9	32	1.0		0	0	Chord	4/4	1	1	1/4			1/4	1	138	ornamentShortTrill				
10	9	33	1.0		1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	139					
10	9	34	1.0		1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	140					
10	9	35	1.0		3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	141					
10	9	32	1.0		0	0	Chord	4/4	2	1	1/4			1/4	1	142	ornamentShortTrill				
10	9	33	1.0		1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	143					
10	9	34	1.0		1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	144	ornamentShortTrill				
10	9	35	1.0		3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	145					
10	9	32	2.0		0	0	Chord	4/4	2	2	1/2			1/2	1	146					
11	10	36	1.0		0	0	Chord	4/4	1	1	1/4			1/4	1	147	ornamentShortTrill				
11	10	37	1.0		1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	148					
11	10	38	1.0		1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	149					
11	10	39	1.0		3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	150					
11	10	36	1.0		0	0	Chord	4/4	2	1	1/4			1/4	1	151					
11	10	37	1.0		1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	152					
11	10	38	1.0		1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	153	ornamentShortTrill				
11	10	39	1.0		3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	154					
11	10	36	2.0		0	0	Chord	4/4	2	2	1/2			1/2	1	155					
12	11	40	0.75		0	0	Chord	4/4	1	1	3/16			1/8	3/2	156	ornamentShortTrill				20
12	11	163/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	157					
12	11	41	0.75		1/4	1/4	Chord	4/4	1	1	3/16			1/8	3/2	158					21
12	11	167/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	159					
12	11	42	0.75		1/2	1/2	Chord	4/4	1	1	3/16			1/8	3/2	160					22
12	11	171/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	161					
12	11	43	0.75		3/4	3/4	Chord	4/4	1	1	3/16			1/8	3/2	162					23
12	11	175/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	163					
12	11	40	0.75		0	0	Chord	4/4	2	1	3/16			1/8	3/2	164	ornamentShortTrill				24
12	11	163/4	0.25		3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	165					
12	11	41	0.75		1/4	1/4	Chord	4/4	2	1	3/16			1/8	3/2	166					25
12	11	167/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	167					
12	11	42	0.75		1/2	1/2	Chord	4/4	2	1	3/16			1/8	3/2	168					26
12	11	171/4	0.25		11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	169					
12	11	43	0.75		3/4	3/4	Chord	4/4	2	1	3/16			1/8	3/2	170					27
12	11	175/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16			1/16	1	171					
12	11	40	2.0		0	0	Chord	4/4	2	2	1/2			1/2	1	172					
13	12	44	1.0		0	0	Chord	4/4	1	1	1/4			1/4	1	173					
13	12	45	1.0		1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	174					
13	12	46	1.0		1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	175					
13	12	47	1.0		3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	176					
13	12	44	1.0		0	0	Chord	4/4	2	1	1/4			1/4	1	177	ornamentShortTrill				
13	12	45	1.0		1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	178					
13	12	46	1.0		1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	179					
13	12	47	1.0		3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	180					
13	12	44	2.0		0	0	Chord	4/4	2	2	1/2			1/2	1	181					
14	13	48	0.75		0	0	Chord	4/4	1	1	3/16			1/8	3/2	182					28
14	13	195/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	183					28
14	13	49	0.75		1/4	1/4	Chord	4/4	1	1	3/16			1/8	3/2	184					28
14	13	199/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	185					
14	13	50	1.0		1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	186					29
14	13	51	0.75		3/4	3/4	Chord	4/4	1	1	3/16			1/8	3/2	187	ornamentShortTrill				
14	13	207/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	188					
14	13	48	0.75		0	0	Chord	4/4	2	1	3/16			1/8	3/2	189	ornamentShortTrill				
14	13	195/4	0.25		3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	190					
14	13	49	0.75		1/4	1/4	Chord	4/4	2	1	3/16			1/8	3/2	191					
14	13	199/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	192					
14	13	50	0.75		1/2	1/2	Chord	4/4	2	1	3/16			1/8	3/2	193					
14	13	203/4	0.25		11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	194					
14	13	51	0.75		3/4	3/4	Chord	4/4	2	1	3/16			1/8	3/2	195					
14	13	207/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16			1/16	1	196					
14	13	48	2.0		0	0	Chord	4/4	2	2	1/2			1/2	1	197					
15	14	52	0.0		0	0	StaffText	4/4	1	1	0							)			
15	14	52	0.75		0	0	Chord	4/4	1	1	3/16			1/8	3/2	198	ornamentShortTrill				
15	14	211/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	199					30
15	14	53	0.75		1/4	1/4	Chord	4/4	1	1	3/16			1/8	3/2	200					30
15	14	215/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	201					
15	14	54	1.0		1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	202					
15	14	55	0.75		3/4	3/4	Chord	4/4	1	1	3/16			1/8	3/2	203					
15	14	223/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	204					
15	14	52	0.75		0	0	Chord	4/4	2	1	3/16			1/8	3/2	205	ornamentShortTrill				
15	14	211/4	0.25		3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	206					31
15	14	53	0.75		1/4	1/4	Chord	4/4	2	1	3/16			1/8	3/2	207					31
15	14	215/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	208					
15	14	54	0.75		1/2	1/2	Chord	4/4	2	1	3/16			1/8	3/2	209					32
15	14	219/4	0.25		11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	210					
15	14	55	0.75		3/4	3/4	Chord	4/4	2	1	3/16			1/8	3/2	211					33
15	14	223/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16			1/16	1	212					
15	14	52	2.0		0	0	Chord	4/4	2	2	1/2			1/2	1	213					
16	15	56	0.75		0	0	Chord	4/4	1	1	3/16			1/8	3/2	214					34
16	15	227/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	215					
16	15	57	0.75		1/4	1/4	Chord	4/4	1	1	3/16			1/8	3/2	216					35
16	15	231/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	217					
16	15	58	0.75		1/2	1/2	Chord	4/4	1	1	3/16			1/8	3/2	218					
16	15	235/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	219					
16	15	59	0.75		3/4	3/4	Chord	4/4	1	1	3/16			1/8	3/2	220					
16	15	239/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	221					
16	15	56	0.75		0	0	Chord	4/4	2	1	3/16			1/8	3/2	222					36
16	15	227/4	0.25		3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	223					
16	15	57	0.75		1/4	1/4	Chord	4/4	2	1	3/16			1/8	3/2	224					37
16	15	231/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	225					
16	15	58	1.0		1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	226					
16	15	59	0.75		3/4	3/4	Chord	4/4	2	1	3/16			1/8	3/2	227					
16	15	239/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16			1/16	1	228					38
16	15	56	2.0		0	0	Chord	4/4	2	2	1/2			1/2	1	229					
17	16	60	0.75		0	0	Chord	4/4	1	1	3/16			1/8	3/2	230					
17	16	243/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	231					
17	16	61	0.75		1/4	1/4	Chord	4/4	1	1	3/16			1/8	3/2	232					
17	16	247/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	233					
17	16	62	1.0		1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	234					39
17	16	63	0.75		3/4	3/4	Chord	4/4	1	1	3/16			1/8	3/2	235	ornamentShortTrill				
17	16	255/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	236					
17	16	60	0.75		0	0	Chord	4/4	2	1	3/16			1/8	3/2	237					
17	16	243/4	0.25		3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	238					
17	16	61	0.75		1/4	1/4	Chord	4/4	2	1	3/16			1/8	3/2	239					
17	16	247/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	240					40
17	16	62	0.75		1/2	1/2	Chord	4/4	2	1	3/16			1/8	3/2	241					
17	16	251/4	0.25		11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	242					
17	16	63	0.75		3/4	3/4	Chord	4/4	2	1	3/16			1/8	3/2	243					
17	16	255/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16			1/16	1	244					41
17	16	60	2.0		0	0	Chord	4/4	2	2	1/2			1/2	1	245					
18	17	64	0.75		0	0	Chord	4/4	1	1	3/16			1/8	3/2	246					42
18	17	259/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	247					42
18	17	65	1.0		1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	248					
18	17	66	0.75		1/2	1/2	Chord	4/4	1	1	3/16			1/8	3/2	249					
18	17	267/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	250					43
18	17	67	1.0		3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	251	ornamentShortTrill				
18	17	64	1.0		0	0	Chord	4/4	2	1	1/4			1/4	1	252					
18	17	65	0.75		1/4	1/4	Chord	4/4	2	1	3/16			1/8	3/2	253					
18	17	263/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	254					44
18	17	66	1.0		1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	255					
18	17	67	0.75		3/4	3/4	Chord	4/4	2	1	3/16			1/8	3/2	256					
18	17	271/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16			1/16	1	257					45
18	17	64	4.0		0	0	Chord	4/4	2	2	1			1	1	258					
19	18	68	0.75		0	0	Chord	4/4	1	1	3/16			1/8	3/2	259					46
19	18	275/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	260					46
19	18	69	1.0		1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	261					
19	18	70	0.75		1/2	1/2	Chord	4/4	1	1	3/16			1/8	3/2	262					
19	18	283/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	263					
19	18	71	0.75		3/4	3/4	Chord	4/4	1	1	3/16			1/8	3/2	264	ornamentShortTrill				
19	18	287/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	265					
19	18	68	0.75		0	0	Chord	4/4	2	1	3/16			1/8	3/2	266					47
19	18	275/4	0.25		3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	267					
19	18	69	0.75		1/4	1/4	Chord	4/4	2	1	3/16			1/8	3/2	268					48
19	18	279/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	269					
19	18	70	0.75		1/2	1/2	Chord	4/4	2	1	3/16			1/8	3/2	270					49
19	18	283/4	0.25		11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	271					
19	18	71	0.75		3/4	3/4	Chord	4/4	2	1	3/16			1/8	3/2	272					50
19	18	287/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16			1/16	1	273					
19	18	68	2.0		0	0	Chord	4/4	2	2	1/2			1/2	1	274					
19	18	70	2.0		1/2	1/2	Chord	4/4	2	2	1/2			1/2	1	275					
20	19	72	1.0		0	0	Chord	4/4	1	1	1/4			1/4	1	276					51
20	19	73	0.75		1/4	1/4	Chord	4/4	1	1	3/16			1/8	3/2	277	ornamentShortTrill				
20	19	295/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	278					
20	19	74	1.0		1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	279					52
20	19	75	0.75		3/4	3/4	Chord	4/4	1	1	3/16			1/8	3/2	280	ornamentShortTrill				
20	19	303/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	281					
20	19	72	1.0		0	0	Chord	4/4	2	1	1/4			1/4	1	282					53
20	19	73	0.75		1/4	1/4	Chord	4/4	2	1	3/16			1/8	3/2	283	ornamentShortTrill				
20	19	295/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	284					
20	19	74	1.0		1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	285					54
20	19	75	0.75		3/4	3/4	Chord	4/4	2	1	3/16			1/8	3/2	286	ornamentShortTrill				
20	19	303/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16			1/16	1	287					
20	19	72	1.0		0	0	Chord	4/4	2	2	1/4			1/4	1	288					
20	19	73	1.0		1/4	1/4	Chord	4/4	2	2	1/4			1/4	1	289					
20	19	74	2.0		1/2	1/2	Chord	4/4	2	2	1/2			1/2	1	290					
21	20		0.0	1	0	0	StaffText	4/4	1	1	0							)			
21	20		1.0	1	0	0	Chord	4/4	1	1	1/4			1/4	1	291					
21	20		0.75	1	1/4	1/4	Chord	4/4	1	1	3/16			1/8	3/2	292					
21	20		0.25	1	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	293					
21	20		0.0	1	1/2	1/2	Chord	4/4	1	1	0	appoggiatura		1/8	1	294					
21	20		1.0	1	1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	295					
21	20		0.75	1	3/4	3/4	Chord	4/4	1	1	3/16			1/8	3/2	296					
21	20		0.25	1	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	297					
21	20		0.0	1	0	0	StaffText	4/4	2	1	0							)			
21	20		1.0	1	0	0	Chord	4/4	2	1	1/4			1/4	1	298					
