mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	slur
21	20		0.0	1	1/4	1/4	StaffText	4/4	2	1	0							pour la reprise			
21	20		0.75	1	1/4	1/4	Chord	4/4	2	1	3/16			1/8	3/2	299					
21	20		0.25	1	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	300					
21	20		0.0	1	1/2	1/2	Chord	4/4	2	1	0	appoggiatura		1/8	1	301					
21	20		1.0	1	1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	302					
21	20		0.75	1	3/4	3/4	Chord	4/4	2	1	3/16			1/8	3/2	303					
21	20		0.25	1	15/16	15/16	Chord	4/4	2	1	1/16			1/16	1	304					
21	20		2.0	1	0	0	Chord	4/4	2	2	1/2			1/2	1	305					
22	20	76	1.0	2	0	0	Chord	4/4	1	1	1/4			1/4	1	306					
22	20	76	1.0	2	0	0	Chord	4/4	2	1	1/4			1/4	1	307					
23	20	77	0.0		0	1/8	StaffText	4/4	1	1	0							plus légérement et coulé			
23	20	77	0.0		0	1/8	StaffText	4/4	1	1	0							Seconde Partie			
23	20	77	0.5		0	1/8	Chord	4/4	1	1	1/8			1/8	1	308					55
23	20	155/2	0.5		1/8	1/4	Chord	4/4	1	1	1/8			1/8	1	309					55
23	20	78	0.5		1/4	3/8	Chord	4/4	1	1	1/8			1/8	1	310					
23	20	157/2	0.5		3/8	1/2	Chord	4/4	1	1	1/8			1/8	1	311					56
23	20	79	0.5		1/2	5/8	Chord	4/4	1	1	1/8			1/8	1	312					56
23	20	159/2	0.5		5/8	3/4	Chord	4/4	1	1	1/8			1/8	1	313					56
23	20	80	0.5		3/4	7/8	Chord	4/4	1	1	1/8			1/8	1	314					
24	21	161/2	1.0		0	0	Chord	4/4	1	1	1/4			1/4	1	315					
24	21	163/2	1.0		1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	316					
24	21	165/2	1.0		1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	317					
24	21	167/2	1.0		3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	318					
24	21	81	0.5		1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	319					57
24	21	163/2	0.5		1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	320					57
24	21	82	0.5		3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	321					57
24	21	165/2	0.5		1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	322					57
24	21	83	0.5		5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	323					57
24	21	167/2	0.5		3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	324					57
24	21	84	0.5		7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	325					
24	21	161/2	2.0		0	0	Chord	4/4	2	2	1/2			1/2	1	326					
25	22	169/2	0.5		0	0	Chord	4/4	1	1	1/8			1/8	1	327					
25	22	85	0.5		1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	328					
25	22	171/2	0.5		1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	329					
25	22	86	0.5		3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	330					
25	22	173/2	0.5		1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	331					
25	22	87	0.5		5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	332					
25	22	175/2	0.5		3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	333					
25	22	88	0.5		7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	334					
25	22	169/2	1.0		0	0	Chord	4/4	2	1	1/4			1/4	1	335					
25	22	86	0.5		3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	336					
25	22	173/2	0.5		1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	337					
25	22	87	0.5		5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	338					
25	22	175/2	0.5		3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	339					
25	22	88	0.5		7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	340					
25	22	169/2	2.0		0	0	Chord	4/4	2	2	1/2			1/2	1	341					
26	23	177/2	1.0		0	0	Chord	4/4	1	1	1/4			1/4	1	342					
26	23	179/2	1.0		1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	343					
26	23	181/2	0.0		1/2	1/2	Chord	4/4	1	1	0	appoggiatura		1/8	1	344					
26	23	181/2	1.5		1/2	1/2	Chord	4/4	1	1	3/8			1/4	3/2	345	ornamentMordent				
26	23	92	0.5		7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	346					
26	23	177/2	0.0		0	0	Chord	4/4	2	1	0	appoggiatura		1/8	1	347					
26	23	177/2	1.0		0	0	Chord	4/4	2	1	1/4			1/4	1	348					
26	23	179/2	0.0		1/4	1/4	Chord	4/4	2	1	0	appoggiatura		1/8	1	349					
26	23	179/2	1.0		1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	350					
26	23	181/2	1.5		1/2	1/2	Chord	4/4	2	1	3/8			1/4	3/2	351					
26	23	92	0.5		7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	352					
26	23	179/2	0.5		1/4	1/4	Chord	4/4	2	2	1/8			1/8	1	353					
26	23	90	0.5		3/8	3/8	Chord	4/4	2	2	1/8			1/8	1	354					
26	23	181/2	1.0		1/2	1/2	Chord	4/4	2	2	1/4			1/4	1	355	ornamentShortTrill				
26	23	183/2	1.0		3/4	3/4	Chord	4/4	2	2	1/4			1/4	1	356					
27	24	185/2	0.5		0	0	Chord	4/4	1	1	1/8			1/8	1	357	ornamentShortTrill				
27	24	185/2	0.5		0	0	Chord	4/4	2	1	1/8			1/8	1	358	ornamentShortTrill				
27	24	185/2	0.5		0	0	Chord	4/4	2	2	1/8			1/8	1	359					
28	24	93	0.5		0	1/8	Chord	4/4	1	1	1/8			1/8	1	360					58
28	24	187/2	0.5		1/8	1/4	Chord	4/4	1	1	1/8			1/8	1	361					58
28	24	94	0.5		1/4	3/8	Chord	4/4	1	1	1/8			1/8	1	362					58
28	24	189/2	0.5		3/8	1/2	Chord	4/4	1	1	1/8			1/8	1	363					58
28	24	95	0.5		1/2	5/8	Chord	4/4	1	1	1/8			1/8	1	364					58
28	24	191/2	0.5		5/8	3/4	Chord	4/4	1	1	1/8			1/8	1	365					58
28	24	96	0.5		3/4	7/8	Chord	4/4	1	1	1/8			1/8	1	366					
28	24	93	0.0		0	1/8	StaffText	4/4	2	1	0							Reprise			
29	25	193/2	1.0		0	0	Chord	4/4	1	1	1/4			1/4	1	367					
29	25	195/2	1.0		1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	368					
29	25	197/2	1.0		1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	369					
