mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	thoroughbass_level_4	slur
1	0	0	0.0		0	11/8	Tempo	6/4	1	1	0								 = 140	140						
1	0	0	0.5		0	11/8	Chord	6/4	1	1	1/8			1/8	1	0										
1	0	0	0.5		0	11/8	Chord	6/4	2	1	1/8			1/8	1	1										
2	1	1/2	1.5		0	0	Chord	6/4	1	1	3/8			1/4	3/2	2										
2	1	2	0.5		3/8	3/8	Chord	6/4	1	1	1/8			1/8	1	3										
2	1	5/2	1.0		1/2	1/2	Chord	6/4	1	1	1/4			1/4	1	4	ornamentMordent									
2	1	7/2	1.0		3/4	3/4	Chord	6/4	1	1	1/4			1/4	1	5										
2	1	9/2	0.0		1	1	StaffText	6/4	1	1	0							♮								
2	1	9/2	1.5		1	1	Chord	6/4	1	1	3/8			1/4	3/2	6	ornamentMordent									
2	1	6	0.5		11/8	11/8	Chord	6/4	1	1	1/8			1/8	1	7										
2	1	1/2	1.5		0	0	Chord	6/4	2	1	3/8			1/4	3/2	8										
2	1	2	0.5		3/8	3/8	Chord	6/4	2	1	1/8			1/8	1	9										
2	1	5/2	0.0		1/2	1/2	FiguredBass	6/4	2	1	0										1/4	6	5	b3		
2	1	5/2	1.0		1/2	1/2	Chord	6/4	2	1	1/4			1/4	1	10										
2	1	7/2	0.0		3/4	3/4	FiguredBass	6/4	2	1	0										1/4	6	4			
2	1	7/2	1.0		3/4	3/4	Chord	6/4	2	1	1/4			1/4	1	11										
2	1	9/2	0.0		1	1	FiguredBass	6/4	2	1	0										1/4	6	4	3		
2	1	9/2	1.0		1	1	Chord	6/4	2	1	1/4			1/4	1	12										
2	1	11/2	0.0		5/4	5/4	FiguredBass	6/4	2	1	0										1/4	6	5	b3		
2	1	11/2	1.0		5/4	5/4	Chord	6/4	2	1	1/4			1/4	1	13										
3	2	13/2	1.5		0	0	Chord	6/4	1	1	3/8			1/4	3/2	14	ornamentShortTrill									
3	2	8	0.5		3/8	3/8	Chord	6/4	1	1	1/8			1/8	1	15										
3	2	17/2	1.0		1/2	1/2	Chord	6/4	1	1	1/4			1/4	1	16										
3	2	19/2	1.0		3/4	3/4	Chord	6/4	1	1	1/4			1/4	1	17	ornamentShortTrill									
3	2	21/2	0.0		1	1	Chord	6/4	1	1	0	appoggiatura		1/8	1	18										
3	2	21/2	1.5		1	1	Chord	6/4	1	1	3/8			1/4	3/2	19	ornamentMordent									
3	2	12	0.5		11/8	11/8	Chord	6/4	1	1	1/8			1/8	1	20										
3	2	13/2	0.0		0	0	FiguredBass	6/4	2	1	0										1/2	h3_				
3	2	13/2	1.0		0	0	Chord	6/4	2	1	1/4			1/4	1	21										
3	2	15/2	1.0		1/4	1/4	Chord	6/4	2	1	1/4			1/4	1	22										
3	2	17/2	0.0		1/2	1/2	FiguredBass	6/4	2	1	0										1/4	6				
3	2	17/2	1.0		1/2	1/2	Chord	6/4	2	1	1/4			1/4	1	23										
3	2	19/2	0.0		3/4	3/4	FiguredBass	6/4	2	1	0										1/4	4+				
3	2	19/2	1.0		3/4	3/4	Chord	6/4	2	1	1/4			1/4	1	24										
3	2	21/2	0.0		1	1	FiguredBass	6/4	2	1	0										1/4	6				
3	2	21/2	1.0		1	1	Chord	6/4	2	1	1/4			1/4	1	25										
3	2	23/2	0.0		5/4	5/4	FiguredBass	6/4	2	1	0										1/4	h6				
3	2	23/2	1.0		5/4	5/4	Chord	6/4	2	1	1/4			1/4	1	26										
4	3	25/2	0.0		0	0	Chord	6/4	1	1	0	appoggiatura		1/8	1	27										
4	3	25/2	2.0		0	0	Chord	6/4	1	1	1/2			1/2	1	28	ornamentMordent									
4	3	29/2	0.0		1/2	1/2	StaffText	6/4	1	1	0							)								
4	3	29/2	0.0		1/2	1/2	Chord	6/4	1	1	0	appoggiatura		1/8	1	29										
4	3	29/2	1.0		1/2	1/2	Chord	6/4	1	1	1/4			1/4	1	30										
4	3	31/2	1.0		3/4	3/4	Chord	6/4	1	1	1/4			1/4	1	31										
4	3	33/2	1.5		1	1	Chord	6/4	1	1	3/8			1/4	3/2	32	ornamentShortTrill									
4	3	18	0.5		11/8	11/8	Chord	6/4	1	1	1/8			1/8	1	33										
4	3	25/2	2.0		0	0	Chord	6/4	2	1	1/2			1/2	1	34										
4	3	29/2	0.0		1/2	1/2	StaffText	6/4	2	1	0							)								
4	3	29/2	1.0		1/2	1/2	Chord	6/4	2	1	1/4			1/4	1	35										
4	3	31/2	1.0		3/4	3/4	Chord	6/4	2	1	1/4			1/4	1	36										0
4	3	33/2	0.0		1	1	FiguredBass	6/4	2	1	0										1/8	6				0
4	3	33/2	0.0		1	1	Chord	6/4	2	1	0	appoggiatura		1/8	1	37										0
4	3	33/2	1.5		1	1	Chord	6/4	2	1	3/8			1/4	3/2	38										0
4	3	17	0.0		9/8	9/8	FiguredBass	6/4	2	1	0										3/8	5/_				0
4	3	18	0.25		11/8	11/8	Chord	6/4	2	1	1/16			1/16	1	39										0
4	3	73/4	0.25		23/16	23/16	Chord	6/4	2	1	1/16			1/16	1	40										
5	4	37/2	1.5		0	0	Chord	6/4	1	1	3/8			1/4	3/2	41										
5	4	20	0.5		3/8	3/8	Chord	6/4	1	1	1/8			1/8	1	42										
5	4	41/2	0.5		1/2	1/2	Chord	6/4	1	1	1/8			1/8	1	43										1
5	4	21	0.5		5/8	5/8	Chord	6/4	1	1	1/8			1/8	1	44										
5	4	43/2	0.5		3/4	3/4	Chord	6/4	1	1	1/8			1/8	1	45										2
5	4	22	0.5		7/8	7/8	Chord	6/4	1	1	1/8			1/8	1	46										
5	4	45/2	1.5		1	1	Chord	6/4	1	1	3/8			1/4	3/2	47	ornamentShortTrill									
5	4	24	0.5		11/8	11/8	Chord	6/4	1	1	1/8			1/8	1	48										
5	4	37/2	1.0		0	0	Chord	6/4	2	1	1/4			1/4	1	49										
5	4	39/2	0.0		1/4	1/4	FiguredBass	6/4	2	1	0										1/4	5/				
5	4	39/2	1.0		1/4	1/4	Chord	6/4	2	1	1/4			1/4	1	50										
