mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	1	0	0	0.0		0	0	Tempo	3/4	1	1	0							𝅘𝅥=120	120.0	𝅘𝅥	120.0	0.0					
1	1	0	0	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	0												
1	1	1	1	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	1												
1	1	2	2	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	2												
1	1	0	0	0.0		0	0	FiguredBass	3/4	2	1	0												1/4	3			
1	1	0	0	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	3												
1	1	1	1	0.0		1/4	1/4	FiguredBass	3/4	2	1	0												1/4	6	4		
1	1	2	2	0.0		1/2	1/2	FiguredBass	3/4	2	1	0												1/4	6			
1	1	2	2	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	4												
2	2	3	3	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	5												
2	2	4	4	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	6												
2	2	11/2	11/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	7												
2	2	3	3	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	8												
2	2	5	5	0.0		1/2	1/2	FiguredBass	3/4	2	1	0												1/4	6			
2	2	5	5	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	9												
3	3	6	6	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	10												
3	3	7	7	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	11	ornamentShortTrill											
3	3	17/2	17/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	12												
3	3	6	6	0.0		0	0	FiguredBass	3/4	2	1	0												1/4	6	5		
3	3	6	6	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	13												
3	3	7	7	0.0		1/4	1/4	FiguredBass	3/4	2	1	0												1/4	4			
3	3	7	7	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	14												
3	3	8	8	0.0		1/2	1/2	FiguredBass	3/4	2	1	0												1/4	7	3		
3	3	8	8	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	15												
4	4	9	9	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	16	ornamentShortTrill											
4	4	11	11	0.0		1/2	1/2	StaffText	3/4	1	1	0						)										
4	4	11	11	0.0		1/2	1/2	Chord	3/4	1	1	0	appoggiatura	1/8	1	17												
4	4	11	11	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	18												
4	4	9	9	3.0		0	0	Chord	3/4	2	1	3/4		1/2	3/2	19												
5	5	12	12	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	20												
5	5	13	13	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	21												
5	5	14	14	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	22												
5	5	12	12	0.0		0	0	FiguredBass	3/4	2	1	0												1/4	3			
5	5	12	12	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	23												
5	5	13	13	0.0		1/4	1/4	FiguredBass	3/4	2	1	0												1/4	6	4		
5	5	14	14	0.0		1/2	1/2	FiguredBass	3/4	2	1	0												1/4	6			
5	5	14	14	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	24												
6	6	15	15	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	25												
6	6	16	16	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	26												0
6	6	35/2	35/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	27												
6	6	15	15	0.0		0	0	FiguredBass	3/4	2	1	0												1/4	_			
6	6	15	15	0.5		0	0	Chord	3/4	2	1	1/8		1/8	1	28												
6	6	31/2	31/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	29												
6	6	16	16	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	30												
6	6	17	17	0.0		1/2	1/2	FiguredBass	3/4	2	1	0												1/4	6	4+	3	
6	6	17	17	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	31												
7	7	18	18	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	32												1
7	7	37/2	37/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	33												1
7	7	19	19	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	34	ornamentShortTrill											1
7	7	41/2	41/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	35												
7	7	18	18	0.0		0	0	FiguredBass	3/4	2	1	0												1/8	#3			
7	7	18	18	0.5		0	0	Chord	3/4	2	1	1/8		1/8	1	36												
7	7	37/2	37/2	0.0		1/8	1/8	FiguredBass	3/4	2	1	0												5/8	h7	5		
7	7	37/2	37/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	37												
7	7	19	19	0.0		1/4	1/4	FiguredBass	3/4	2	1	0												1/4	5	4		
7	7	19	19	2.0		1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	38												
7	7	20	20	0.0		1/2	1/2	FiguredBass	3/4	2	1	0												1/4	#3			
8	8		21	0.0	1	0	0	Chord	3/4	1	1	0	appoggiatura	1/8	1	39												
8	8		21	3.0	1	0	0	Chord	3/4	1	1	3/4		1/2	3/2	40												
8	8		21	1.0	1	0	0	Chord	3/4	2	1	1/4		1/4	1	41												
8	8		22	0.5	1	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	42												
8	8		45/2	0.5	1	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	43												
8	8		23	0.5	1	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	44												
8	8		47/2	0.5	1	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	45												
9	8	21	24	3.0	2	0	0	Chord	3/4	1	1	3/4		1/2	3/2	46												
