mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur	TextLine
1	1	0	0.0		0	0	Tempo	3/4	1	1	0								Mesuré	72						
1	1	0	0.0		0	0	StaffText	3/4	1	1	0															
1	1	0	0.0		0	0	Tempo	3/4	1	1	0								 = 86	86						
1	1	0	1.0		0	0	Chord	3/4	1	1	1/4			1/4	1	0	ornamentMordent									
1	1	1	1.5		1/4	1/4	Chord	3/4	1	1	3/8			1/4	3/2	1										
1	1	5/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	2										
1	1	0	1.0		0	0	Chord	3/4	2	1	1/4			1/4	1	3										
1	1	1	0.0		1/4	1/4	FiguredBass	3/4	2	1	0										1/4	6				
1	1	1	1.0		1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	4	ornamentMordent									
1	1	2	0.5		1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	5	ornamentShortTrill									
1	1	5/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	6										
2	2	3	1.5		0	0	Chord	3/4	1	1	3/8			1/4	3/2	7	ornamentShortTrill									
2	2	9/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	8										
2	2	5	1.0		1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	9	ornamentMordent									
2	2	3	0.0		0	0	FiguredBass	3/4	2	1	0										1/2	5/_				
2	2	3	1.0		0	0	Chord	3/4	2	1	1/4			1/4	1	10	ornamentShortTrill									
2	2	4	1.0		1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	11										
2	2	5	0.0		1/2	1/2	FiguredBass	3/4	2	1	0										1/4	#6				
2	2	5	1.0		1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	12										
3	3	6	1.0		0	0	Chord	3/4	1	1	1/4			1/4	1	13										
3	3	7	1.5		1/4	1/4	Chord	3/4	1	1	3/8			1/4	3/2	14	ornamentMordent									
3	3	17/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	15										
3	3	6	1.0		0	0	Chord	3/4	2	1	1/4			1/4	1	16										
3	3	7	0.0		1/4	1/4	FiguredBass	3/4	2	1	0										1/2	6_				
3	3	7	1.0		1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	17	ornamentMordent									
3	3	8	1.0		1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	18										
4	4	9	0.0		0	0	StaffText	3/4	1	1	0															
4	4	9	2.0		0	0	Chord	3/4	1	1	1/2			1/2	1	19	ornamentShortTrill								0	
4	4	11	0.0		1/2	1/2	Chord	3/4	1	1	0	grace16		1/16	1	20										
4	4	11	0.0		1/2	1/2	Chord	3/4	1	1	0	grace16		1/16	1	21										
4	4	11	1.0		1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	22										
4	4	9	2.0		0	0	Chord	3/4	1	2	1/2			1/2	1	23										
4	4	11	1.0		1/2	1/2	Chord	3/4	1	2	1/4			1/4	1	24										
4	4	9	1.0		0	0	Chord	3/4	2	1	1/4			1/4	1	25										
4	4	10	1.0		1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	26										
4	4	11	0.0		1/2	1/2	FiguredBass	3/4	2	1	0										1/4	#3				
4	4	11	1.0		1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	27										
5	5	12	0.75		0	0	Chord	3/4	1	1	3/16			1/8	3/2	28									1	
5	5	51/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16			1/16	1	29										
5	5	13	1.5		1/4	1/4	Chord	3/4	1	1	3/8			1/4	3/2	30	ornamentShortTrill								2	
5	5	29/2	0.25		5/8	5/8	Chord	3/4	1	1	1/16			1/16	1	31									2	
5	5	59/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	32										
5	5	12	0.75		0	0	Chord	3/4	2	1	3/16			1/8	3/2	33									3	
5	5	51/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16			1/16	1	34										
5	5	13	0.0		1/4	1/4	FiguredBass	3/4	2	1	0										3/8	5/				
5	5	13	1.5		1/4	1/4	Chord	3/4	2	1	3/8			1/4	3/2	35	ornamentShortTrill								4	
5	5	29/2	0.25		5/8	5/8	Chord	3/4	2	1	1/16			1/16	1	36									4	
5	5	59/4	0.25		11/16	11/16	Chord	3/4	2	1	1/16			1/16	1	37										
6	6	15	0.5		0	0	Chord	3/4	1	1	1/8			1/8	1	38										
6	6	31/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	39										
6	6	16	0.5		1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	40										
6	6	33/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	41										
6	6	17	0.5		1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	42										
6	6	35/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	43										
6	6	15	1.0		0	0	Chord	3/4	2	1	1/4			1/4	1	44										
6	6	16	0.5		1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	45										
