mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	tempo	qpm	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	0	0	0.0	0	3/8	Tempo	2/4	1	1	0							Légérement, et marqué	112					
1	0	0	0.0	0	3/8	Tempo	2/4	1	1	0							 = 96	96					
1	0	0	0.5	0	3/8	Chord	2/4	1	1	1/8			1/8	1	0								
2	1	1/2	1.0	0	0	Chord	2/4	1	1	1/4			1/4	1	1	ornamentMordent							
2	1	3/2	1.0	1/4	1/4	Chord	2/4	1	1	1/4			1/4	1	2	articStaccatissimoAbove							
3	2	5/2	1.5	0	0	Chord	2/4	1	1	3/8			1/4	3/2	3	ornamentMordent							
3	2	4	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	4								
3	2	4	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	5								
4	3	9/2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	6	ornamentShortTrill							
4	3	5	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	7								
4	3	11/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	8	ornamentMordent							
4	3	6	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	9								
4	3	9/2	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	10								
4	3	11/2	1.0	1/4	1/4	Chord	2/4	2	1	1/4			1/4	1	11								
5	4	13/2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	12	ornamentShortTrill							0
5	4	7	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	13								0
5	4	29/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	14								0
5	4	15/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	15								
5	4	8	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	16								1
5	4	33/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	17								1
5	4	13/2	1.5	0	0	Chord	2/4	2	1	3/8			1/4	3/2	18								
6	5	17/2	1.0	0	0	Chord	2/4	1	1	1/4			1/4	1	19								
6	5	19/2	1.0	1/4	1/4	Chord	2/4	1	1	1/4			1/4	1	20	articStaccatissimoAbove							
6	5	10	0.0	3/8	3/8	FiguredBass	2/4	2	1	0									1/8	#3_			
6	5	10	0.25	3/8	3/8	Chord	2/4	2	1	1/16			1/16	1	21								
6	5	41/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16			1/16	1	22								
7	6	21/2	1.5	0	0	Chord	2/4	1	1	3/8			1/4	3/2	23	ornamentMordent							
7	6	12	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	24								
7	6	21/2	0.0	0	0	FiguredBass	2/4	2	1	0									1/2	6_			
7	6	21/2	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	25								
7	6	23/2	1.0	1/4	1/4	Chord	2/4	2	1	1/4			1/4	1	26								
8	7	25/2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	27								
8	7	13	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	28								
8	7	27/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	29	ornamentShortTrill							
8	7	14	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	30								
8	7	25/2	0.0	0	0	FiguredBass	2/4	2	1	0									1/4	5/			
8	7	25/2	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	31								
8	7	14	0.25	3/8	3/8	Chord	2/4	2	1	1/16			1/16	1	32								
8	7	57/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16			1/16	1	33								
9	8	29/2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	34	ornamentShortTrill							
9	8	15	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	35								
9	8	61/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	36								
9	8	31/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	37								
9	8	16	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	38								
9	8	65/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	39								
9	8	29/2	0.0	0	0	FiguredBass	2/4	2	1	0									1/2	4+_			
9	8	29/2	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	40								
9	8	31/2	1.0	1/4	1/4	Chord	2/4	2	1	1/4			1/4	1	41								
10	9	33/2	1.0	0	0	Chord	2/4	1	1	1/4			1/4	1	42								
10	9	35/2	1.0	1/4	1/4	Chord	2/4	1	1	1/4			1/4	1	43	articStaccatissimoAbove							
10	9	33/2	0.0	0	0	FiguredBass	2/4	2	1	0									1/2	6_			
10	9	33/2	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	44	ornamentShortTrill							
10	9	17	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	45								
10	9	35/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	46								
10	9	18	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	47								
11	9	37/2	1.5	0	0	Chord	2/4	1	1	3/8			1/4	3/2	48	ornamentMordent							
11	9	20	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	49								
11	9	37/2	0.0	0	0	FiguredBass	2/4	2	1	0									1/2	6_			
11	9	37/2	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	50	ornamentShortTrill							
11	9	19	0.25	1/8	1/8	Chord	2/4	2	1	1/16			1/16	1	51								
11	9	77/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16			1/16	1	52								
11	9	39/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	53								
11	9	20	0.25	3/8	3/8	Chord	2/4	2	1	1/16			1/16	1	54								
11	9	81/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16			1/16	1	55								
