mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	1	1/2	0.0	1/8	1/8	Tempo	6/8	1	1	0								  = 76	114					
1	1	1/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	0									
1	1	1	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	1									
1	1	3/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	2									
1	1	2	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	3									
1	1	5/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	4	ornamentTurn								
2	2	3	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	5									0
2	2	7/2	0.25	1/8	1/8	Chord	6/8	1	1	1/16			1/16	1	6	ornamentShortTrill								
2	2	15/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16			1/16	1	7									
2	2	4	0.25	1/4	1/4	Chord	6/8	1	1	1/16			1/16	1	8									
2	2	17/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16			1/16	1	9									
2	2	9/2	0.25	3/8	3/8	Chord	6/8	1	1	1/16			1/16	1	10	ornamentMordent								1
2	2	19/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16			1/16	1	11									1
2	2	5	0.0	1/2	1/2	Chord	6/8	1	1	0	grace8after		1/8	1	12									
2	2	5	0.0	1/2	1/2	Chord	6/8	1	1	0	grace8after		1/8	1	13									
2	2	5	1.0	1/2	1/2	Chord	6/8	1	1	1/4			1/4	1	14	ornamentShortTrill								
3	3	6	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	15									
3	3	13/2	1.0	1/8	1/8	Chord	6/8	1	1	1/4			1/4	1	16									
3	3	15/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	17									2
3	3	8	0.25	1/2	1/2	Chord	6/8	1	1	1/16			1/16	1	18	ornamentShortTrill								
3	3	33/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16			1/16	1	19									
3	3	17/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16			1/16	1	20									
