mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	0	0	0.0	0	3/8	Tempo	6/8	1	1	0								  = 76	114					
1	0	0	1.5	0	3/8	Chord	6/8	1	1	3/8			1/4	3/2	0									0
1	0	0	0.0	0	3/8	StaffText	6/8	2	1	0							1. Partie							
2	1	3/2	0.25	0	0	Chord	6/8	1	1	1/16			1/16	1	1									
2	1	7/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16			1/16	1	2									
2	1	2	0.25	1/8	1/8	Chord	6/8	1	1	1/16			1/16	1	3									
2	1	9/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16			1/16	1	4									
2	1	5/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16			1/16	1	5									
2	1	11/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16			1/16	1	6									
2	1	3	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	7									
2	1	7/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	8									
2	1	4	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	9									
2	1	3/2	1.5	0	0	Chord	6/8	2	1	3/8			1/4	3/2	10									1
2	1	3	0.0	3/8	3/8	FiguredBass	6/8	2	1	0										3/8	6_			
2	1	3	0.25	3/8	3/8	Chord	6/8	2	1	1/16			1/16	1	11									
2	1	13/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16			1/16	1	12									
2	1	7/2	0.25	1/2	1/2	Chord	6/8	2	1	1/16			1/16	1	13									
2	1	15/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16			1/16	1	14									
2	1	4	0.25	5/8	5/8	Chord	6/8	2	1	1/16			1/16	1	15									
2	1	17/4	0.25	11/16	11/16	Chord	6/8	2	1	1/16			1/16	1	16									
3	2	9/2	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	17	ornamentShortTrill								2
3	2	5	0.25	1/8	1/8	Chord	6/8	1	1	1/16			1/16	1	18									2
3	2	21/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16			1/16	1	19									2
3	2	11/2	0.0	1/4	1/4	StaffText	6/8	1	1	0							)							
3	2	11/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	20									
3	2	6	0.25	3/8	3/8	Chord	6/8	1	1	1/16			1/16	1	21									
3	2	25/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16			1/16	1	22									
3	2	13/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16			1/16	1	23									
3	2	27/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16			1/16	1	24									
3	2	7	0.25	5/8	5/8	Chord	6/8	1	1	1/16			1/16	1	25									
3	2	29/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16			1/16	1	26									
3	2	9/2	1.5	0	0	Chord	6/8	2	1	3/8			1/4	3/2	27									
3	2	6	1.0	3/8	3/8	Chord	6/8	2	1	1/4			1/4	1	28									
4	3	15/2	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	29	ornamentShortTrill								
4	3	8	0.25	1/8	1/8	Chord	6/8	1	1	1/16			1/16	1	30									
4	3	33/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16			1/16	1	31									
4	3	17/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16			1/16	1	32									
4	3	35/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16			1/16	1	33									
4	3	9	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	34									
4	3	19/2	0.0	1/2	1/2	Chord	6/8	1	1	0	grace8after		1/8	1	35									
4	3	19/2	1.0	1/2	1/2	Chord	6/8	1	1	1/4			1/4	1	36	ornamentMordent								
4	3	15/2	0.0	0	0	FiguredBass	6/8	2	1	0										1/4	6			
4	3	15/2	1.0	0	0	Chord	6/8	2	1	1/4			1/4	1	37									
4	3	9	0.0	3/8	3/8	FiguredBass	6/8	2	1	0										1/4	7			
4	3	9	1.0	3/8	3/8	Chord	6/8	2	1	1/4			1/4	1	38									
4	3	10	0.0	5/8	5/8	FiguredBass	6/8	2	1	0										1/8	6	4+	3	
5	4	21/2	1.0	0	0	Chord	6/8	1	1	1/4			1/4	1	39	ornamentShortTrill								
5	4	21/2	0.0	0	0	FiguredBass	6/8	2	1	0										1/4	#3			
5	4	21/2	1.0	0	0	Chord	6/8	2	1	1/4			1/4	1	40									
6	4	12	0.5	0	3/8	Chord	6/8	1	1	1/8			1/8	1	41									3
6	4	25/2	0.5	1/8	1/2	Chord	6/8	1	1	1/8			1/8	1	42									3
6	4	13	0.5	1/4	5/8	Chord	6/8	1	1	1/8			1/8	1	43									
6	4	12	0.0	0	3/8	StaffText	6/8	2	1	0							Reprise							
7	5	27/2	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	44									4
7	5	14	0.5	1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	45									4
7	5	29/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	46									
7	5	15	0.25	3/8	3/8	Chord	6/8	1	1	1/16			1/16	1	47									5
7	5	61/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16			1/16	1	48									5
7	5	31/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	49									
7	5	16	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	50									
7	5	27/2	0.0	0	0	FiguredBass	6/8	2	1	0										1/8	6			
7	5	27/2	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	51									
7	5	14	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	52									
7	5	29/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	53									
7	5	15	0.0	3/8	3/8	FiguredBass	6/8	2	1	0										3/8	_			
7	5	15	0.25	3/8	3/8	Chord	6/8	2	1	1/16			1/16	1	54									
7	5	61/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16			1/16	1	55									
7	5	31/2	0.25	1/2	1/2	Chord	6/8	2	1	1/16			1/16	1	56									
7	5	63/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16			1/16	1	57									
7	5	16	0.25	5/8	5/8	Chord	6/8	2	1	1/16			1/16	1	58									
7	5	65/4	0.25	11/16	11/16	Chord	6/8	2	1	1/16			1/16	1	59									
8	6	33/2	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	60	ornamentShortTrill								6
8	6	17	0.25	1/8	1/8	Chord	6/8	1	1	1/16			1/16	1	61									6
8	6	69/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16			1/16	1	62									6
8	6	35/2	0.0	1/4	1/4	StaffText	6/8	1	1	0							)							
8	6	35/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	63									
8	6	18	0.25	3/8	3/8	Chord	6/8	1	1	1/16			1/16	1	64									7
8	6	73/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16			1/16	1	65									7
8	6	37/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	66									
8	6	19	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	67									
8	6	33/2	1.0	0	0	Chord	6/8	2	1	1/4			1/4	1	68									
8	6	35/2	0.25	1/4	1/4	Chord	6/8	2	1	1/16			1/16	1	69									
8	6	71/4	0.25	5/16	5/16	Chord	6/8	2	1	1/16			1/16	1	70									
8	6	18	0.0	3/8	3/8	FiguredBass	6/8	2	1	0										1/4	6			
8	6	18	1.0	3/8	3/8	Chord	6/8	2	1	1/4			1/4	1	71									
8	6	19	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	72									
9	7	39/2	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	73									
9	7	20	0.25	1/8	1/8	Chord	6/8	1	1	1/16			1/16	1	74									8
9	7	81/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16			1/16	1	75									8
9	7	41/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16			1/16	1	76									8
9	7	83/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16			1/16	1	77									
9	7	21	0.25	3/8	3/8	Chord	6/8	1	1	1/16			1/16	1	78									9
9	7	85/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16			1/16	1	79									
9	7	43/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16			1/16	1	80									10
9	7	87/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16			1/16	1	81									
9	7	22	0.25	5/8	5/8	Chord	6/8	1	1	1/16			1/16	1	82									11
9	7	89/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16			1/16	1	83									
9	7	39/2	0.0	0	0	FiguredBass	6/8	2	1	0										1/4	6			
9	7	39/2	1.0	0	0	Chord	6/8	2	1	1/4			1/4	1	84									
