mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	0	0	0	0.0	0	3/8	Tempo	6/8	1	1	0							Naïvement	104.0			1.0	
1	0	0	0	0.0	0	3/8	StaffText	6/8	1	1	0						"<font size=""12""/><font face=""SnellRoundhand BoldScript""/>Première partie"						
1	0	0	0	0.0	0	3/8	Tempo	6/8	1	1	0							𝅘𝅥.=90	135.0	𝅘𝅥.	90.0	0.0	
1	0	0	0	1.0	0	3/8	Chord	6/8	1	1	1/4		1/4	1	0	ornamentShortTrill							
1	0	1	1	0.5	1/4	5/8	Chord	6/8	1	1	1/8		1/8	1	1	ornamentTurn							
1	0	0	0	0.0	0	3/8	StaffText	6/8	2	1	0						"<font size=""10.5""/><font face=""SnellRoundhand BoldScript""/>Bourdon"						
1	0	0	0	1.0	0	3/8	Chord	6/8	2	1	1/4		1/4	1	2								
1	0	1	1	0.5	1/4	5/8	Chord	6/8	2	1	1/8		1/8	1	3								
1	0	0	0	1.0	0	3/8	Chord	6/8	2	2	1/4		1/4	1	4								
2	1	3/2	3/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	5								
2	1	5/2	5/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	6								
2	1	3	3	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	7	ornamentMordent							
2	1	4	4	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	8	ornamentTurn							
2	1	3/2	3/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	9								0
2	1	2	2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	10	ornamentShortTrill							0
2	1	5/2	5/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	11								
2	1	3	3	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	12								1
2	1	7/2	7/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	13	ornamentShortTrill							1
2	1	4	4	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	14								
2	1	3/2	3/2	1.0	0	0	Chord	6/8	2	2	1/4		1/4	1	15								
2	1	3	3	1.0	3/8	3/8	Chord	6/8	2	2	1/4		1/4	1	16								
3	2	9/2	9/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	17								2
3	2	11/2	11/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	18								
3	2	6	6	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	19								
3	2	7	7	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	20	ornamentMordent							
3	2	9/2	9/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	21								3
3	2	5	5	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	22	ornamentShortTrill							3
3	2	11/2	11/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	23								
3	2	6	6	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	24								
3	2	7	7	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	25								
3	2	9/2	9/2	1.0	0	0	Chord	6/8	2	2	1/4		1/4	1	26								
3	2	6	6	1.0	3/8	3/8	Chord	6/8	2	2	1/4		1/4	1	27								
4	3	15/2	15/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	28								
4	3	17/2	17/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	29								
4	3	9	9	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	30	ornamentShortTrill							
4	3	10	10	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	31								
4	3	15/2	15/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	32								
4	3	17/2	17/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	33								
4	3	9	9	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	34	ornamentShortTrill							
4	3	10	10	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	35								
4	3	15/2	15/2	1.0	0	0	Chord	6/8	2	2	1/4		1/4	1	36								
4	3	9	9	1.0	3/8	3/8	Chord	6/8	2	2	1/4		1/4	1	37								
5	4	21/2	21/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	38								4
5	4	11	11	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	39	ornamentShortTrill							4
5	4	23/2	23/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	40								
5	4	12	12	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	41	ornamentShortTrill							
5	4	13	13	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	42	ornamentTurn							
5	4	21/2	21/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	43								
5	4	11	11	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	44								
5	4	23/2	23/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	45								
5	4	12	12	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	46								
5	4	13	13	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	47								
5	4	21/2	21/2	1.0	0	0	Chord	6/8	2	2	1/4		1/4	1	48								
5	4	12	12	1.0	3/8	3/8	Chord	6/8	2	2	1/4		1/4	1	49								
6	5	27/2	27/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	50								
6	5	29/2	29/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	51								
6	5	15	15	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	52	ornamentMordent							
6	5	16	16	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	53	ornamentTurn							
6	5	27/2	27/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	54								5
6	5	14	14	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	55	ornamentShortTrill							5
6	5	29/2	29/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	56								
6	5	15	15	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	57								6
6	5	31/2	31/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	58	ornamentShortTrill							6
6	5	16	16	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	59								
6	5	27/2	27/2	1.0	0	0	Chord	6/8	2	2	1/4		1/4	1	60								
6	5	15	15	1.0	3/8	3/8	Chord	6/8	2	2	1/4		1/4	1	61								
7	6	33/2	33/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	62								7
7	6	35/2	35/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	63								
7	6	18	18	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	64								
7	6	19	19	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	65	ornamentMordent							
7	6	33/2	33/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	66								8
7	6	17	17	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	67	ornamentShortTrill							8
7	6	35/2	35/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	68								
7	6	18	18	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	69								
7	6	19	19	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	70								
7	6	33/2	33/2	1.0	0	0	Chord	6/8	2	2	1/4		1/4	1	71								
7	6	18	18	1.0	3/8	3/8	Chord	6/8	2	2	1/4		1/4	1	72								
8	7	39/2	39/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	73								
8	7	41/2	41/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	74								
8	7	21	21	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	75	ornamentShortTrill							
8	7	22	22	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	76								
8	7	39/2	39/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	77	ornamentShortTrill							
8	7	41/2	41/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	78								
8	7	21	21	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	79								
8	7	43/2	43/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	80								
8	7	22	22	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	81								
8	7	39/2	39/2	1.0	0	0	Chord	6/8	2	2	1/4		1/4	1	82								
8	7	21	21	1.0	3/8	3/8	Chord	6/8	2	2	1/4		1/4	1	83								
9	8	45/2	45/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	84								
9	8	45/2	45/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	85								
9	8	23	23	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	86								
9	8	47/2	47/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	87								
9	8	45/2	45/2	1.0	0	0	Chord	6/8	2	2	1/4		1/4	1	88								
10	8	24	24	0.0	0	3/8	StaffText	6/8	1	1	0						"<font size=""12""/><font face=""SnellRoundhand BoldScript""/>Reprise"						
10	8	24	24	1.0	0	3/8	Chord	6/8	1	1	1/4		1/4	1	89								
10	8	25	25	0.5	1/4	5/8	Chord	6/8	1	1	1/8		1/8	1	90								
10	8	24	24	1.0	0	3/8	Chord	6/8	2	1	1/4		1/4	1	91								
10	8	25	25	0.5	1/4	5/8	Chord	6/8	2	1	1/8		1/8	1	92								
10	8	24	24	1.0	0	3/8	Chord	6/8	2	2	1/4		1/4	1	93								
11	8	51/2	51/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	94	ornamentMordent							
11	8	53/2	53/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	95								
11	8	27	27	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	96	ornamentMordent							
11	8	28	28	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	97								
11	8	51/2	51/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	98								
11	8	53/2	53/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	99								
11	8	27	27	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	100								
11	8	28	28	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	101								
11	8	51/2	51/2	1.0	0	0	Chord	6/8	2	2	1/4		1/4	1	102								
11	8	27	27	1.0	3/8	3/8	Chord	6/8	2	2	1/4		1/4	1	103								
12	9	57/2	57/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	104	ornamentShortTrill							9
12	9	59/2	59/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	105								
12	9	30	30	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	106								
12	9	31	31	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	107								
12	9	57/2	57/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	108	ornamentShortTrill							
12	9	59/2	59/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	109								
12	9	30	30	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	110								
12	9	31	31	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	111								
12	9	57/2	57/2	1.0	0	0	Chord	6/8	2	2	1/4		1/4	1	112								
12	9	30	30	1.0	3/8	3/8	Chord	6/8	2	2	1/4		1/4	1	113								
13	10	63/2	63/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	114								
13	10	32	32	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	115	ornamentMordent							
13	10	65/2	65/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	116								
13	10	33	33	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	117								10
13	10	67/2	67/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	118	ornamentShortTrill							
13	10	34	34	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	119								
13	10	63/2	63/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	120								11
13	10	32	32	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	121								11
13	10	65/2	65/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	122								
13	10	33	33	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	123								12
13	10	67/2	67/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	124	ornamentShortTrill							12
13	10	34	34	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	125								
13	10	63/2	63/2	1.0	0	0	Chord	6/8	2	2	1/4		1/4	1	126								
13	10	33	33	0.5	3/8	3/8	Chord	6/8	2	2	1/8		1/8	1	127								
13	10	67/2	67/2	0.5	1/2	1/2	Chord	6/8	2	2	1/8		1/8	1	128								
13	10	34	34	0.5	5/8	5/8	Chord	6/8	2	2	1/8		1/8	1	129								
14	11	69/2	69/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	130	ornamentShortTrill							
14	11	36	36	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	131	ornamentShortTrill							
14	11	37	37	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	132	ornamentTurn							
14	11	69/2	69/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	133	ornamentShortTrill							
14	11	36	36	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	134								
