mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2
1	0	0	0	0.0	0	1/2	StaffText	6/4	1	1	0					tres animé								
1	0	0	0	0.0	0	1/2	Tempo	6/4	1	1	0						𝅘𝅥=180	180.0	𝅘𝅥	180.0	0.0			
1	0	0	0	1.0	0	1/2	Chord	6/4	1	1	1/4	1/4	1	0										
1	0	1	1	1.0	1/4	3/4	Chord	6/4	1	1	1/4	1/4	1	1	ornamentShortTrill									
1	0	2	2	1.0	1/2	1	Chord	6/4	1	1	1/4	1/4	1	2										
1	0	3	3	1.0	3/4	5/4	Chord	6/4	1	1	1/4	1/4	1	3										
2	1	4	4	1.5	0	0	Chord	6/4	1	1	3/8	1/4	3/2	4										
2	1	11/2	11/2	0.5	3/8	3/8	Chord	6/4	1	1	1/8	1/8	1	5										
2	1	6	6	1.0	1/2	1/2	Chord	6/4	1	1	1/4	1/4	1	6										
2	1	7	7	1.0	3/4	3/4	Chord	6/4	1	1	1/4	1/4	1	7										
2	1	8	8	1.0	1	1	Chord	6/4	1	1	1/4	1/4	1	8										
2	1	9	9	1.0	5/4	5/4	Chord	6/4	1	1	1/4	1/4	1	9	ornamentShortTrill									
2	1	6	6	1.0	1/2	1/2	Chord	6/4	2	1	1/4	1/4	1	10										
2	1	7	7	0.0	3/4	3/4	FiguredBass	6/4	2	1	0											3/4	5/_	
2	1	7	7	1.0	3/4	3/4	Chord	6/4	2	1	1/4	1/4	1	11										
2	1	8	8	1.0	1	1	Chord	6/4	2	1	1/4	1/4	1	12										
2	1	9	9	1.0	5/4	5/4	Chord	6/4	2	1	1/4	1/4	1	13										
3	2	10	10	1.0	0	0	Chord	6/4	1	1	1/4	1/4	1	14										
3	2	11	11	1.0	1/4	1/4	Chord	6/4	1	1	1/4	1/4	1	15										
3	2	12	12	1.0	1/2	1/2	Chord	6/4	1	1	1/4	1/4	1	16										
3	2	13	13	1.0	3/4	3/4	Chord	6/4	1	1	1/4	1/4	1	17										
3	2	14	14	1.0	1	1	Chord	6/4	1	1	1/4	1/4	1	18										
3	2	15	15	1.0	5/4	5/4	Chord	6/4	1	1	1/4	1/4	1	19										
3	2	10	10	1.5	0	0	Chord	6/4	2	1	3/8	1/4	3/2	20										
3	2	23/2	23/2	0.5	3/8	3/8	Chord	6/4	2	1	1/8	1/8	1	21										
3	2	12	12	0.5	1/2	1/2	Chord	6/4	2	1	1/8	1/8	1	22										
3	2	25/2	25/2	0.5	5/8	5/8	Chord	6/4	2	1	1/8	1/8	1	23										
3	2	13	13	0.0	3/4	3/4	FiguredBass	6/4	2	1	0											3/4	6_	
3	2	13	13	1.0	3/4	3/4	Chord	6/4	2	1	1/4	1/4	1	24	ornamentShortTrill									
3	2	14	14	1.0	1	1	Chord	6/4	2	1	1/4	1/4	1	25										
3	2	15	15	1.0	5/4	5/4	Chord	6/4	2	1	1/4	1/4	1	26										
4	3	16	16	1.5	0	0	Chord	6/4	1	1	3/8	1/4	3/2	27										
4	3	35/2	35/2	0.5	3/8	3/8	Chord	6/4	1	1	1/8	1/8	1	28										
4	3	18	18	0.5	1/2	1/2	Chord	6/4	1	1	1/8	1/8	1	29										
4	3	37/2	37/2	0.5	5/8	5/8	Chord	6/4	1	1	1/8	1/8	1	30										
4	3	19	19	0.5	3/4	3/4	Chord	6/4	1	1	1/8	1/8	1	31										
4	3	39/2	39/2	0.5	7/8	7/8	Chord	6/4	1	1	1/8	1/8	1	32										
4	3	20	20	0.5	1	1	Chord	6/4	1	1	1/8	1/8	1	33										
4	3	41/2	41/2	0.5	9/8	9/8	Chord	6/4	1	1	1/8	1/8	1	34										
4	3	21	21	0.5	5/4	5/4	Chord	6/4	1	1	1/8	1/8	1	35										
4	3	43/2	43/2	0.5	11/8	11/8	Chord	6/4	1	1	1/8	1/8	1	36										
4	3	16	16	0.0	0	0	FiguredBass	6/4	2	1	0											3/4	_	
4	3	16	16	1.5	0	0	Chord	6/4	2	1	3/8	1/4	3/2	37										
4	3	35/2	35/2	0.5	3/8	3/8	Chord	6/4	2	1	1/8	1/8	1	38										
4	3	18	18	0.5	1/2	1/2	Chord	6/4	2	1	1/8	1/8	1	39										
4	3	37/2	37/2	0.5	5/8	5/8	Chord	6/4	2	1	1/8	1/8	1	40										
4	3	19	19	2.0	3/4	3/4	Chord	6/4	2	1	1/2	1/2	1	41										
4	3	21	21	1.0	5/4	5/4	Chord	6/4	2	1	1/4	1/4	1	42										
5	4	22	22	1.0	0	0	Chord	6/4	1	1	1/4	1/4	1	43	ornamentShortTrill									
5	4	23	23	0.0	1/4	1/4	StaffText	6/4	1	1	0					)								
5	4	23	23	1.0	1/4	1/4	Chord	6/4	1	1	1/4	1/4	1	44										
5	4	24	24	1.0	1/2	1/2	Chord	6/4	1	1	1/4	1/4	1	45										
5	4	25	25	1.5	3/4	3/4	Chord	6/4	1	1	3/8	1/4	3/2	46										
5	4	53/2	53/2	0.5	9/8	9/8	Chord	6/4	1	1	1/8	1/8	1	47										
5	4	27	27	0.5	5/4	5/4	Chord	6/4	1	1	1/8	1/8	1	48										
5	4	55/2	55/2	0.5	11/8	11/8	Chord	6/4	1	1	1/8	1/8	1	49										
5	4	22	22	1.0	0	0	Chord	6/4	2	1	1/4	1/4	1	50										
5	4	23	23	0.0	1/4	1/4	StaffText	6/4	2	1	0					)								
5	4	23	23	1.0	1/4	1/4	Chord	6/4	2	1	1/4	1/4	1	51										
5	4	24	24	1.0	1/2	1/2	Chord	6/4	2	1	1/4	1/4	1	52										
5	4	25	25	0.0	3/4	3/4	FiguredBass	6/4	2	1	0											3/4	5/_	
5	4	25	25	1.0	3/4	3/4	Chord	6/4	2	1	1/4	1/4	1	53	ornamentShortTrill									
5	4	26	26	1.0	1	1	Chord	6/4	2	1	1/4	1/4	1	54										
5	4	27	27	1.0	5/4	5/4	Chord	6/4	2	1	1/4	1/4	1	55										
6	5	28	28	1.0	0	0	Chord	6/4	1	1	1/4	1/4	1	56	ornamentShortTrill									
6	5	29	29	0.5	1/4	1/4	Chord	6/4	1	1	1/8	1/8	1	57										
