mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	thoroughbass_level_4	slur
1	1	0	0.0	0	0	StaffText	4/4	1	1	0							Notes égales et Coulées, et moderément.								
1	1	0	0.0	0	0	Tempo	4/4	1	1	0								 = 140	140						
1	1	0	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	0										0
1	1	1/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	1										0
1	1	1	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	2										0
1	1	3/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	3										
1	1	2	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	4										1
1	1	5/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	5										1
1	1	3	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	6										1
1	1	7/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	7										
1	1	0	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	8										2
1	1	1/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	9										2
1	1	1	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	10										2
1	1	3/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	11										
1	1	2	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	12										3
1	1	5/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	13										3
1	1	3	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	14										3
1	1	7/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	15										
1	1	0	4.0	0	0	Chord	4/4	3	1	1			1	1	16										
2	2	4	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	17										4
2	2	9/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	18										4
2	2	5	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	19										4
2	2	11/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	20										
2	2	6	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	21										5
2	2	13/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	22										5
2	2	7	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	23										5
2	2	15/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	24										
2	2	4	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	25										
2	2	5	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	26										
2	2	6	2.0	1/2	1/2	Chord	4/4	2	1	1/2			1/2	1	27										
2	2	4	0.0	0	0	FiguredBass	4/4	3	1	0										1	6				
2	2	4	4.0	0	0	Chord	4/4	3	1	1			1	1	28										
3	3	8	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	29										6
3	3	17/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	30										6
3	3	9	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	31										6
3	3	19/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	32										
3	3	10	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	33										7
3	3	21/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	34										7
3	3	11	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	35										7
3	3	23/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	36										
3	3	8	2.0	0	0	Chord	4/4	2	1	1/2			1/2	1	37										
3	3	10	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	38	ornamentShortTrill									8
3	3	21/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	39										8
3	3	11	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	40										8
3	3	23/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	41										
3	3	8	0.0	0	0	FiguredBass	4/4	3	1	0										1/2	7				
3	3	8	2.0	0	0	Chord	4/4	3	1	1/2			1/2	1	42										
3	3	10	0.0	1/2	1/2	FiguredBass	4/4	3	1	0										1/2	6				
3	3	10	2.0	1/2	1/2	Chord	4/4	3	1	1/2			1/2	1	43	ornamentShortTrill									
4	4	12	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	44										9
4	4	25/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	45										9
4	4	13	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	46										9
4	4	27/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	47										
4	4	14	1.0	1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	48										
4	4	12	2.0	0	0	Chord	4/4	2	1	1/2			1/2	1	49										
4	4	14	1.0	1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	50										
4	4	12	3.0	0	0	Chord	4/4	3	1	3/4			1/2	3/2	51										
5	5	16	4.0	0	0	Chord	4/4	1	1	1			1	1	52										
5	5	16	4.0	0	0	Chord	4/4	2	1	1			1	1	53										
5	5	16	0.5	0	0	Chord	4/4	3	1	1/8			1/8	1	54										10
5	5	33/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	55										10
5	5	17	0.5	1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	56										10
5	5	35/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	57										
5	5	18	0.5	1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	58										11
5	5	37/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	59										11
5	5	19	0.5	3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	60										11
5	5	39/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	61										
6	6	20	2.0	0	0	Chord	4/4	1	1	1/2			1/2	1	62										
6	6	22	2.0	1/2	1/2	Chord	4/4	1	1	1/2			1/2	1	63										
6	6	20	2.0	0	0	Chord	4/4	2	1	1/2			1/2	1	64										
6	6	22	2.0	1/2	1/2	Chord	4/4	2	1	1/2			1/2	1	65										
6	6	20	0.0	0	0	FiguredBass	4/4	3	1	0										1/2	5	4_			
6	6	20	0.5	0	0	Chord	4/4	3	1	1/8			1/8	1	66										
6	6	41/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	67										
6	6	21	0.5	1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	68										
6	6	43/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	69										
6	6	22	0.0	1/2	1/2	FiguredBass	4/4	3	1	0										1/2	6_				
6	6	22	0.5	1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	70										
6	6	45/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	71										
6	6	23	0.5	3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	72										
6	6	47/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	73										
7	7	24	2.0	0	0	Chord	4/4	1	1	1/2			1/2	1	74										12
7	7	26	2.0	1/2	1/2	Chord	4/4	1	1	1/2			1/2	1	75	ornamentShortTrill									
7	7	24	2.0	0	0	Chord	4/4	2	1	1/2			1/2	1	76										
7	7	26	2.0	1/2	1/2	Chord	4/4	2	1	1/2			1/2	1	77										
7	7	24	0.0	0	0	FiguredBass	4/4	3	1	0										1/2	5	4_			
7	7	24	0.5	0	0	Chord	4/4	3	1	1/8			1/8	1	78										
7	7	49/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	79										
7	7	25	0.5	1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	80										
7	7	51/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	81										
7	7	26	0.0	1/2	1/2	FiguredBass	4/4	3	1	0										1/2	#3_				
7	7	26	0.5	1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	82										
7	7	53/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	83										
7	7	27	0.5	3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	84										
7	7	55/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	85										
8	8	28	2.0	0	0	Chord	4/4	1	1	1/2			1/2	1	86										
8	8	30	2.0	1/2	1/2	Chord	4/4	1	1	1/2			1/2	1	87										
8	8	28	2.0	0	0	Chord	4/4	2	1	1/2			1/2	1	88										
8	8	30	2.0	1/2	1/2	Chord	4/4	2	1	1/2			1/2	1	89										
8	8	28	0.0	0	0	FiguredBass	4/4	3	1	0										1/2	3	2_			
8	8	28	0.5	0	0	Chord	4/4	3	1	1/8			1/8	1	90										
8	8	57/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	91										
8	8	29	0.5	1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	92										
8	8	59/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	93										
8	8	30	0.0	1/2	1/2	FiguredBass	4/4	3	1	0										1/2	6_				
8	8	30	0.5	1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	94										
8	8	61/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	95										
8	8	31	0.5	3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	96										
8	8	63/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	97										
9	9	32	2.0	0	0	Chord	4/4	1	1	1/2			1/2	1	98										
9	9	34	2.0	1/2	1/2	Chord	4/4	1	1	1/2			1/2	1	99										
9	9	32	4.0	0	0	Chord	4/4	2	1	1			1	1	100										
9	9	32	0.0	0	0	FiguredBass	4/4	3	1	0										1/2	5	3	2_		
9	9	32	0.5	0	0	Chord	4/4	3	1	1/8			1/8	1	101										
9	9	65/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	102										
9	9	33	0.5	1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	103										
9	9	67/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	104										
9	9	34	0.0	1/2	1/2	FiguredBass	4/4	3	1	0										1/2	5_				
9	9	34	0.5	1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	105										
9	9	69/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	106										
9	9	35	0.5	3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	107										
9	9	71/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	108										
10	10	36	2.0	0	0	Chord	4/4	1	1	1/2			1/2	1	109										
10	10	38	2.0	1/2	1/2	Chord	4/4	1	1	1/2			1/2	1	110										
10	10	36	2.0	0	0	Chord	4/4	2	1	1/2			1/2	1	111	ornamentShortTrill									
