mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur	TextLine
1	0	0	0.0	0	3/8	Tempo	4/4	1	1	0								Gayement	112						
1	0	0	0.5	0	3/8	Chord	4/4	1	1	1/8			1/8	1	0										
1	0	1/2	0.5	1/8	1/2	Chord	4/4	1	1	1/8			1/8	1	1	ornamentMordent									
1	0	1	0.5	1/4	5/8	Chord	4/4	1	1	1/8			1/8	1	2										
1	0	3/2	0.5	3/8	3/4	Chord	4/4	1	1	1/8			1/8	1	3	ornamentMordent									
1	0	2	0.5	1/2	7/8	Chord	4/4	1	1	1/8			1/8	1	4										
2	1	5/2	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	5	ornamentMordent									
2	1	3	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	6										
2	1	7/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	7	ornamentShortTrill									
2	1	4	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	8										
2	1	9/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	9	ornamentShortTrill								0	
2	1	5	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	10									0	
2	1	21/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	11										
2	1	11/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	12										
2	1	6	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	13										
3	2	13/2	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	14									1	
3	2	7	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	15									1	
3	2	29/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	16										
3	2	15/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	17										
3	2	8	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	18										
3	2	17/2	0.75	1/2	1/2	Chord	4/4	1	1	3/16			1/8	3/2	19	ornamentMordent								2	
3	2	37/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	20									2	
3	2	19/2	0.75	3/4	3/4	Chord	4/4	1	1	3/16			1/8	3/2	21	ornamentShortTrill								2	
3	2	41/4	0.125	15/16	15/16	Chord	4/4	1	1	1/32			1/32	1	22									2	
3	2	83/8	0.125	31/32	31/32	Chord	4/4	1	1	1/32			1/32	1	23										
3	2	8	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	24										
3	2	17/2	0.0	1/2	1/2	FiguredBass	4/4	2	1	0										1/4	6_				
3	2	17/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	25										
3	2	9	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	26										
3	2	19/2	0.0	3/4	3/4	FiguredBass	4/4	2	1	0										1/4	6	4	3_		
3	2	19/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	27										
3	2	10	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	28										
4	3	21/2	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	29									3	
4	3	11	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	30									3	
4	3	45/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	31										
4	3	23/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	32										
4	3	12	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	33										
4	3	25/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	34	ornamentShortTrill									
4	3	13	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	35										
