mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	0	0	0.0	0	11/8	Tempo	6/4	1	1	0								 = 110	110					
1	0	0	0.5	0	11/8	Chord	6/4	1	1	1/8			1/8	1	0									
1	0	0	0.5	0	11/8	Chord	6/4	2	1	1/8			1/8	1	1									
2	1	1/2	1.5	0	0	Chord	6/4	1	1	3/8			1/4	3/2	2	ornamentShortTrill								
2	1	2	0.5	3/8	3/8	Chord	6/4	1	1	1/8			1/8	1	3									
2	1	5/2	1.0	1/2	1/2	Chord	6/4	1	1	1/4			1/4	1	4									
2	1	7/2	1.0	3/4	3/4	Chord	6/4	1	1	1/4			1/4	1	5									
2	1	9/2	0.0	1	1	Chord	6/4	1	1	0	appoggiatura		1/8	1	6									
2	1	9/2	1.5	1	1	Chord	6/4	1	1	3/8			1/4	3/2	7	ornamentMordent								
2	1	6	0.5	11/8	11/8	Chord	6/4	1	1	1/8			1/8	1	8									
2	1	1/2	0.5	0	0	Chord	6/4	2	1	1/8			1/8	1	9									0
2	1	1	0.5	1/8	1/8	Chord	6/4	2	1	1/8			1/8	1	10									0
2	1	3/2	0.5	1/4	1/4	Chord	6/4	2	1	1/8			1/8	1	11									0
2	1	2	0.5	3/8	3/8	Chord	6/4	2	1	1/8			1/8	1	12									0
2	1	5/2	1.0	1/2	1/2	Chord	6/4	2	1	1/4			1/4	1	13									
2	1	7/2	0.0	3/4	3/4	FiguredBass	6/4	2	1	0										1/4	5_			
2	1	7/2	0.5	3/4	3/4	Chord	6/4	2	1	1/8			1/8	1	14									
2	1	4	0.5	7/8	7/8	Chord	6/4	2	1	1/8			1/8	1	15									
2	1	9/2	0.0	1	1	FiguredBass	6/4	2	1	0										1/4	6			
2	1	9/2	1.0	1	1	Chord	6/4	2	1	1/4			1/4	1	16	ornamentShortTrill								
2	1	11/2	1.0	5/4	5/4	Chord	6/4	2	1	1/4			1/4	1	17									
3	2	13/2	1.0	0	0	Chord	6/4	1	1	1/4			1/4	1	18	ornamentShortTrill								
3	2	15/2	0.0	1/4	1/4	Chord	6/4	1	1	0	appoggiatura		1/8	1	19									
