mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	0	0	0.0		0	1/2	Tempo	2/2	1	1	0								Notes égales et coulées	168					
1	0	0	0.0		0	1/2	Tempo	2/2	1	1	0								𝅗𝅥 = 80	160					
1	0	0	0.5		0	1/2	Chord	2/2	1	1	1/8			1/8	1	0									
1	0	1/2	0.5		1/8	5/8	Chord	2/2	1	1	1/8			1/8	1	1									
1	0	1	0.5		1/4	3/4	Chord	2/2	1	1	1/8			1/8	1	2									
1	0	3/2	0.5		3/8	7/8	Chord	2/2	1	1	1/8			1/8	1	3									
1	0	0	1.0		0	1/2	Chord	2/2	2	1	1/4			1/4	1	4									
1	0	1	0.0		1/4	3/4	FiguredBass	2/2	2	1	0										1/4	5/			
1	0	1	1.0		1/4	3/4	Chord	2/2	2	1	1/4			1/4	1	5									
2	1	2	0.5		0	0	Chord	2/2	1	1	1/8			1/8	1	6	ornamentShortTrill								
2	1	5/2	0.5		1/8	1/8	Chord	2/2	1	1	1/8			1/8	1	7									
2	1	3	0.5		1/4	1/4	Chord	2/2	1	1	1/8			1/8	1	8									
2	1	7/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8			1/8	1	9									
2	1	4	0.5		1/2	1/2	Chord	2/2	1	1	1/8			1/8	1	10									0
2	1	9/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8			1/8	1	11									
2	1	5	0.5		3/4	3/4	Chord	2/2	1	1	1/8			1/8	1	12									1
2	1	11/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	13									
2	1	2	0.5		0	0	Chord	2/2	2	1	1/8			1/8	1	14									
2	1	5/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8			1/8	1	15									
2	1	3	0.5		1/4	1/4	Chord	2/2	2	1	1/8			1/8	1	16									
2	1	7/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8			1/8	1	17									
2	1	4	0.0		1/2	1/2	FiguredBass	2/2	2	1	0										1/4	6	5	b3	
2	1	4	1.0		1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	18									
2	1	5	0.0		3/4	3/4	FiguredBass	2/2	2	1	0										1/4	#3_			
2	1	5	0.5		3/4	3/4	Chord	2/2	2	1	1/8			1/8	1	19									
